acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions,correct_keyboard_response,correct_response,correct_target,count_about_this_template,count_blank,count_block_loop,count_block_sequence,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop,count_feedback,count_fixation,count_instructions,count_keyboard_response,count_logger,count_practice_loop,count_prime,count_reset_feedback,count_target,count_trial_sequence,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block_loop,live_row_practice_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,practice,prime,prime_condition,relation,repeat_cycle,response,response_end_of_experiment,response_end_of_practice,response_feedback,response_instructions,response_keyboard_response,response_target,response_time,response_time_end_of_experiment,response_time_end_of_practice,response_time_feedback,response_time_instructions,response_time_keyboard_response,response_time_target,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,target_condition,time_about_this_template,time_blank,time_block_loop,time_block_sequence,time_end_of_experiment,time_end_of_practice,time_experiment,time_experimental_loop,time_feedback,time_fixation,time_instructions,time_keyboard_response,time_logger,time_practice_loop,time_prime,time_reset_feedback,time_target,time_trial_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,0.0234999461099505,0.0234999461099505,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,0,0,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,yes,성냥,artifactual,same phoneme,0,None,,,,a,None,n,0.0234999461099505,,,,716.150899999775,0.0234999461099505,604.913100018166,2,psycho,1024,2,48000,-16,experiment,999,odd,성적표,artifactual,,8323.227799963206,7492.369799991138,7492.256999947131,,,6733.804299961776,,,7589.569999952801,6775.033899932168,9056.780699989758,9056.899799965322,7491.714599891566,7807.247699936852,,8451.153899892233,7555.109199951403,Extended template,0,0.0234999461099505,1,yes,1024
0,0,0.0242500100284814,0.0242500100284814,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,0,0,1,0,0,0,0,0,0,,1,0,1,1,0,1,0,1,1,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,1,1,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,yes,태양계,natural,inclusive,0,None,,,,a,None,a,0.0250000739470124,,,,716.150899999775,0.0250000739470124,361.528699984774,2,psycho,1024,2,48000,-16,experiment,999,odd,목성,natural,,9923.65739995148,7492.369799991138,7492.256999947131,,,6733.804299961776,,,9189.83920000028,6775.033899932168,10402.03619992826,10402.172899921425,7491.714599891566,9406.70809999574,,10039.718499989249,9175.444699940272,Extended template,0,0.0485000200569629,2,yes,1024
0,0,0.0236333192636569,0.0236333192636569,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,2,0,0,0,0,0,0,,2,0,2,2,0,2,0,2,2,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,2,2,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,yes,국가,artifactual,inclusive,0,None,,,,a,None,a,0.0223999377340078,,,,716.150899999775,0.0223999377340078,1.3827000511810184,2,psycho,1024,2,48000,-16,experiment,999,odd,대한민국,artifactual,,11273.31979991868,7492.369799991138,7492.256999947131,,,6733.804299961776,,,10526.076099951752,6775.033899932168,11402.11589995306,11402.241399977356,7491.714599891566,10767.084799939768,,11400.07449989207,10514.305699965917,Extended template,0,0.0708999577909708,3,yes,1024
0,0,0.027799978852272,0.027799978852272,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,3,1,1,0,0,0,0,,3,0,3,3,0,3,1,3,3,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,0,0,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,구름,natural,same phoneme,0,None,,n,,a,None,a,0.027799978852272,,770.0398999731988,,716.150899999775,0.027799978852272,787.5463999807835,2,psycho,1024,2,48000,-16,experiment,999,odd,구슬,artifactual,,13139.9747999385,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,12391.609599930234,6775.033899932168,14061.754699912854,14061.894899932668,7491.714599891566,12606.429599924011,,13273.41369993519,12370.87319989223,Extended template,0,0.027799978852272,1,yes,1024
0,0,0.0246999552473425,0.0246999552473425,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,x,1,0,4,1,1,0,0,0,0,,4,0,4,4,0,4,1,4,4,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,1,1,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,절벽,natural,non-word,0,None,,n,,a,None,x,0.0215999316424131,,770.0398999731988,,716.150899999775,0.0215999316424131,860.2555999532342,2,psycho,1024,2,48000,-16,experiment,999,odd,물로프,non-word,,14950.067999889145,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,14192.622299888171,6775.033899932168,15917.257099994458,15917.382199899292,7491.714599891566,14423.645499977283,,15056.361599941738,14174.815599923022,Extended template,0,0.0493999104946851,2,yes,1024
0,0,0.0238999879608551,0.0238999879608551,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,5,1,1,0,0,0,0,,5,0,5,5,0,5,1,5,5,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,2,2,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,전등,artifactual,no-correlation,0,None,,n,,a,None,n,0.0223000533878803,,770.0398999731988,,716.150899999775,0.0223000533878803,675.3695999504998,2,psycho,1024,2,48000,-16,experiment,999,odd,소,natural,,16789.799199905246,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,16042.762199998831,6775.033899932168,17582.514999900013,17582.646299968474,7491.714599891566,16274.335799971595,,16906.473899958655,16025.472999899648,Extended template,0,0.0716999638825655,3,yes,1024
0,0,0.0248250144068151,0.0248250144068151,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,x,1,0,6,1,1,0,0,0,0,,6,0,6,6,0,6,1,6,6,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,3,3,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,사자,natural,non-word,0,None,,n,,a,None,x,0.0276000937446951,,770.0398999731988,,716.150899999775,0.0276000937446951,815.6931000994518,2,psycho,1024,2,48000,-16,experiment,999,odd,러스바이,non-word,,18457.386799971573,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,17721.331299981102,6775.033899932168,19399.67919990886,19399.84749990981,7491.714599891566,17949.46309993975,,18583.17289990373,17688.395699951798,Extended template,0,0.0993000576272606,4,yes,1024
0,0,0.0245000002905726,0.0245000002905726,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,7,1,1,0,0,0,0,,7,0,7,7,0,7,1,7,7,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,4,4,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,장슈,non-word,non-word,0,None,,n,,a,None,n,0.0231999438256025,,770.0398999731988,,716.150899999775,0.0231999438256025,1384.4847000436855,2,psycho,1024,2,48000,-16,experiment,999,odd,다람쥐,natural,,20273.191699991003,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,19527.161499951035,6775.033899932168,21776.719099958427,21776.867299922746,7491.714599891566,19740.33929989673,,20391.45449991338,19511.505299946293,Extended template,0,0.1225000014528632,5,yes,1024
0,0,0.0246999940524498,0.0246999940524498,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,8,1,1,0,0,0,0,,8,0,8,8,0,8,1,8,8,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,5,5,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,꽃,natural,no-correlation,0,None,,n,,a,None,a,0.0256999628618359,,770.0398999731988,,716.150899999775,0.0256999628618359,716.1460999632254,2,psycho,1024,2,48000,-16,experiment,999,odd,경주,artifactual,,22656.673199962825,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,21909.730799961835,6775.033899932168,23490.08849996608,23490.270799957216,7491.714599891566,22123.53559990879,,22773.004099959508,21888.854099903256,Extended template,0,0.1481999643146991,6,yes,1024
0,0,0.0264999855841909,0.0264999855841909,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,9,1,1,0,0,0,0,,9,0,9,9,0,9,1,9,9,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,6,6,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,호랑이,natural,same phoneme,0,None,,n,,a,None,n,0.0372999347746372,,770.0398999731988,,716.150899999775,0.0372999347746372,780.2261000033468,2,psycho,1024,2,48000,-16,experiment,999,odd,호수,natural,,24373.066199943423,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,23625.99809991661,6775.033899932168,25297.807199996896,25298.09519997798,7491.714599891566,23840.14769992791,,24516.494799987413,23607.34109999612,Extended template,0,0.1854998990893364,7,yes,1024
