"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","correct_target","count_about_this_template","count_blank","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_prime","count_reset_feedback","count_target","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","prime","prime_condition","relation","repeat_cycle","response","response_end_of_experiment","response_end_of_practice","response_feedback","response_instructions","response_keyboard_response","response_target","response_time","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_target","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","target_condition","time_about_this_template","time_blank","time_block_loop","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_prime","time_reset_feedback","time_target","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","0.024600070901215076","0.024600070901215076","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","0","0","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","산","natural","similar-environmental","0","None","NA","NA","NA","n","None","n","0.024600070901215076","NA","NA","NA","5541.749100084417","0.024600070901215076","1709.0303999138996","2","psycho","1024","2","48000","-16","experiment","999","odd","계곡","natural","NA","13345.909100025892","12555.90740009211","12555.804200004786","NA","NA","6922.592999995686","NA","NA","12634.863700019196","7012.5683000078425","15159.266100032255","15159.395100083202","12555.29100005515","12841.794200008735","NA","13449.330100091174","12622.650400036946","Extended template","0","0.024600070901215076","1","yes","1024"
"0","0","0.020200037397444248","0.020200037397444248","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","1","0","0","0","0","0","0","NA","1","0","1","1","0","1","0","1","1","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","1","1","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","해변","natural","similar-environmental","0","None","NA","NA","NA","n","None","a","0.01580000389367342","NA","NA","NA","5541.749100084417","0.01580000389367342","968.8260999973863","2","psycho","1024","2","48000","-16","experiment","999","odd","파라솔","artifactual","NA","15980.630500009283","12555.90740009211","12555.804200004786","NA","NA","6922.592999995686","NA","NA","15265.370900044218","7012.5683000078425","17055.08469999768","17055.18280004617","12555.29100005515","15471.626200014725","NA","16085.575800039805","15252.433500019833","Extended template","0","0.040400074794888496","2","yes","1024"
"0","0","0.018933361085752647","0.018933361085752647","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","2","0","0","0","0","0","0","NA","2","0","2","2","0","2","0","2","2","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","2","2","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","숲","natural","inclusive","0","None","NA","NA","NA","n","None","n","0.016400008462369442","NA","NA","NA","5541.749100084417","0.016400008462369442","1208.5288999369368","2","psycho","1024","2","48000","-16","experiment","999","odd","나무","natural","NA","17860.502500087023","12555.90740009211","12555.804200004786","NA","NA","6922.592999995686","NA","NA","17136.97630004026","7012.5683000078425","19174.955400056206","19175.05479999818","12555.29100005515","17352.97130001709","NA","17965.900900075212","17129.42800007295","Extended template","0","0.05680008325725794","3","yes","1024"
"0","0","0.016000005416572094","0.016000005416572094","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","3","1","1","0","0","0","0","NA","3","0","3","3","0","3","1","3","3","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","0","0","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","달력","artifactual","same phoneme","0","None","NA","n","NA","n","None","n","0.016000005416572094","NA","1177.1223999094218","NA","5541.749100084417","0.016000005416572094","856.9080999586731","2","psycho","1024","2","48000","-16","experiment","999","odd","달","natural","NA","21204.606399987824","20435.483500012197","20435.440800036304","NA","19257.25810008589","6922.592999995686","20435.005400096998","NA","20489.586100098677","7012.5683000078425","22166.99920000974","22167.100200080313","12555.29100005515","20695.60860004276","NA","21309.485800098628","20481.200100039132","Extended template","0","0.016000005416572094","1","yes","1024"
"0","0","0.01575000351294875","0.01575000351294875","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","4","1","1","0","0","0","0","NA","4","0","4","4","0","4","1","4","4","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","1","1","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","안음풍","non-word","non-word","0","None","NA","n","NA","n","None","a","0.015500001609325409","NA","1177.1223999094218","NA","5541.749100084417","0.015500001609325409","1533.199300058186","2","psycho","1024","2","48000","-16","experiment","999","odd","의자","artifactual","NA","22968.28540007118","20435.483500012197","20435.440800036304","NA","19257.25810008589","6922.592999995686","20435.005400096998","NA","22252.75690003764","7012.5683000078425","24606.780800037086","24606.883500004187","12555.29100005515","22458.86100002099","NA","23073.13040003646","22241.377099999227","Extended template","0","0.0315000070258975","2","yes","1024"
"0","0","0.018233355755607288","0.018233355755607288","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","5","1","1","0","0","0","0","NA","5","0","5","5","0","5","1","5","5","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","2","2","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","꽃","natural","inclusive","0","None","NA","n","NA","n","None","n","0.02320006024092436","NA","1177.1223999094218","NA","5541.749100084417","0.02320006024092436","1099.1884999675676","2","psycho","1024","2","48000","-16","experiment","999","odd","해바라기","natural","NA","25421.94690008182","20435.483500012197","20435.440800036304","NA","19257.25810008589","6922.592999995686","20435.005400096998","NA","24706.949200015515","7012.5683000078425","26627.170699997805","26627.334300079383","12555.29100005515","24913.225900032558","NA","25527.251600055024","24694.552800036035","Extended template","0","0.05470006726682186","3","yes","1024"
"0","0","0.01780001912266016","0.01780001912266016","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","6","1","1","0","0","0","0","NA","6","0","6","6","0","6","1","6","6","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","3","3","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","호수","natural","same phoneme","0","None","NA","n","NA","n","None","n","0.01650000922381878","NA","1177.1223999094218","NA","5541.749100084417","0.01650000922381878","711.4913000259548","2","psycho","1024","2","48000","-16","experiment","999","odd","호랑이","natural","NA","27443.506799987517","20435.483500012197","20435.440800036304","NA","19257.25810008589","6922.592999995686","20435.005400096998","NA","26727.89640002884","7012.5683000078425","28262.84450001549","28262.954400037415","12555.29100005515","26933.79190005362","NA","27550.828600069508","26719.72250007093","Extended template","0","0.07120007649064064","4","yes","1024"
"0","0","0.017380015924572945","0.017380015924572945","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","7","1","1","0","0","0","0","NA","7","0","7","7","0","7","1","7","7","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","4","4","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","교통","artifactual","inclusive","0","None","NA","n","NA","n","None","a","0.015700003132224083","NA","1177.1223999094218","NA","5541.749100084417","0.015700003132224083","1100.4439999815077","2","psycho","1024","2","48000","-16","experiment","999","odd","자동차","artifactual","NA","29073.919799993746","20435.483500012197","20435.440800036304","NA","19257.25810008589","6922.592999995686","20435.005400096998","NA","28358.521800022572","7012.5683000078425","30282.895700074732","30283.008700003847","12555.29100005515","28564.452800084837","NA","29181.87100009527","28347.34470001422","Extended template","0","0.08690007962286472","5","yes","1024"
"0","0","0.01706668020536502","0.01706668020536502","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","8","1","1","0","0","0","0","NA","8","0","8","8","0","8","1","8","8","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","5","5","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","과일","natural","inclusive","0","None","NA","n","NA","n","None","n","0.015500001609325409","NA","1177.1223999094218","NA","5541.749100084417","0.015500001609325409","1214.47010000702","2","psycho","1024","2","48000","-16","experiment","999","odd","사과","natural","NA","31087.059700046666","20435.483500012197","20435.440800036304","NA","19257.25810008589","6922.592999995686","20435.005400096998","NA","30371.88300001435","7012.5683000078425","32406.94120002445","32407.059799996205","12555.29100005515","30578.122900100425","NA","31191.91460008733","30358.765700017102","Extended template","0","0.10240008123219013","6","yes","1024"
"0","0","0.01691429809268032","0.01691429809268032","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","9","1","1","0","0","0","0","NA","9","0","9","9","0","9","1","9","9","Wed Nov 29 10:05:17 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","6","6","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","장슈","non-word","non-word","0","None","NA","n","NA","n","None","n","0.016000005416572094","NA","1177.1223999094218","NA","5541.749100084417","0.016000005416572094","785.115799983032","2","psycho","1024","2","48000","-16","experiment","999","odd","다람쥐","natural","NA","33208.15120008774","20435.483500012197","20435.440800036304","NA","19257.25810008589","6922.592999995686","20435.005400096998","NA","32493.677400052547","7012.5683000078425","34098.93350000493","34099.054599995725","12555.29100005515","32699.821099988185","NA","33313.27600008808","32481.825800030492","Extended template","0","0.11840008664876223","7","yes","1024"
