"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","correct_target","count_about_this_template","count_blank","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_prime","count_reset_feedback","count_target","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","prime","prime_condition","relation","repeat_cycle","response","response_end_of_experiment","response_end_of_practice","response_feedback","response_instructions","response_keyboard_response","response_target","response_time","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_target","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","target_condition","time_about_this_template","time_blank","time_block_loop","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_prime","time_reset_feedback","time_target","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","0.01619989052414894","0.01619989052414894","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","0","0","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","동굴","natural","similar-environmental","0","None","NA","NA","NA","g","None","n","0.01619989052414894","NA","NA","NA","33913.79359993152","0.01619989052414894","3792.3828999046236","2","psycho","1024","2","48000","-16","experiment","999","odd","박쥐","natural","NA","37856.17159982212","37052.93729994446","37052.83800000325","NA","NA","3082.61049981229","NA","NA","37143.56289990246","3137.2660999186337","41755.62519999221","41755.71519997902","37052.38779983483","37350.62499996275","NA","37962.71419990808","37102.34689991921","Extended template","0","0.01619989052414894","1","yes","1024"
"0","0","0.019000028260052204","0.019000028260052204","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","1","0","0","0","0","0","0","NA","1","0","1","1","0","1","0","1","1","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","1","1","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","키보드","artifactual","similar-environmental","0","None","NA","NA","NA","g","None","a","0.021800165995955467","NA","NA","NA","33913.79359993152","0.021800165995955467","5101.6343999654055","2","psycho","1024","2","48000","-16","experiment","999","odd","컴퓨터","artifactual","NA","42733.367200009525","37052.93729994446","37052.83800000325","NA","NA","3082.61049981229","NA","NA","42017.998499795794","3137.2660999186337","47943.684599827975","47943.80269991234","37052.38779983483","42224.28379999474","NA","42841.44439990632","42009.54839983024","Extended template","0","0.03800005652010441","2","yes","1024"
"0","0","0.017933314666152","0.017933314666152","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","0","0","2","0","0","0","0","0","0","NA","2","0","2","2","0","2","0","2","2","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","2","2","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","바다","natural","similar-environmental","0","None","NA","NA","NA","g","None","n","0.015799887478351593","NA","NA","NA","33913.79359993152","0.015799887478351593","8610.201300121844","2","psycho","1024","2","48000","-16","experiment","999","odd","배","artifactual","NA","48750.75789983384","37052.93729994446","37052.83800000325","NA","NA","3082.61049981229","NA","NA","48040.415399940684","3137.2660999186337","57467.61459996924","57467.728099785745","37052.38779983483","48246.44019990228","NA","48856.85239988379","48029.63809994981","Extended template","0","0.053799943998456","3","yes","1024"
"0","0","0.015300000086426735","0.015300000086426735","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","3","1","1","0","0","0","0","NA","3","0","3","3","0","3","1","3","3","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","0","0","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","세금","artifactual","same phoneme","0","None","NA","f","NA","g","None","n","0.015300000086426735","NA","8950.514500029385","NA","33913.79359993152","0.015300000086426735","2394.2277000751346","2","psycho","1024","2","48000","-16","experiment","999","odd","세포","natural","NA","67276.10039990395","66508.0152999144","66507.97149981372","NA","57556.51019979268","3082.61049981229","66507.53439986147","NA","66557.93249979615","3137.2660999186337","69775.61859996058","69775.71680000983","37052.38779983483","66771.25200000592","NA","67380.86169981398","66543.68609981611","Extended template","0","0.015300000086426735","1","yes","1024"
"0","0","0.015199999324977398","0.015199999324977398","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","4","1","1","0","0","0","0","NA","4","0","4","4","0","4","1","4","4","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","1","1","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","풍차","artifactual","no-correlation","0","None","NA","f","NA","g","None","n","0.015099998563528061","NA","8950.514500029385","NA","33913.79359993152","0.015099998563528061","3401.9599000457674","2","psycho","1024","2","48000","-16","experiment","999","odd","흙","natural","NA","70572.32839986682","66508.0152999144","66507.97149981372","NA","57556.51019979268","3082.61049981229","66507.53439986147","NA","69860.25499994867","3137.2660999186337","74079.63179983199","74079.73079988733","37052.38779983483","70066.63239980116","NA","70677.12669982575","69851.6785998363","Extended template","0","0.030399998649954796","2","yes","1024"
"0","0","0.015633335957924526","0.015633335957924526","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","5","1","1","0","0","0","0","NA","5","0","5","5","0","5","1","5","5","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","2","2","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","오일","natural","same phoneme","0","None","NA","f","NA","g","None","n","0.01650000922381878","NA","8950.514500029385","NA","33913.79359993152","0.01650000922381878","1165.0541999842972","2","psycho","1024","2","48000","-16","experiment","999","odd","오리","natural","NA","74881.10919995233","66508.0152999144","66507.97149981372","NA","57556.51019979268","3082.61049981229","66507.53439986147","NA","74169.349799864","3137.2660999186337","76151.62329981104","76151.72649989836","37052.38779983483","74375.52209990099","NA","74986.02269985713","74154.96749989688","Extended template","0","0.046900007873773575","3","yes","1024"
"0","0","0.015624973457306623","0.015624973457306623","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","6","1","1","0","0","0","0","NA","6","0","6","6","0","6","1","6","6","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","3","3","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","늪","natural","similar-environmental","0","None","NA","f","NA","g","None","n","0.015599885955452919","NA","8950.514500029385","NA","33913.79359993152","0.015599885955452919","1628.0211999546736","2","psycho","1024","2","48000","-16","experiment","999","odd","악어","natural","NA","76946.00699981675","66508.0152999144","66507.97149981372","NA","57556.51019979268","3082.61049981229","66507.53439986147","NA","76233.86719985865","3137.2660999186337","78679.63499994949","78679.74439985119","37052.38779983483","76440.36369980313","NA","77051.04419984855","76226.57649987377","Extended template","0","0.062499893829226494","4","yes","1024"
"0","0","0.015899958088994026","0.015899958088994026","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","7","1","1","0","0","0","0","NA","7","0","7","7","0","7","1","7","7","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","4","4","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","바람","natural","similar-environmental","0","None","NA","f","NA","g","None","a","0.016999896615743637","NA","8950.514500029385","NA","33913.79359993152","0.016999896615743637","971.4179001748562","2","psycho","1024","2","48000","-16","experiment","999","odd","창문","artifactual","NA","79482.50629985705","66508.0152999144","66507.97149981372","NA","57556.51019979268","3082.61049981229","66507.53439986147","NA","78769.5601999294","3137.2660999186337","80559.52379992232","80559.63829997927","37052.38779983483","78978.00589981489","NA","79587.56569982506","78755.16369985417","Extended template","0","0.07949979044497013","5","yes","1024"
"0","0","0.015983280415336292","0.015983280415336292","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","8","1","1","0","0","0","0","NA","8","0","8","8","0","8","1","8","8","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","5","5","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","건물","artifactual","inclusive","0","None","NA","f","NA","g","None","a","0.016399892047047615","NA","8950.514500029385","NA","33913.79359993152","0.016399892047047615","761.6755999624729","2","psycho","1024","2","48000","-16","experiment","999","odd","병원","artifactual","NA","81354.36669993214","66508.0152999144","66507.97149981372","NA","57556.51019979268","3082.61049981229","66507.53439986147","NA","80641.89029997215","3137.2660999186337","82223.70239999145","82223.82009983994","37052.38779983483","80848.19879988208","NA","81461.43039991148","80634.75829991512","Extended template","0","0.09589968249201775","6","yes","1024"
"0","0","0.015928509778210094","0.015928509778210094","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","9","1","1","0","0","0","0","NA","9","0","9","9","0","9","1","9","9","Mon Dec  4 12:37:33 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","6","6","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","경주","artifactual","no-correlation","0","None","NA","f","NA","g","None","n","0.015599885955452919","NA","8950.514500029385","NA","33913.79359993152","0.015599885955452919","1493.3570001740009","2","psycho","1024","2","48000","-16","experiment","999","odd","소나무","natural","NA","83015.86179994047","66508.0152999144","66507.97149981372","NA","57556.51019979268","3082.61049981229","66507.53439986147","NA","82304.09649992362","3137.2660999186337","84615.6560999807","84615.79059995711","37052.38779983483","82510.84739994258","NA","83121.7210998293","82296.71389982104","Extended template","0","0.11149956844747066","7","yes","1024"
