"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","correct_target","count_about_this_template","count_blank","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_prime","count_reset_feedback","count_target","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","prime","prime_condition","relation","repeat_cycle","response","response_end_of_experiment","response_end_of_practice","response_feedback","response_instructions","response_keyboard_response","response_target","response_time","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_instructions","response_time_keyboard_response","response_time_target","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","target_condition","time_about_this_template","time_blank","time_block_loop","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_prime","time_reset_feedback","time_target","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","0.01600012183189392","0.01600012183189392","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","0","0","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","멜블옴","non-word","non-word","0","None","NA","NA","NA","space","None","n","0.01600012183189392","NA","NA","NA","16460.904199862853","0.01600012183189392","2962.717300048098","2","psycho","1024","2","48000","-16","experiment","999","odd","폭포","natural","NA","25234.268700005487","24407.965200021863","24407.796599902213","NA","NA","7804.495600052178","NA","NA","24511.165499920025","7944.354200037196","28306.735399877653","28306.824899977073","24407.32629992999","24728.053499944508","NA","25342.6319998689","24492.282799910754","Extended template","0","0.01600012183189392","1","yes","1024"
"0","0","0.016850070096552372","0.016850070096552372","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","1","0","0","0","0","0","0","NA","1","0","1","1","0","1","0","1","1","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","1","1","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","바람","natural","similar-environmental","0","None","NA","NA","NA","space","None","a","0.017700018361210823","NA","NA","NA","16460.904199862853","0.017700018361210823","1488.175299949944","2","psycho","1024","2","48000","-16","experiment","999","odd","창문","artifactual","NA","29152.298199944198","24407.965200021863","24407.796599902213","NA","NA","7804.495600052178","NA","NA","28429.50259987265","7944.354200037196","30746.65439990349","30746.774799888954","24407.32629992999","28645.053499843925","NA","29257.11390003562","28418.928999919444","Extended template","0","0.033700140193104744","2","yes","1024"
"0","0","0.019399992500742275","0.019399992500742275","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","0","0","2","0","0","0","0","0","0","NA","2","0","2","2","0","2","0","2","2","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","2","2","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","yes","악어","natural","same phoneme","0","None","NA","NA","NA","space","None","n","0.024499837309122086","NA","NA","NA","16460.904199862853","0.024499837309122086","995.3144998289645","2","psycho","1024","2","48000","-16","experiment","999","odd","악기","artifactual","NA","31566.237499937415","24407.965200021863","24407.796599902213","NA","NA","7804.495600052178","NA","NA","30849.69179984182","7944.354200037196","32678.255300037563","32678.411100059748","24407.32629992999","31056.237200042233","NA","31682.01270001009","30837.5834999606","Extended template","0","0.05819997750222683","3","yes","1024"
"0","0","0.015999889001250267","0.015999889001250267","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","3","1","1","0","0","0","0","NA","3","0","3","3","0","3","1","3","3","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","0","0","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","전등","artifactual","no-correlation","0","None","NA","space","NA","space","None","n","0.015999889001250267","NA","4901.745700044557","NA","16460.904199862853","0.015999889001250267","1834.0559001080692","2","psycho","1024","2","48000","-16","experiment","999","odd","소","natural","NA","38453.64749990404","37683.52129985578","37683.47349995747","NA","32779.63129989803","7804.495600052178","37683.03479999304","NA","37730.46909994446","7944.354200037196","40398.9635000471","40399.06159997918","24407.32629992999","37945.24889998138","NA","38563.224399928","37722.87110006437","Extended template","0","0.015999889001250267","1","yes","1024"
"0","0","0.016249949112534523","0.016249949112534523","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","4","1","1","0","0","0","0","NA","4","0","4","4","0","4","1","4","4","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","1","1","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","등산로","artifactual","similar-environmental","0","None","NA","space","NA","space","None","n","0.01650000922381878","NA","4901.745700044557","NA","16460.904199862853","0.01650000922381878","1141.1234999541193","2","psycho","1024","2","48000","-16","experiment","999","odd","산","natural","NA","41230.86120001972","37683.52129985578","37683.47349995747","NA","32779.63129989803","7804.495600052178","37683.03479999304","NA","40508.159699849784","7944.354200037196","42482.85569995642","42482.956799911335","24407.32629992999","40723.98049989715","NA","41340.174899902195","40497.69699992612","Extended template","0","0.032499898225069046","2","yes","1024"
"0","0","0.015999966611464817","0.015999966611464817","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","5","1","1","0","0","0","0","NA","5","0","5","5","0","5","1","5","5","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","2","2","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","달력","artifactual","same phoneme","0","None","NA","space","NA","space","None","n","0.015500001609325409","NA","4901.745700044557","NA","16460.904199862853","0.015500001609325409","2221.258700126782","2","psycho","1024","2","48000","-16","experiment","999","odd","달","natural","NA","43311.102899955586","37683.52129985578","37683.47349995747","NA","32779.63129989803","7804.495600052178","37683.03479999304","NA","42588.42519996688","7944.354200037196","45642.48869987205","45642.5909998361","24407.32629992999","42803.36689995602","NA","43419.97749987058","42579.868299886584","Extended template","0","0.047999899834394455","3","yes","1024"
"0","0","0.01585000427439809","0.01585000427439809","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","6","1","1","0","0","0","0","NA","6","0","6","6","0","6","1","6","6","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","3","3","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","해변","natural","similar-environmental","0","None","NA","space","NA","space","None","a","0.015400117263197899","NA","4901.745700044557","NA","16460.904199862853","0.015400117263197899","1088.337399996817","2","psycho","1024","2","48000","-16","experiment","999","odd","파라솔","artifactual","NA","46497.11259989999","37683.52129985578","37683.47349995747","NA","32779.63129989803","7804.495600052178","37683.03479999304","NA","45773.64539983682","7944.354200037196","47694.94799990207","47695.05569990724","24407.32629992999","45988.68269985542","NA","46604.96159992181","45760.499799856916","Extended template","0","0.06340001709759235","4","yes","1024"
"0","0","0.015940004959702492","0.015940004959702492","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","a","1","0","7","1","1","0","0","0","0","NA","7","0","7","7","0","7","1","7","7","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","4","4","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","플피","non-word","non-word","0","None","NA","space","NA","space","None","a","0.016300007700920105","NA","4901.745700044557","NA","16460.904199862853","0.016300007700920105","1386.166299926117","2","psycho","1024","2","48000","-16","experiment","999","odd","책상","artifactual","NA","48543.58859988861","37683.52129985578","37683.47349995747","NA","32779.63129989803","7804.495600052178","37683.03479999304","NA","47820.04430005327","7944.354200037196","50038.45989983529","50038.576799910516","24407.32629992999","48035.33330000937","NA","48651.243899948895","47804.260900011286","Extended template","0","0.07970002479851246","5","yes","1024"
"0","0","0.0160500251998504","0.0160500251998504","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","8","1","1","0","0","0","0","NA","8","0","8","8","0","8","1","8","8","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","5","5","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","대학교","artifactual","no-correlation","0","None","NA","space","NA","space","None","n","0.016600126400589943","NA","4901.745700044557","NA","16460.904199862853","0.016600126400589943","703.2753999810666","2","psycho","1024","2","48000","-16","experiment","999","odd","계곡","natural","NA","50880.83829986863","37683.52129985578","37683.47349995747","NA","32779.63129989803","7804.495600052178","37683.03479999304","NA","50164.8054998368","7944.354200037196","51690.61509985477","51690.73430006392","24407.32629992999","50372.8535999544","NA","50985.97629996948","50156.62300004624","Extended template","0","0.0963001511991024","6","yes","1024"
"0","0","0.016028593693460737","0.016028593693460737","white","yes","psycho","psycho","psycho","0","uniform","0","undefined","0","n","1","0","9","1","1","0","0","0","0","NA","9","0","9","9","0","9","1","9","9","Tue Dec  5 17:44:10 2023","A template containing a practice and an experimental phase","yes","언어학과심리실험_B조_기말과제용심리실험.osexp","E:\2023년도 1학기\언어학과심리실험","no","mono","no","18","no","black","no","no","768","psycho","6","6","0","E:\2023년도 1학기\언어학과심리실험\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.14","no","장슈","non-word","non-word","0","None","NA","space","NA","space","None","n","0.015900004655122757","NA","4901.745700044557","NA","16460.904199862853","0.015900004655122757","840.9696000162512","2","psycho","1024","2","48000","-16","experiment","999","odd","다람쥐","natural","NA","52536.24280006625","37683.52129985578","37683.47349995747","NA","32779.63129989803","7804.495600052178","37683.03479999304","NA","51812.53969995305","7944.354200037196","53486.68579990044","53486.81050003506","24407.32629992999","52028.17069995217","NA","52644.318899838254","51802.93809995055","Extended template","0","0.11220015585422516","7","yes","1024"
