idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,썬 게스트하우스,Jeongdongjin Sun Guest House,게스트하우스,2급,033-644-5172,강동면 헌화로 1088,10,,,,,https://hotels.naver.com/KR1000013/hotels/N3926538?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,게스트하우스 웨이브,Sokcho Wave Guest House,게스트하우스,3급,010-5286-6879,장안로3길 61-10,4.3,,,,,https://hotels.naver.com/KR1000013/hotels/N3232282?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,게스트하우스 길손,Guesthouse Gilson,게스트하우스,2급,033-638-9976,학사평2길 85,7.6,8.4,,,,https://hotels.naver.com/KR1000013/hotels/N3013214?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,고성 스테이지알,Gosung Stager,게스트하우스,3급,,강원 고성군 토성면 아야진해변길 25,9.6,,,,http://stage-r.co.kr/,https://hotels.naver.com/KR1000013/hotels/KYK1070647446?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,강원,5,Gangneung Insta Spa Pension,,게스트하우스,3급,,대한민국 강원특별자치도 강릉,10,,,,,https://hotels.naver.com/KR1000013/hotels/KYK5408852?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,강원,6,서프쉑,Yangyang Surf Shack Pension,게스트하우스,2급,,손양면 선사유적로 316-74,9.3,,5,,http://www.xn--2i4b4vk42b.com/,https://hotels.naver.com/KR1000013/hotels/N4012281?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,강원,7,하루 게스트하우스,Haru Hotel & Guesthouse - Hostel,게스트하우스,2급,010-8407-6878,장안로 19-1,7,,4.6,,http://haruguesthouse.com/,https://hotels.naver.com/KR1000013/hotels/N3014714?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,강원,8,빅소 스테이,Bigso Stay,게스트하우스,2급,,강현면 동해대로 3451-18,8.5,7.9,,,,https://hotels.naver.com/KR1000013/hotels/KYK7891777?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,강원,9,오션캡슐호텔,Gangneung Guest House Ocean Capsule,게스트하우스,2급,010-3459-7582,창해로350번길 25,6.6,,4,,,https://hotels.naver.com/KR1000013/hotels/N3073932?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,강원,10,게스트하우스,Yangyang Stay 258 Pension,게스트하우스,3급,,손양면 문화마을길 3-8,,,,,,https://hotels.naver.com/KR1000013/hotels/N4742183?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
