idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,하이캐슬 리조트,High Castle Resort,리조트,3급,033-560-7777,사북읍 하이원길 202,8,6.9,3,3.7,http://www.highcastle.co.kr/,https://hotels.naver.com/KR1000013/hotels/N2367583?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,설악산 파크 리조트,Seoraksan Park,리조트,2급,033-636-4464,청봉로6길 11,7.9,,3.8,,,https://hotels.naver.com/KR1000013/hotels/N2777886?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,켄싱턴리조트 설악밸리,KensingtonResort SeorakValley,리조트,4급,033-633-0100,토성면 신평골길 8-25,8.9,8.7,4.8,4.5,http://www.kensington.co.kr/rsr/,https://hotels.naver.com/KR1000013/hotels/N4995196?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,왕터리조트,Chuncheon Wangter Resort,리조트,3급,,남면 박암관천길 183-27,8.6,,,,https://www.wangter.kr/,https://hotels.naver.com/KR1000013/hotels/N5286348?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,강원,5,팜파스 리조트,Pampas Resort,리조트,3급,1599-0583,동해대로 3964,8.3,7.9,3.6,4.0,http://www.pampasresort.co.kr/,https://hotels.naver.com/KR1000013/hotels/N2926842?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,강원,6,아이원리조트,Iwant Resort,리조트,2급,033-334-1110,대관령면 솔봉로 471,8,,5,4.1,https://www.iwantresort.co.kr/,https://hotels.naver.com/KR1000013/hotels/N3775027?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,강원,7,탑스텐 리조트 동강시스타,Tops10 Resort Donggang Cistar,리조트,3급,033-905-2000,영월읍 사지막길 160,8.3,7.1,3.4,4.2,http://www.cistar.co.kr/,https://hotels.naver.com/KR1000013/hotels/N2367584?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,강원,8,홀리데이 인 리조트 알펜시아 평창,Holiday Inn Resort Alpensia Pyeongchang,리조트,5성급,033-339-0000,대관령면 솔봉로 325,8.8,8.7,4.4,4.6,https://www.alpensia.com/,https://hotels.naver.com/KR1000013/hotels/N2978488?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,강원,9,엘리시안 강촌 리조트,Elysian Gangchon Resort,리조트,3급,033-260-2000,남산면 북한강변길 688,8,7.5,4,4.6,https://www.elysian.co.kr/,https://hotels.naver.com/KR1000013/hotels/N1658925?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,강원,10,오투 리조트,O2 Resort,리조트,2급,033-580-7000,서학로 861,7,,3.2,3.8,https://www.o2resort.com/,https://hotels.naver.com/KR1000013/hotels/N1711327?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
