idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,삼척 밸리모텔,Samcheok Valley Motel,모텔,2급,,강원도 삼척시 도계읍 도계로 212-1,,,,,,https://hotels.naver.com/KR1000013/hotels/KYK9354721?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,경포 빅토리아,Gangneung Gyeongpodae Victoria,모텔,3급,,경포로475번길 21,8,,,,,https://hotels.naver.com/KR1000013/hotels/N5284846?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,명작 호텔,Hotel Myeongjak,모텔,3급,033-241-5679,춘천로176번길 13,7.2,7,3.3,,,https://hotels.naver.com/KR1000013/hotels/N2915108?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,설화모텔&펜션,Seolhwa Motel,모텔,2급,033-673-2221,현남면 동해대로 64,8.3,7.3,4,,,https://hotels.naver.com/KR1000013/hotels/N3926451?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,강원,5,크리스탈모텔,Gangneung Crystal Motel,모텔,3급,033-642-6377,옥천로65번길 2-8,9,,5,,,https://hotels.naver.com/KR1000013/hotels/N3867550?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,강원,6,강릉모텔,Gangneung Gyeongpodae Gangneung Motel,모텔,3급,033-644-2261,해안로406번길 22,6.7,,,,,https://hotels.naver.com/KR1000013/hotels/N3871640?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,강원,7,피크닉 모텔,Gangneung Sydney,모텔,2급,,강릉대로 84,8.3,,,,http://www.xn--bj1b82mtvtu0a06l.kr/,https://hotels.naver.com/KR1000013/hotels/N4521153?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,강원,8,이룸모텔,Gangneung Gyeongpodae Eroom,모텔,2급,,해안로535번길 16,8.1,,,,,https://hotels.naver.com/KR1000013/hotels/N5284807?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,강원,9,호텔코코,Hotel Coco,모텔,2급,033-535-0056,동굴로 131-1,7.2,,2.5,,,https://hotels.naver.com/KR1000013/hotels/N3053947?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,강원,10,동해 엘리시안 호텔,Elysian Hotel,모텔,3급,,동굴로 125-1,4.3,,,,http://elysianhotel.co.kr/,https://hotels.naver.com/KR1000013/hotels/N4888492?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
