idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,Good Place For Couple Trip,,아파트,,,대한민국 강원특별자치도 강릉,,,,,,https://hotels.naver.com/KR1000013/hotels/KYK1070298515?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,물치 해변,Mulchi Haebyeon,아파트,,,대한민국 강원특별자치도 양양,,,,,,https://hotels.naver.com/KR1000013/hotels/KYK7608788?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,나마칸펜션,Namikkan Pension,아파트,,,근덕면 덕산해안로 124,,,,,http://www.namakkan.com/,https://hotels.naver.com/KR1000013/hotels/N5278764?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,고성 네츄럴하우스펜션,Goseong Natural House Pension,아파트,,,대한민국 강원특별자치도 고성,,,,,http://www.nhtel.com/,https://hotels.naver.com/KR1000013/hotels/N5130002?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,강원,5,남이섬 리버문 스파펜션,Chuncheon Nami Island Rivermoon Pension,아파트,,,남산면 방하로 1147,4.9,,,,http://rivermoonpension.kr/,https://hotels.naver.com/KR1000013/hotels/N5258072?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,강원,6,봉평 에코피아 펜션,Ecopia-Bongpyeong,아파트,,010-5417-4909,봉평면 석이바우길 92-21,,,,,,https://hotels.naver.com/KR1000013/hotels/N3882547?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,강원,7,바다숨 펜션,Gangneung Sum Pension,아파트,,010-5210-3875,해안로 663-10,7.7,,,,http://www.soompension.com/,https://hotels.naver.com/KR1000013/hotels/N3871804?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,강원,8,비갠후 스파펜션,Chuncheon Beganwho Pension,아파트,,,남산면 햇골길 1-30,,,,,,https://hotels.naver.com/KR1000013/hotels/N5286603?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,강원,9,간이역 펜션,Ganiyeok Pension,아파트,,,서면 한서로 2015,2,,,,http://www.ganiyeok.com/,https://hotels.naver.com/KR1000013/hotels/N5278635?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,강원,10,양양 모모레펜션,Yangyang Momore Pension,아파트,,,손양면 선사유적로 316-60,6.8,,,,,https://hotels.naver.com/KR1000013/hotels/N5284448?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,강원,11,강릉 SS펜션,Gangnung Ss Pension,아파트,,,사천면 해안로 1073,10,,,,http://sspension.coja.kr/,https://hotels.naver.com/KR1000013/hotels/N5278230?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
