idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,강릉 수와래 펜션,Gangneng Soowarae Pension,펜션,3급,,사천면 순포안길 24,8.5,7.5,,,http://suwarae.kr/,https://hotels.naver.com/KR1000013/hotels/KYK1070298343?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,강릉 수와래 펜션,Gangneng Soowarae Pension,펜션,3급,,사천면 순포안길 24,8.7,,,,http://suwarae.kr/,https://hotels.naver.com/KR1000013/hotels/N4919970?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,파도소리 스파펜션,Samcheok Padosori Pension,펜션,3급,,삼척로 4246-30,8.3,,,,http://www.padosorips.com/,https://hotels.naver.com/KR1000013/hotels/N5280272?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,강릉 올래앤다올 스파펜션,Gangneung Olraeendaol Spa Pension,펜션,3급,,저동골길 5-1,8.3,,,,,https://hotels.naver.com/KR1000013/hotels/KYK1070322493?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,강원,5,강릉 스테이다시올게 풀빌라 펜션,Gangneung Staydasiolgae Poolvillapension,펜션,3급,,강원특별자치도 강릉시 사천면 가둔지길 34-5,,,,,https://againpoolvilla.kr/,https://hotels.naver.com/KR1000013/hotels/KYK10544652?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,강원,6,산토리니펜션,Sokcho Santolini Pension,펜션,3급,,해오름로 77-6,8.8,,,,https://www.scsantorini.com/,https://hotels.naver.com/KR1000013/hotels/N5283726?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,강원,7,환상의성,Yangyang hwansangeui seong pension,펜션,3급,,현북면 어성전길 384,8.5,,,,http://www.hwansang.co.kr/,https://hotels.naver.com/KR1000013/hotels/KYK4968296?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,강원,8,강릉 글래드 펜션,Gangneung Glad Pension,펜션,3급,,연곡면 영진길 108,9.6,,,,http://gladps.kr/,https://hotels.naver.com/KR1000013/hotels/KYK7835508?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,강원,9,삼척 솔비치 펜션,Samcheok Sol Beach Pension,펜션,3급,,근덕면 삼척로 2210-11,6.7,,,,http://solbeachps.com/,https://hotels.naver.com/KR1000013/hotels/N5258733?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,강원,10,강릉 S9 스파펜션,Gangneung Gyeongpodae S9 Beach Familyspa,펜션,3급,,해안로 349,9.4,,,,http://s9pension.com/,https://hotels.naver.com/KR1000013/hotels/N5280378?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
