idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,호텔 아마란스,Goodstay Hotel Amaranth (Korea Quality),호텔,3급,033-636-5252,온천로 55,9.1,,4.4,4.5,http://www.hotelamaranth.com/,https://hotels.naver.com/KR1000013/hotels/N1660825?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,더 뷰티 호텔,The Beauty Hotel,호텔,3급,033-647-3385,옥천로62번길 19,9.2,8.9,,4.6,,https://hotels.naver.com/KR1000013/hotels/N3925248?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,UH FLAT 더 속초,UH FLAT The Sokcho,호텔,4급,0507-1425-7886,중앙로 172-11,8.7,8.7,,4.4,https://bit.ly/%EC%B5%9C%EC%A0%80%EA%B0%80%EC%98%88%EC%95%BD_%EC%86%8D%EC%B4%88,https://hotels.naver.com/KR1000013/hotels/KYK10347068?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,리센오션파크 호텔,Risen Oceanpark Hotel,호텔,2급,02-1811-7711,해오름로 167,8.6,8,5,4.2,http://risenoceanparkhotel.com/,https://hotels.naver.com/KR1000013/hotels/N5299499?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,강원,5,강릉mgm 호텔,Mgm Hotel,호텔,3급,033-644-2559,해안로535번길 19,7.9,,3.9,4.6,,https://hotels.naver.com/KR1000013/hotels/N1824059?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,강원,6,더클래스300호텔,The Class 300 Hotel,호텔,4급,033-630-0900,동해대로 3915,7.1,,,3.3,http://www.theclass300.com/,https://hotels.naver.com/KR1000013/hotels/N5286747?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,강원,7,강릉 관광 호텔,Gangneung Tourist Hotel,호텔,2성급,033-648-8686,금성로 62,8.5,8.3,4.2,4.3,http://www.hotelgangneung.com/,https://hotels.naver.com/KR1000013/hotels/N3045564?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,강원,8,위너스호텔,Winners Hotel,호텔,2급,033-661-8034,주문진읍 해안로 1725-3,8.3,7.8,3.9,4.2,http://www.hotelwinners.com/,https://hotels.naver.com/KR1000013/hotels/N3567744?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,강원,9,세인트존스 호텔,St. John's Hotel,호텔,5급,033-660-9000,창해로 307,8.3,8.1,3,4.3,https://new.stjohns.co.kr/,https://hotels.naver.com/KR1000013/hotels/N3544881?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,강원,10,켄싱턴호텔 평창,KensingtonHotel Pyeongchang,호텔,5성급,033-330-5000,진부면 진고개로 231,8,7.6,4,3.9,http://www.kensington.co.kr/hpc/,https://hotels.naver.com/KR1000013/hotels/N1496556?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
