idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,시크릿펜션,Gangneung Secret Pension,홀리데이 하우스,,033-645-0435,사천면 중앙서로 484-89,,,,,https://www.airbnb.com/h/soohaareem3,https://hotels.naver.com/KR1000013/hotels/N3872362?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,카리스펜션,Gangneung Karis Pension,홀리데이 하우스,,,연곡면 해안로 1279,,,,,http://www.karisps.com/,https://hotels.naver.com/KR1000013/hotels/N5284824?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,강릉 비앤비스테이 펜션,Gangneung Funny Group Pension,홀리데이 하우스,,,해안로 633-7,,,,,,https://hotels.naver.com/KR1000013/hotels/KYK1072496417?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,바닷가 민박,Seaside Minbak,홀리데이 하우스,,,주광면 천학정길 65,7.4,,,,,https://hotels.naver.com/KR1000013/hotels/KYK7982135?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,강원,5,오라뷰펜션,Oraview Pension,홀리데이 하우스,,,여량면 마산재길 76-51,8.9,9.2,,,http://oraview.kr/,https://hotels.naver.com/KR1000013/hotels/KYK3668729?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,강원,6,춘천 도그앤스테이,Chuncheon Dogandstay,홀리데이 하우스,,,남산면 갯골길 10-13,,2,,,http://dogandstay.com/,https://hotels.naver.com/KR1000013/hotels/KYK7230964?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,강원,7,설악나들펜션,Yangyang Seorak Nadeul Pension,홀리데이 하우스,,010-9255-5453,강현면 강선중앙길 120,,,,,https://seorak54523.wixsite.com/seoraknadle,https://hotels.naver.com/KR1000013/hotels/N3184935?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,강원,8,Yangyang Sorak Sea Pension,,홀리데이 하우스,,,대한민국 강원특별자치도 양양,,,,,,https://hotels.naver.com/KR1000013/hotels/N4355475?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,강원,9,하늘바다 오션뷰 펜션,Sky Sea Pension,홀리데이 하우스,,,강현면 동해대로 3339 하늘바다 오션뷰펜션,8.8,8.4,,,https://www.skyseaps.co.kr/,https://hotels.naver.com/KR1000013/hotels/KYK1070524924?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,강원,10,하늘정원 펜션,Yangyang Sky Garden Pension,홀리데이 하우스,,,손양면 무내미길 13-26,,,,,http://xn--wh1bt3z86denbv54a9nc.com/,https://hotels.naver.com/KR1000013/hotels/N5286272?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
