idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,마운틴밸리펜션,Inje Mountain Valley Pension,홈스테이,,,북면 백담로 43-17,8.3,,,,http://mountain_valley.staynt.co.kr/,https://hotels.naver.com/KR1000013/hotels/N5130395?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,곰하우스,Pyeongchang Gom House Pension,홈스테이,,033-333-6627,대화면 금당계곡로 887,,,,,http://xn--jb0b000bp2an4iv9tboc.kr/,https://hotels.naver.com/KR1000013/hotels/N3873047?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,Hongcheon Heukirangbyul Pension,,홈스테이,,,대한민국 강원특별자치도 홍천,,,,,http://www.soilstar.co.kr/,https://hotels.naver.com/KR1000013/hotels/N3644981?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,Pyeongchang Bench House Pension,,홈스테이,,,대한민국 강원특별자치도 평창,9.8,,,,,https://hotels.naver.com/KR1000013/hotels/KYK8712428?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,강원,5,인제 내린천글램핑,Inje Naerincheon Glamping,홈스테이,,,인제읍 내린천로 6184,,,,,http://naerincheon.co.kr/,https://hotels.naver.com/KR1000013/hotels/KYK9898850?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,강원,6,평창 하늘 정원,Pyeongchang Sky Garden Pension,홈스테이,,033-334-1255,봉평면 보래령로 46-66,,,,,,https://hotels.naver.com/KR1000013/hotels/N2370361?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,강원,7,황토흙펜션꿈의대화,Red Clay Pension Dream Conversation,홈스테이,,,느릅재길 326-12,,,,,http://hwangtodream.staynt.co.kr/,https://hotels.naver.com/KR1000013/hotels/KYK10235979?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,강원,8,오캄럭스클럽,Oklm Luxe Club,홈스테이,,,서면 굴업솔골길 29,,,,,http://www.oklmkids.com/,https://hotels.naver.com/KR1000013/hotels/N5278662?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,강원,9,Benhur House - Suite Spa,,홈스테이,,,대한민국 강원특별자치도 강릉,,,,,,https://hotels.naver.com/KR1000013/hotels/KYK1070524220?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,강원,10,또바기,Wonju Full Stay Tobagi,홈스테이,,,강원 원주시 꽃밭머리길 110-3,,,,,http://ttobagi2024.com/,https://hotels.naver.com/KR1000013/hotels/KYK10377032?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,강원,11,Sockcho Summitbay Oceanview 1705,,홈스테이,,,대한민국 강원특별자치도 속초,,,,,,https://hotels.naver.com/KR1000013/hotels/KYK1070591283?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,강원,12,Wonju Cloud Sound Pension,,홈스테이,,,대한민국 강원특별자치도 원주,,,,,http://gureumsori.kr/,https://hotels.naver.com/KR1000013/hotels/KYK9489909?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,강원,13,Goseong Daehwa Pension,,홈스테이,,,대한민국 강원특별자치도 고성,,,,,,https://hotels.naver.com/KR1000013/hotels/KYK9642320?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
