idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,가평 명지산계곡스테이,Myeongjisan Valley Stay,게스트하우스,2급,,북면 가화로 2932-7,,,,,http://xn--989a5by46cq4frtch5kqjezxt.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1070593356?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,게스트하우스 지지향,Guesthouse Jijihyang,게스트하우스,2급,031-955-0090,회동길 145,,,3.6,,http://jijihyang.com/,https://hotels.naver.com/KR1000278/hotels/N3018615?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,Gapyeong Playkids Pension,,게스트하우스,3급,,대한민국 경기도 가평,5.6,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070751817?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,양평 다온 펜션,Yangpyeong Daon Pension,게스트하우스,4급,,옥천면 상곡길 55-38,,,,,https://site.onda.me/136753,https://hotels.naver.com/KR1000278/hotels/KYK10228550?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,연천 허브 빌리지,Herb Village,게스트하우스,2급,,왕징면 북삼로20번길 55,,,,,http://www.herbvillage.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1070292219?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,죽전 게스트하우스 아이원리빙텔,Jukjeon Guesthouse iwantlivingtel,게스트하우스,2급,010-8263-9503,"죽전로 20, 죽전누리에뜰 3층",,,,,http://www.gosi1.net/view/gosiwonview.php3?&number=7777,https://hotels.naver.com/KR1000278/hotels/N3811567?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,쉼표게스트하우스,Paju Guesthouse Shymphyo - Hostel,게스트하우스,2급,,파평면 장승배기로314번길 79,,,,,,https://hotels.naver.com/KR1000278/hotels/N4996537?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,가평 뜰 풀빌라,Gapyeong Ddel Poolvilla,게스트하우스,3급,,가평읍 호반로 1689-13,8.5,9,,,http://xn--iq1bv8dtg52w3ysnjl.com/,https://hotels.naver.com/KR1000278/hotels/KYK8828222?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,I Want Livingtel,,게스트하우스,1급,,대한민국 경기도 용인 기흥구,6,4.4,,,,https://hotels.naver.com/KR1000278/hotels/KYK8324413?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,애플하우스,Apple House,게스트하우스,2급,,동두천로 129,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK5966060?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경기,11,대부도 콘서트 374 독채 펜션,Daebudo concert 374 dokchae pension,게스트하우스,1급,,단원구 나루개길 10-9,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK8892366?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경기,12,가평 파인피노 풀빌라 펜션,Gapyeong Pinepino Poolvilla,게스트하우스,4급,,설악면 엄소속골길 85-43,6.4,,,,https://www.pinepino.net/,https://hotels.naver.com/KR1000278/hotels/KYK7751278?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경기,13,모티프원 게스트하우스,Motif No.1 Guest House,게스트하우스,3급,031-949-0901,탄현면 헤이리마을길 38-26,9.1,,,,https://motif1.co.kr/,https://hotels.naver.com/KR1000278/hotels/N1994123?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경기,14,대부도 오티에르 풀빌라,Daebudo Otier Pool Villa,게스트하우스,,,단원구 참살이1길 21,,,,,https://www.xn--oi2b90bk8g39i8la774dcqc.com/,https://hotels.naver.com/KR1000278/hotels/KYK1071310869?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
