idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,까사32,Casa 32 Resort,리조트,3급,031-585-4432,설악면 유명로 2384,,,3.3,,https://casa32.co.kr/,https://hotels.naver.com/KR1000278/hotels/N2944761?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,한화 리조트 양평,Hanwha Resorts Yangpyeong,리조트,3급,031-772-3811,옥천면 신촌길 188,6.2,,3.6,,,https://hotels.naver.com/KR1000278/hotels/N1740987?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,클로버리조트,Clover Resort,리조트,4급,031-582-4567,가평읍 북한강변로 360-89,6,,,,http://clover-resort.com/,https://hotels.naver.com/KR1000278/hotels/N5281451?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,이뜨랜 리조트,Ethren Resort,리조트,3급,031-581-0600,가평읍 북한강변로 326-128,7.3,,,,http://ethrenresort.com/,https://hotels.naver.com/KR1000278/hotels/N2944762?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,남양주 탄넨바움펜션,Namyangju Tannenbaum Pension,리조트,3급,,경기도 남양주시 수동면 비룡로 1117-21,7.2,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7232993?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,가평 굿데이리조트,Gapyeong Goodday Resort,리조트,3급,,가평읍 북한강변로 544,7.4,,,,http://www.gooddayresort.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1070322501?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,크리스탈 밸리 CC - 골든 빌리지,Crystal Valley CC Golden Village,리조트,3급,031-589-5000,상면 대보간선로,,,,,http://www.crystalvalley.co.kr/,https://hotels.naver.com/KR1000278/hotels/N5281700?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,라드라비 리조트,L'Art De La Vie Art & Resorts,리조트,3급,,모가면 진상미로1163번길 220,,,,,https://lartdelavie.kr/,https://hotels.naver.com/KR1000278/hotels/N5304739?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,스카이빌펜션,Gapyeong Sky Vill Spa Pension,리조트,2급,,상면 수목원로386번길 14-1,,,,,https://homepage.staymg.com/%EA%B0%80%ED%8F%89%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%B0%B8%EB%A6%AC%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000278/hotels/N5258418?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,에버랜드 홈브리지 리조트,Everland Home Bridge Resort,리조트,1급,,경기도 용인시 처인구 포곡읍 에버랜드로 199,,,,,https://www.everland.com/homebridge/home,https://hotels.naver.com/KR1000278/hotels/KYK1070586330?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
