idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,그랜드모텔,Ilsan Juyeop Grand,모텔,2급,031-912-6683,강성로 147,9,,,,,https://hotels.naver.com/KR1000278/hotels/N3029321?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,호텔인카페,Guri Hotel In Cafe,모텔,3급,031-556-9864,안골로57번길 21,7.8,,,,http://hotelincafe-guri.com/,https://hotels.naver.com/KR1000278/hotels/N1873101?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,시흥 부티크 호텔 T,Siheung Boutique Hotel T,모텔,3급,031-431-4300,옥구상가4길 8-2,9.4,,,,,https://hotels.naver.com/KR1000278/hotels/N3558223?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,호텔야자 구리수택점,Hotel Yaja Guri,모텔,3급,0505-068-4491,안골로63번길 5,8.9,,,,,https://hotels.naver.com/KR1000278/hotels/N2016312?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,옐로우8호텔,Ilsan Yellow 8 Hotel,모텔,2급,,강성로 121,9.2,,,,,https://hotels.naver.com/KR1000278/hotels/N5258434?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,구리 스튜디오 9,Guri Studio 9,모텔,3급,,경기도 구리시 안골로57번길 14-6(수택동),8.2,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070529404?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,분당 밀,Bundang Mill,모텔,3급,,경기도 성남시 분당구 만세길 17 (율동),8.9,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7230338?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,쉘부르호텔,Cherbourg Hotel,모텔,4급,,범안로 990,6.9,,,,,https://hotels.naver.com/KR1000278/hotels/N5285030?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,그레이호텔,Gimpo Gray Hotel,모텔,3급,,김포한강9로75번길 24,9.2,,,,,https://hotels.naver.com/KR1000278/hotels/N4943464?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,브라운도트월곶점,Wolgot Station Brown Dot,모텔,3급,,경기도 시흥시 월곶중앙로70번안길 30,9.4,,,,http://pf.kakao.com/_XmRgxb,https://hotels.naver.com/KR1000278/hotels/KYK6685805?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경기,11,호텔 별,Anyang Beomgye Byeol Hotel,모텔,3급,,평촌대로223번길 19,8.1,,,,,https://hotels.naver.com/KR1000278/hotels/N5282564?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경기,12,호텔 컬리넌 용인,Hotel Cullinan Yongin,모텔,3급,031-335-5454,백옥대로 1102,7.1,7.3,3,,,https://hotels.naver.com/KR1000278/hotels/N1724347?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경기,13,준모텔,Ilsan Hwajeong June,모텔,3급,,화신로 272번길 58,9,,,,,https://hotels.naver.com/KR1000278/hotels/N5281305?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경기,14,호텔야자 수진역점,Seongnam Yaja Sujin Station,모텔,3급,,산성대로 164,8.6,,,,,https://hotels.naver.com/KR1000278/hotels/N4748476?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경기,15,호텔 옐로,Copper Hotel Yellow,모텔,3급,0507-1414-8347,경기도 구리시 체육관로171번길 38 (교문동),7.1,,,,,https://hotels.naver.com/KR1000278/hotels/N5283710?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
