idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,스카이 캐슬모텔,Anyang Sky Castle,민박(Inn),2급,,예술공원로 89-13,6.9,,,,,https://hotels.naver.com/KR1000278/hotels/N5284770?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,자니비,Suwon Johnny B,민박(Inn),3급,,경수대로191번길 24-15,,,,,,https://hotels.naver.com/KR1000278/hotels/N5283192?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,용인 양지 발리,Yongin Yangji Bali,민박(Inn),3급,,경기도 용인시 처인구 양지면 남평로 51-5,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070332810?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,의정부 프렌즈율 의정부점,Uijeongbu Friends Yul Uijeongbu Branch,민박(Inn),1급,,호국로1346번길 18,8.4,,,,,https://hotels.naver.com/KR1000278/hotels/N5282481?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,Suwon Byeolheneunbam,,민박(Inn),2급,,대한민국 경기도 수원 팔달구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK4781676?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,리버빌 펜션,Gapyeong Riverville,민박(Inn),2성급,031-585-5622,설악면 유명로 2324,8.9,,,,http://www.rivervill.kr/,https://hotels.naver.com/KR1000278/hotels/N2014668?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,동탄 Q,Dongtan Q,민박(Inn),3급,,경기도 화성시 동탄중심상가2길 15,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070527018?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,원 모텔,Yangpyeong One,민박(Inn),1급,031-775-2977,강상면 강남로 889-1,,,,,,https://hotels.naver.com/KR1000278/hotels/N3926696?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,수원 피아노,Suwon Piano,민박(Inn),2급,,경기도 수원시 장안구 송정로104번길 5,,,,,https://soloist.ai/piano,https://hotels.naver.com/KR1000278/hotels/KYK1070528437?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,호텔 젠,Hwaseong Zen,민박(Inn),1급,031-8059-0110,향남읍 발안로 540,,,,,,https://hotels.naver.com/KR1000278/hotels/N5286137?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경기,11,파주 금촌 세띠앙,Paju Geumchon Cetian,민박(Inn),2급,,경기 파주시 새꽃로 176 (금촌동),,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070515054?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경기,12,자유로모텔,Paju Jayuro,민박(Inn),2급,,탄현면 샘철길 16,6,,,,,https://hotels.naver.com/KR1000278/hotels/N5283207?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경기,13,포천 M,Pocheon M,민박(Inn),1급,,경기도 포천시 소흘읍 광릉수목원로 679,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070531952?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경기,14,포천 아뜨리에 드라이브인,Pocheon Atelier Drive-in,민박(Inn),2급,,경기도 포천시 소흘읍 죽엽산로 502-26,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7450083?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
