idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,포천 티볼리빌,Tivoliville Spa N Poolvilla,빌라,,,내촌면 금강로2110번길 88-13,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1072424489?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,가평 까사벨라 풀빌라,Gapyeong Casabella Pool Villa,빌라,,,북면 꽃넘이길 87-13,,,,,http://xn--hl0b77oq9dqze.com/,https://hotels.naver.com/KR1000278/hotels/KYK1071927399?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,로뎀프리 펜션,Rodem Free,빌라,,,법원읍 칡울길 25-11,,,,,http://rodemfree.staynt.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1072168806?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,3 min walking to USAG-Humphreys pedestrian gate,,빌라,,,대한민국 경기도 평택,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10673559?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,"Premium, President villa in Yeoncheon by 1.5hours from Seoul",,빌라,,,대한민국 경기도 연천,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10729259?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,연천 바우바우 애견펜션,Yeoncheon Bowbow Aegyeon Pension,빌라,,,미산면 노아로 670-97,,,,,https://site.onda.me/130929,https://hotels.naver.com/KR1000278/hotels/KYK1072601721?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,대부도 스페이스 풀빌라,Daebudo Space Pool Villa,빌라,,,경기 안산시 단원구 나루개길 10-5,,,,,https://open.kakao.com/o/sCFy1e2f,https://hotels.naver.com/KR1000278/hotels/KYK1070823369?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,대부도 더 스케치 펜션,Daebudo The Sketch Pension,빌라,,,단원구 참살이번영길 3-1,,,,,http://xn--9m1bv9xp2ao82a8xal6r.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1070586275?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,가평 신비 키즈 풀빌라,Gapyeong shinbi kids poolvilla,빌라,,,북면 논남기길 492-33,7.5,,,,https://www.bookinghub.co.kr/shinbykids,https://hotels.naver.com/KR1000278/hotels/KYK7566386?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,펀지 키즈 풀빌라,Funji Kids Pool Villa Pension,빌라,,,단원구 긴장불길 70-7,,,,,http://xn--oi2b52krqkng282apnek2b.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1070826490?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경기,11,가평 바인키즈독채풀빌라,Vine family and kids four season pool villa,빌라,,,가평읍 북한강변로 479-39,,,,,http://vinekidspool.com/,https://hotels.naver.com/KR1000278/hotels/KYK1070494873?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
