idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,채운산장,Caeun Pension,아파트,,,수동면 모꼬지로311번길 61,,,,,http://www.sanjang.kr/,https://hotels.naver.com/KR1000278/hotels/N5278890?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,가평 남이섬 힐링레저 펜션글램핑,Nami Island Healing Leisure Camping&Glamping,아파트,,,경기 가평군 가평읍 북한강변로 516,6,,,,http://www.bestcamping.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK7450828?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,호수위에하얀집,White House On The Lake Pension,아파트,,,청평면 상지로 257,,,,,,https://hotels.naver.com/KR1000278/hotels/N5278858?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,해오름펜션,Haeorum Pension,아파트,,,청평면 안대성길 23,6.7,,,,,https://hotels.naver.com/KR1000278/hotels/KYK8227742?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,화성 산토리니펜션8동,Hwaseong Santorini Pension 8,아파트,,,서신면 살곶이길 80-30,2.4,,,,,https://hotels.naver.com/KR1000278/hotels/N5130417?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,도로시의 숲,Dorothy's Forest Pension,아파트,,,상면 임초밤안골로 287,7.2,,,,http://dorothyforest.com/,https://hotels.naver.com/KR1000278/hotels/KYK1071418208?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,몬트샤인펜션,Gapyeong Mondschein Pension,아파트,,,설악면 유명로 2084,,,,,,https://hotels.naver.com/KR1000278/hotels/N5283706?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,아일랜드펜션,Hwaseong Island Pension,아파트,,,송산면 어섬길 153번길 48-3,,,,,http://www.xn--om2bi4opukqpfnla.xn--3e0b707e/,https://hotels.naver.com/KR1000278/hotels/N5280144?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,A good Lake Park & Restaurant and also Shoppong mall is very near,,아파트,,,대한민국 경기도 고양 일산동구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK6704095?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,하버하우스 풀빌라커플,Harbor House poolvilla couple,아파트,,,대한민국 경기도 가평,,,,,http://www.harborhouse.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK7853002?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경기,11,켄트28,Yangpyeong Kent 28 Pension,아파트,,,강하면 전의6길 35-28,,,,,http://kent28.com/,https://hotels.naver.com/KR1000278/hotels/N5279216?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경기,12,웰빙통나무펜션,Wellbeing log Pension,아파트,,,대한민국 경기도 가평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070009432?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경기,13,옐로우스톤 펜션,Yellow stone,아파트,,,상면 수목원로 354-16,,,,,http://xn--2o2b21qbxclsaf25b.com/,https://hotels.naver.com/KR1000278/hotels/N5279845?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경기,14,여울펜션,Yeoul Pension,아파트,,,용문면 상원사길 30-10,,,,,http://yeoulps.com/,https://hotels.naver.com/KR1000278/hotels/N5278859?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경기,15,올가펜션,Olga Pension,아파트,,,가평읍 태봉두밀로406번길 250,,,,,http://orga.coja.kr/,https://hotels.naver.com/KR1000278/hotels/N5278740?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,경기,16,연리지펜션,Jebudo Yeonliji Pension,아파트,,,서신면 해안길 150,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070237244?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,경기,17,Yangpyeong Only U Pension,,아파트,,,대한민국 경기도 양평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK3361730?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,경기,18,오르다온,Yangpyeong Ordaon Pension,아파트,,,서종면 송골길 233,,,,,http://www.ordaon.com/,https://hotels.naver.com/KR1000278/hotels/N5284438?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
