idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,라비에펜션,Lvaie Pension,펜션,4급,,조종면 현등사길 66,,,,,,https://hotels.naver.com/KR1000278/hotels/N5278747?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,시온빌펜션,Daebudo Sionville Pension,펜션,3급,,뻐꾹산길 99-31,,,,,http://www.sionvill.co.kr/,https://hotels.naver.com/KR1000278/hotels/N5280212?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,가평 한울터 펜션,Gapyeong Hanulteo Pension,펜션,3급,,상면 수목원로 424-45,8.6,7,,,https://hanulteo.co.kr/,https://hotels.naver.com/KR1000278/hotels/N5286391?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,여우가 달을 사랑할때,When a Fox Loves the Moon Pension,펜션,4급,,가평읍 태봉두밀로 596번길 78-16,8.8,,,,http://foxlove.kr/,https://hotels.naver.com/KR1000278/hotels/N5280020?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,소설펜션,Gapyeong Gagamel Pension,펜션,3급,010-3572-1339,설악면 묵안로 607,8.8,,,,http://novelps.com/,https://hotels.naver.com/KR1000278/hotels/N3872599?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,에스앤비스파펜션,Gapyeong S&B Spa Pension (adjacent to valley),펜션,3급,,북면 가화로 1476-30,9,,,,http://xn--9w3b13fmwckm.kr/,https://hotels.naver.com/KR1000278/hotels/N5283744?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,가평 베르소 퍼스티지 펜션,Gapyeong Bereuso Firstige Party Poolvill,펜션,3급,,청평면 고재길 146,8.3,,,,https://xn--oi2bpq96hb0b3xjujt52bu1rba3zy7bk3f.com/,https://hotels.naver.com/KR1000278/hotels/KYK8892613?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,보니따 펜션,Gapyeong Bonita Pension,펜션,3급,031-584-6006,상면 수목원로 248,9.5,9,,,http://bonitadr.kr/,https://hotels.naver.com/KR1000278/hotels/N3643106?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,양주 장흥수목원펜션,Yangju Jangheung Sumokwon Pension,펜션,2급,,경기도 양주시 장흥면 권율로309번길 167-26,8.4,,,,http://www.sumokwonpension.com/,https://hotels.naver.com/KR1000278/hotels/KYK1070607359?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,감성216 풀빌라펜션,Gapyeong Gamseong216 Poolvilla Pension,펜션,3급,,청평면 호명리길 216,8.6,,,,http://xn--216-po7lf95f.com/,https://hotels.naver.com/KR1000278/hotels/KYK7476913?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
