idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,썬밸리 호텔,Sun Valley Hotel,호텔,4성급,031-880-3889,강변유원지길 45,8.5,8.2,4.1,4.4,https://www.sunvalley.co.kr/hotel/hotel/intro,https://hotels.naver.com/KR1000278/hotels/N2014757?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,노보텔 앰배서더 수원,Novotel Ambassador Suwon,호텔,4성급,031-547-6600,덕영대로 902,8.9,8.8,4.3,4.8,https://www.ambatel.com/novotel/suwon/ko/main.do,https://hotels.naver.com/KR1000278/hotels/N2663528?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,노마드 호텔,Anseong Nomad Hotel,호텔,3급,031-677-2023,보개면 보개원삼로 492,8.3,7.4,,4.1,http://www.hotelnomad.co.kr/,https://hotels.naver.com/KR1000278/hotels/N5288450?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,호텔 스카이파크 센트럴 서울 판교,Hotel Skypark Central Seoul Pangyo,호텔,3성급,1877-8006,황새울로311번길 36,8.7,8.7,4.2,4.6,https://www.skyparkhotel.com/html/main.asp,https://hotels.naver.com/KR1000278/hotels/N3567186?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,포포인츠 바이 쉐라톤 수원,Four Points by Sheraton Suwon,호텔,4성급,031-784-9330,효원로307번길 27,8.8,8.4,4.5,4.8,,https://hotels.naver.com/KR1000278/hotels/N5301495?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,벨라 스위트 호텔,Vella Suite Hotel,호텔,3급,031-231-2121,권광로180번길 18-15,8.6,8.1,4.3,4.1,http://www.vellasuitehotel.co.kr/,https://hotels.naver.com/KR1000278/hotels/N3071660?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,호텔 마리나베이 서울 아라,Hotel Marinabay Seoul Ara,호텔,4급,02-1833-8050,고촌읍 아라육로152번길 210-50,6.7,7,3.8,3.9,http://www.marinabayseoul-ara.com/,https://hotels.naver.com/KR1000278/hotels/N5304232?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,폴라리스 호텔,Polaris Hotel,호텔,3급,032-323-1500,소향로13번길 27,8.4,7.6,3.6,4.3,http://www.polarishotel.co.kr/,https://hotels.naver.com/KR1000278/hotels/N1711337?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,백학자유로리조트,Baekhak Jayuroresort,호텔,3급,031-839-3004,백학면 노아로 491번길 283,8.5,,,4.5,https://www.jayuroresort.com/,https://hotels.naver.com/KR1000278/hotels/N5287594?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,르본 수원 실크로드 호텔,Reborn Suwon Silkroad Hotel,호텔,3성급,031-232-9981,인계로94번길 27-19,8.2,8.3,3.6,3.7,https://sr-silkroadhotel.com/,https://hotels.naver.com/KR1000278/hotels/N1671369?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
