idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,Yongin Mano Healing Camp,,홀리데이 하우스,,,대한민국 경기도 용인 처인구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7234657?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,포천 레몬트리펜션,Pocheon Lemon Tree Pension,홀리데이 하우스,,,이동면 금강로 6233-8,8.4,,,,http://page.yapen.co.kr/23914,https://hotels.naver.com/KR1000278/hotels/N5278391?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,가평 은하수를담다 풀빌라,Gongganhoe-Eok Private Poolvilla Pension,홀리데이 하우스,,,상면 깃대봉길 17-43,,,,,https://xn--s39awr770dxmp.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1070821427?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,가평 가평애스파 펜션,Gapyeong Gapyeong-aespa Pension,홀리데이 하우스,,,대한민국 경기도 가평,5.6,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7843400?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,가평 들꽃향기펜션,Gapyeong Perfume of Wildflower Pension,홀리데이 하우스,,,경기도 가평군 청평면 강변로 109,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070291716?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,레이크테라스,Gapyeong Lake Terrace Pension,홀리데이 하우스,,,청평면 호반로 1007,,,,,http://page.yapen.co.kr/28204,https://hotels.naver.com/KR1000278/hotels/N5285621?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,가평 행복이머무는집펜션,Gapyeong Haengbogi Meomuneunjip House,홀리데이 하우스,,,경기도 가평군 가평읍 복장포길 37,,,,,http://www.haksanchon.net/,https://hotels.naver.com/KR1000278/hotels/KYK7843428?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,가평 해오름펜션,Gapyeong Haeohreum Pension,홀리데이 하우스,,,청평면 안대성길 23,8,,,,,https://hotels.naver.com/KR1000278/hotels/N5278831?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,가평 엘리에셀펜션,Gapyeong Eliezer Pension,홀리데이 하우스,,,가평읍 북한강변로,,,,,,https://hotels.naver.com/KR1000278/hotels/N5281457?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,샘물향기펜션,Gapyeong Spring Aroma Pension,홀리데이 하우스,,,청평면 수리재길 322-70,,,,,https://springaroma.imweb.me/,https://hotels.naver.com/KR1000278/hotels/N5283703?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경기,11,Gapyeong Gaboja Pension,,홀리데이 하우스,,,대한민국 경기도 가평,,,,,,https://hotels.naver.com/KR1000278/hotels/N5279978?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경기,12,양평 팝페라 스파 펜션,Yangpyeong Popperas Spa Pension,홀리데이 하우스,,031-772-7313,용문면 용문산로 340-19,7.7,,,,https://homepage.staymg.com/%EC%96%91%ED%8F%89%ED%8C%9D%ED%8E%98%EB%9D%BC%EC%8A%A4%ED%8C%8C%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000278/hotels/N3644913?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경기,13,가평 만월 애견 풀 글램핑 펜션,Gapyeong Manwol Aegyeon Pool Glamping,홀리데이 하우스,,,상면 깃대봉길 17-27,,,,,http://fullmoonpet.kr/,https://hotels.naver.com/KR1000278/hotels/KYK10351381?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경기,14,양평 라이브힐링펜션,Yangpyeong Live Healing Pension,홀리데이 하우스,,,경기도 양평군 용문면 연수로590번길 18-8,,,,,http://flp2024.com/,https://hotels.naver.com/KR1000278/hotels/KYK7232711?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경기,15,양평 산과강펜션,Yangpyeong San And Gang Pension,홀리데이 하우스,,,경기도 양평군 용문면 용문삼성로20번길 73-2,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070302440?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,경기,16,길펜션,Pocheon Gil Pension,홀리데이 하우스,,,일동면 영일로 281,,,,,,https://hotels.naver.com/KR1000278/hotels/N5278205?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,경기,17,양평 나들펜션,Yangpyeong Nadeul Pension,홀리데이 하우스,,,서종면 거북바위1길 78,,,,,,https://hotels.naver.com/KR1000278/hotels/N5279210?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,경기,18,오즈펜션,Gapyeong Yumyeongsan Oz Pension,홀리데이 하우스,,,설악면 유명산길 61-100,,,,,,https://hotels.naver.com/KR1000278/hotels/N5283733?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,경기,19,양평 산골마당펜션,Yangpyeong Mountain Yard Pension,홀리데이 하우스,,,경기 양평군 서종면 내수입길 161,,,,,http://ypsankolmadang.net/,https://hotels.naver.com/KR1000278/hotels/KYK1070302443?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
