idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경기,1,Pocheon Attirang Kids Pool Villa (Newly Remodeled in June 2023),,홈스테이,,,대한민국 경기도 포천,,,,,https://attirance.iwinv.net/attirance/,https://hotels.naver.com/KR1000278/hotels/KYK7230155?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경기,2,해나 펜션,Haena Pension,홈스테이,,031-581-7709,가평읍 당목가일길 482-29,10,,,,http://haenapension.co.kr/,https://hotels.naver.com/KR1000278/hotels/N3643649?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경기,3,파주 한옥에서 하루를,Paju Hanokaeseo Harureul,홈스테이,,,문산읍 방촌로1294,10,,,,,https://hotels.naver.com/KR1000278/hotels/KYK9081868?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경기,4,가평 계곡에 풍덩 펜션 캠핑장,Gapyeong Gyegokae Poongdung Pension Camping,홈스테이,,,조종면 명지산로 463,,,,,https://site.onda.me/136772/reservations,https://hotels.naver.com/KR1000278/hotels/KYK10235967?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경기,5,가평 청운몽풀빌라,Gapyeong Cheongwoon Mong Pool Villa,홈스테이,,,경기도 가평군 설악면 자잠로 286-6,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10357703?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경기,6,양평 금빛하늘아래 한옥스테이,Hanok stay under the golden sky in Yangpyeong,홈스테이,,,서종면 화서로 1094,8,8,,,http://goldenskyps.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK7234361?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경기,7,대부도 세비야 펜션,Daebudo Seville Pool Villa,홈스테이,,,단원구 참살이번영길 6,,,,,https://www.seviyapoolvilla.com/,https://hotels.naver.com/KR1000278/hotels/KYK1070619335?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경기,8,광주 시고르스테이,Gwangju Sigor Stay,홈스테이,,,경기도 광주시 퇴촌면 오리길 22-5,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10357161?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경기,9,Gapyeong Haneulmok Pension,,홈스테이,,,대한민국 경기도 가평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070630689?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경기,10,용인 스테이뷰 풀빌라,Yongin Stayview Pension,홈스테이,,,경기도 용인시 처인구 양지면 교동로32번길 31-13,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10357284?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경기,11,양평 느티하우스,Yangpyeong Neuti House,홈스테이,,,경기 양평군 단월면 양동로 80,,,,,https://zelkovahouse.creatorlink.net/,https://hotels.naver.com/KR1000278/hotels/KYK7234349?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경기,12,가평 디파우제 풀빌라 스파 펜션,Gapyeong Defauze Pool Villa Spa Pension,홈스테이,,,조종면 연인산로 245-15,6,,,,http://diepause.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK10235944?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경기,13,Aquavalley Pension,,홈스테이,,,대한민국 경기도 가평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070527641?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경기,14,가평 콩콩키즈 & 내림 스테이,Gapyeong Kongkong Kids Pool Villa,홈스테이,,,북면 꽃넘이길 72,,,,,http://xn--220bq2km0brvh3oghlikzd89oa462a66bg0r.kr/index.html,https://hotels.naver.com/KR1000278/hotels/KYK1070701694?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경기,15,Gapyeong Faraway Scent Pension,,홈스테이,,,대한민국 경기도 가평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070810983?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,경기,16,힐하우스,Gapyeong Buk-Myeon Hill House,홈스테이,,,북면 백둔로560번길 36-1,,,,,http://gphillhouse.com/,https://hotels.naver.com/KR1000278/hotels/N5278797?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,경기,17,Paju seashell,,홈스테이,,,대한민국 경기도 김포,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10360009?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,경기,18,대부도 이플풀빌라,Daebu Island's Eple Villa,홈스테이,,,경기도 안산시 단원구 소득1길 8,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK9355885?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,경기,19,나비잠펜션,Gapyeong Nabijam Pension,홈스테이,,,북면 싸리재길 16,,,,,http://www.navizam.kr/,https://hotels.naver.com/KR1000278/hotels/N5286554?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,경기,20,파인벨리 1호점,Pinevelley 1ho,홈스테이,,,경기 포천시 화현면 봉화로 315-78,,,,,https://www.pinevallry.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK7233293?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,경기,21,Yangpyeong B612 Pension,,홈스테이,,,대한민국 경기도 양평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070534185?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,경기,22,Yangpyeong Uno House Pool Villa,,홈스테이,,,대한민국 강원특별자치도 홍천,,,,,http://unohouse.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1070556845?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,경기,23,대부도 종이 미술관 펜션,Daebudo jongii misulgwan pension,홈스테이,,,단원구 대남로 233,,,,,http://www.xn--zb0bw7z84d2wa28q1tb692b.com/,https://hotels.naver.com/KR1000278/hotels/KYK1070476964?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,경기,24,파주 들꽃향기풀빌라,The scent of flowers in Paju,홈스테이,,,경기도 파주시 조리읍 수레길 191-173,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK9489881?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,경기,25,포천 스테이405,Pocheon Stay 405,홈스테이,,,경기도 포천시 소흘읍 죽엽산로405번길 24-13,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10358300?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
