idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,새미게스트하우스,Tongyeong Semiee Guest House,게스트하우스,2급,,항남2길 9,,,,,,https://hotels.naver.com/KR1000243/hotels/N4744153?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,창원 코모도하우스,Changwon Comodo House,게스트하우스,2급,055-261-3050,용지로 94 5층,9,,,,,https://hotels.naver.com/KR1000243/hotels/N3939613?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,이편한 게스트하우스,Easy Guesthouse,게스트하우스,2급,055-295-4999,"석전동15길 39, 2층",7.8,,1.6,,,https://hotels.naver.com/KR1000243/hotels/N3059177?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,까미노 BnB,Camino B&B,게스트하우스,2급,,반송로81번길 37,,,,,http://www.airbnb.co.kr/rooms/14309747?preview,https://hotels.naver.com/KR1000243/hotels/N4018327?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,화이트 하우스,White House,게스트하우스,1급,,이동면 미국마을길 29,9.2,8.6,,,http://white-houseps.com/,https://hotels.naver.com/KR1000243/hotels/KYK7385672?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,벨라 게스트하우스,Bella Guesthouse,게스트하우스,2급,010-8952-5553,서송정1길 32-23,9.3,8.9,4.7,,https://bellaguesthouse-mo4.imweb.me/,https://hotels.naver.com/KR1000243/hotels/N3060011?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,거제 욜로인 게스트하우스,Geoje Yolo Guesthouse,게스트하우스,2급,,일운면 회진1길 5,,,,,http://www.yologh.co.kr/,https://hotels.naver.com/KR1000243/hotels/KYK9898856?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,강구안 게스트하우스,Kangguan Guesthouse,게스트하우스,2급,,동충4길 56,9.2,9.2,,,,https://hotels.naver.com/KR1000243/hotels/N4522701?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,거제 소금꽃 정원,Garden Salt Geoje Island,게스트하우스,2급,,동부면 구천1길 23,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070904481?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,스토리 게스트하우스,The Story Guesthouse,게스트하우스,1급,010-5214-9216,도남로 175-27,9.4,,,,,https://hotels.naver.com/KR1000243/hotels/N3059987?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경남,11,Beach Getaway for Singles and Couples - Perfect Location and great views.,,게스트하우스,,,대한민국 경상남도 거제,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070394972?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경남,12,진주게스트하우스 게스트 H,Jinju Guesthouse Guest H,게스트하우스,2급,,경상남도 진주시 모덕로64번길 9,,,,,http://guesth.kr/,https://hotels.naver.com/KR1000243/hotels/KYK3125132?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경남,13,하고 게스트하우스,Hago Guest House,게스트하우스,1급,010-3716-8116,진남아랫길 23-15,9.7,,,,,https://hotels.naver.com/KR1000243/hotels/KYK2062255?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
