idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,통도 환타지아 콘도,Fantasia Condo,리조트,3급,055-379-7000,하북면 통도7길 68,,,,,http://condo.fantasia.co.kr/,https://hotels.naver.com/KR1000243/hotels/N2367515?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,히노끼해수찜리조트,Hinoki Haesu Jjim Resort,리조트,4급,,거제시 동부면 학동리 거제중앙로20,9.5,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1071872258?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,부곡 스파디움 따오기호텔,Changnyeong Bugok Spadium Ddaogi Hotel,리조트,2급,055-530-3000,부곡면 온천중앙로 42,,,,,http://spadium.co.kr/,https://hotels.naver.com/KR1000243/hotels/N3772749?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,한우리 펜션,Hanuri Pension,리조트,2급,,"남면, 석교리, 469-2",,,,,http://www.hanurips.com/,https://hotels.naver.com/KR1000243/hotels/KYK447926?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,베스퍼남해,Vesper Namhae,리조트,4급,0507-1434-3419,창선면 서부로 1161-15,10,,,,http://vespernamhae.com/,https://hotels.naver.com/KR1000243/hotels/N5305146?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,남해 하버 하우스,Namhae Harbor Resort,리조트,3급,,남면 남면로 240-4,2.2,,,,,https://hotels.naver.com/KR1000243/hotels/KYK7232913?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,거제 트로피칼드림 스파리조트,Tropical Dream Spa Resort,리조트,4급,,경남 거제시 일운면 망양1길 16,7.4,6.1,,,http://www.tropicaldream.co.kr/,https://hotels.naver.com/KR1000243/hotels/KYK5537214?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,엘니도 리조트,El Nido Resort,리조트,2급,,경상남도 남해군 남면 선구리 1339-14,2,,,,,https://hotels.naver.com/KR1000243/hotels/KYK7996333?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,통영 비치 캐슬 호텔 앤 리조트,Tongyeong Beachcastle Resort,리조트,3급,055-644-2700,평인일주로 486-1,7.8,,,,http://beachcastlehotel.com/,https://hotels.naver.com/KR1000243/hotels/N3032887?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,행복마을 리조트,Namhae Happy Village Pension,리조트,3급,055-864-6005,이동면 남해대로1745번길 13-11,3.4,,,,,https://hotels.naver.com/KR1000243/hotels/N3644694?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
