idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,아이엠 호텔,Im Hotel,모텔,2급,055-383-5577,양산역8길 15,8.6,,,,http://ys-iam.jalib.site/,https://hotels.naver.com/KR1000243/hotels/KYK7215554?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,Cnn 호텔,Cnn Hotel,모텔,3급,055-284-9100,상남로 118,9.7,,4.7,4.9,,https://hotels.naver.com/KR1000243/hotels/N3049621?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,1박2일모텔,W Hotel,모텔,2급,,동면 금오14길 7,8.2,6,,,,https://hotels.naver.com/KR1000243/hotels/N4013845?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,아디오스,Tongyeong Adios Hotel,모텔,3급,,동충1길 12-3,9,,,,,https://hotels.naver.com/KR1000243/hotels/N4942404?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,카라라호텔,Geojedo Jangseungpo Hotel Carara,모텔,3급,,신부로 37,9.4,,,,,https://hotels.naver.com/KR1000243/hotels/N5284591?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,창녕 Hotel 컨티뉴 창녕점,Changnyeong Hotel Countinue,모텔,3급,,경상남도 창녕군 대합면 대합산업단지로 119-9,9.2,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070526776?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,삼육구모텔,Yangsan Mulgeum 369,모텔,3급,,물금읍 야리2길 15,,,,,,https://hotels.naver.com/KR1000243/hotels/N5283113?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,양산 북부동 더밤S,Yangsan Bukdong The Bams,모텔,3급,,경상남도 양산시 북안북9길 4(북부동),6.3,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070528844?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,짝모텔,Yangsan Nambu-dong Jjak,모텔,2급,055-365-8883,중앙로113,7.8,,,,,https://hotels.naver.com/KR1000243/hotels/N3561501?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,준호텔,Hapcheon Jun Hotel,모텔,3급,,대양면 동부로 64-88,7,,,,,https://hotels.naver.com/KR1000243/hotels/N5282279?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경남,11,"밀양 V1,V2,V3",Milyang V1 V2 V3,모텔,2급,,삼랑진읍 안태리 527,10,,,,,https://hotels.naver.com/KR1000243/hotels/N5283297?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경남,12,천오모텔,Geochang Cheonoh,모텔,3급,,거창읍 거창대로3길 11,7.1,,,,,https://hotels.naver.com/KR1000243/hotels/N5280815?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
