idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,Jinju Cheongam,,민박(Inn),2급,,대한민국 경상남도 진주,5.6,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070701950?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,양산 통도사 V원,Yangsan Tongdosa Temple V Won,민박(Inn),1급,,경상남도 양산시 하북면 통도8길 15,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070530758?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,라포르호텔,Rapport Hotel Sacheon,민박(Inn),2급,055-852-9115,사천읍 진삼로 1485-7,,,,,,https://hotels.naver.com/KR1000243/hotels/N3997730?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,파크모텔,Jinju Park,민박(Inn),2급,,솔밭로110번길 10,,,,,,https://hotels.naver.com/KR1000243/hotels/N5283611?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,합천 가야산장,Hapcheon Gaya Mountain Cabin,민박(Inn),1급,,경상남도 합천군 가야면 가야시장로 106,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK9462263?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,Changwon Jinhae Dudong Q,,민박(Inn),2급,,대한민국 경상남도 창원 진해 비행장,2.8,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070689676?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,퀸모텔,Sacheon Gonmyeong Queen,민박(Inn),3급,,곤명면 경서대로 2991,,,,,,https://hotels.naver.com/KR1000243/hotels/N5281952?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,통영 Q,Tongyeong Q,민박(Inn),2급,,경상남도 통영시 안개2길 31,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070528558?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,김해 부원동 테라스,Gimhae Buwondong Terrace,민박(Inn),1급,,경상남도 김해시 가락로63번길 26-6(서상동),10,,,,,https://hotels.naver.com/KR1000243/hotels/KYK7231522?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,Tongyeong Golden Tower,,민박(Inn),1급,,대한민국 경상남도 통영,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK9489882?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경남,11,Changwon Yonghodong Sun,,민박(Inn),2급,,대한민국 경상남도 창원 의창구,3.2,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070701186?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경남,12,산청 킹,Sancheong King,민박(Inn),2급,,경상남도 산청군 산청읍 꽃봉산로 132,3.6,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070527110?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경남,13,Changwon One,,민박(Inn),2급,,대한민국 경상남도 창원 의창구,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070681220?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경남,14,그린 모텔,Gimhae Jangyu G and G,민박(Inn),1급,055-314-7123,장유로 337,,,,,,https://hotels.naver.com/KR1000243/hotels/N2224992?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경남,15,Yangsan Bukbudong A Plus,,민박(Inn),,,대한민국 경상남도 양산,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK9489969?adultCnt=2&pageIndex=2&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,경남,16,Changwon Jinhae Namheung Market,,민박(Inn),1급,,대한민국 경상남도 창원 진해 비행장,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070701174?adultCnt=2&pageIndex=2&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,경남,17,Yangsan Mulgeum the Terrazo Hotel,,민박(Inn),,,대한민국 경상남도 양산,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070821522?adultCnt=2&pageIndex=2&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
