idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,해일몽펜션,Geojedo Haeilmong Pension,아파트,,,장목면 율천두모로 154-46,,,,,,https://hotels.naver.com/KR1000243/hotels/N5285154?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,거제도 카리브펜션,Geojedo Carib Pension,아파트,,,경남 거제시 동부면 거제대로 935,,,,,http://xn--oy2b23fm6cqxsw7f.com/,https://hotels.naver.com/KR1000243/hotels/KYK1070298286?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,거제도 붕우펜션,Geojedo Bungu Pension,아파트,,,동부면 학동6길 58,,,,,,https://hotels.naver.com/KR1000243/hotels/N5286109?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,꽃담펜션,Tongyeong Kkotdam Pension,아파트,,,광도면 창포길 6-17,,,,,http://www.01024643136.com/,https://hotels.naver.com/KR1000243/hotels/N5282692?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,Geojedo Sea and Pool Villa,,아파트,,,대한민국 경상남도 거제,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070298380?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,거제도 홍포펜션,Geojedo Hongpo Pension,아파트,,,경상남도 거제시 남부면 거제남서로 735,,,,,https://pension24.co.kr/h/gjhongpo,https://hotels.naver.com/KR1000243/hotels/KYK1070298374?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,3bedrooms Apt In Geoje,,아파트,,,대한민국 경상남도 거제,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070296704?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,하동 소풍방펜션,Hadong Sopungbang Pension,아파트,,,화개면 화개로 465,,,,,http://page.yatravel.co.kr/21419,https://hotels.naver.com/KR1000243/hotels/N5278235?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,남해갤러리시선,Namhae Badangdurum,아파트,,,남면 빛담촌길 29-6,,,,,,https://hotels.naver.com/KR1000243/hotels/N4708510?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,지리산리조트,Hamyang Jiri Resort Bed and Breakfast,아파트,,,휴천면 천왕봉로 2257-2,,,,,http://www.jirisanresort.com/,https://hotels.naver.com/KR1000243/hotels/N5283249?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경남,11,1박 2일 펜션,2 Days 1 Night,아파트,,,경상남도 밀양시 단장면 고례4안길 10,,,,,http://www.2day1night.kr/,https://hotels.naver.com/KR1000243/hotels/KYK7443772?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
