idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,고은펜션,Goun Pension,펜션,4급,,일운면 거제대로 1777,10,,,,http://pgoun.net/,https://hotels.naver.com/KR1000243/hotels/N5278636?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,우연과 인연,Namhae Uyeongwa Inyeon Pension Uyeon,펜션,3급,,남면 남면로 1274,9.1,,,,http://www.wooin.or.kr/,https://hotels.naver.com/KR1000243/hotels/KYK7232949?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,남해에서하루펜션,Haru Pension in Namhae Namhae,펜션,3급,,이동면 강진만로 398,9.6,,,,https://homepage.staymg.com/%EB%82%A8%ED%95%B4%EB%82%A8%ED%95%B4%EC%97%90%EC%84%9C%ED%95%98%EB%A3%A8%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000243/hotels/N4942451?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,힐링타임펜션,Namhae Healing Time Pension,펜션,2급,,남면 남면로 1156-46,9,,,,http://xn--9y2bs5wv8gj5g.kr/,https://hotels.naver.com/KR1000243/hotels/N4011595?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,해간도 펜션,Tongyeong Haegando Pension,펜션,3급,055-648-7887,용남면 해간길 87,9.4,,,,https://haegando.kr/,https://hotels.naver.com/KR1000243/hotels/N3643744?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,남해 봄여름가을겨울 펜션,"Namhae Spring, Summer, Fall, Winter Pet-",펜션,3급,,창선면 동부대로 2789,8.4,9,,,http://www.xn--o39ammq23anpdzroc9a71a.com/,https://hotels.naver.com/KR1000243/hotels/KYK7232940?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,라온 스테이,Yangsan Raon Stay Pension,펜션,3급,,하북면 지산로 25,4.4,,,,http://raonstay.net/,https://hotels.naver.com/KR1000243/hotels/N4301784?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,좋은 카라반 펜션,Good caravan,펜션,3급,,대한민국 경상남도 양산,,,,,http://xn--oi2bl1g0yl2ibg8o.com/,https://hotels.naver.com/KR1000243/hotels/N5281684?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,펜션 마노아,Pension Manoa,펜션,3급,010-6312-9222,이동면 미국마을길 6,8.5,,5,,http://manoapension.co.kr/,https://hotels.naver.com/KR1000243/hotels/N2946821?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,아라온 펜션,Geoje Araon Pension,펜션,3급,010-6687-0189,일운면 양화2길 10-3,9.5,9,,,http://araonpension.com/,https://hotels.naver.com/KR1000243/hotels/N3644333?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
