idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,호텔 리베라 거제,Hotel Riviera Geoje,호텔,3성급,055-730-5000,일운면 거제대로 2190,7.9,7.6,3.3,4.1,http://www.hotelriviera.co.kr/geoje/,https://hotels.naver.com/KR1000243/hotels/N1714813?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,라마다 스위츠 거제,Ramada Suites Geoje,호텔,3급,055-682-7000,일운면 거제대로 2631,8.4,,3.1,4.4,http://www.ramadasuitegeoje.com/,https://hotels.naver.com/KR1000243/hotels/N4520845?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,브라운도트 통영 항남점,Tongyeong Brown Dot South Tongyeong Port Branch,호텔,3급,055-645-8533,동충4길 53,8.3,,,,http://tongyeongbrowndot.jalib.site/,https://hotels.naver.com/KR1000243/hotels/N4604832?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,크라운호텔 창원,Crown Hotel Changwon,호텔,3성급,055-237-1001,창원대로363번길 22-5,8.6,8.5,4.2,,http://crownhotel.kr/,https://hotels.naver.com/KR1000243/hotels/N2917514?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,라온스테이 호텔,Raonstay in Perla Hotel,호텔,3급,055-761-1000,영천강로 164,8.2,6.8,3.9,4.3,,https://hotels.naver.com/KR1000243/hotels/N3566041?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,브라운도트 호텔 거제옥포점,Geoje Okpo Brown Dot,호텔,3급,055-688-0181,옥포로 170-10,9,,,,http://www.makeus.net/31271,https://hotels.naver.com/KR1000243/hotels/N3123970?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,퍼스트클래스 호텔,Masan First Class Hotel,호텔,2급,057-1371-7821,동서동1길 2,7.9,7.2,,,,https://hotels.naver.com/KR1000243/hotels/N5300193?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,그레이호텔,Tongyeong Boutique Hotel Gray,호텔,3급,,동충1길 12-2,10,,,,,https://hotels.naver.com/KR1000243/hotels/N4734934?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,토모노야시그니처료칸남해,Tomonoya Signature Ryokan Namhae,호텔,3급,,창선면 서부로 1503-28,6.7,7,,,https://www.tomonoyanh.co.kr/,https://hotels.naver.com/KR1000243/hotels/N5279976?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,소노캄 거제,Sono Calm Geoje,호텔,5급,1588-4888,일운면 거제대로 2660,8.9,8.4,4.3,4.5,https://www.sonohotelsresorts.com/calm_gj,https://hotels.naver.com/KR1000243/hotels/N2015685?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
