idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,통영 하고 게스트하우스,Tongyeong Hago Guesthouse,홀리데이 하우스,,,경상남도 통영시 진남아랫길 23-15 (미수동),,,4,,,https://hotels.naver.com/KR1000243/hotels/N2225845?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,눈앞에바다펜션,Sea In Front Of Us,홀리데이 하우스,,,대한민국 경상남도 통영,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070237391?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,노을바다,Tongyeong Glow Pension,홀리데이 하우스,,,평인일주로 393-23,,,,,,https://hotels.naver.com/KR1000243/hotels/N5278193?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,아라솔펜션,Arasol Pension,홀리데이 하우스,,,일운면 윤돌길 30,9.5,9.6,,,http://www.arasol.kr/,https://hotels.naver.com/KR1000243/hotels/KYK9820231?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,온다하우스,Geojedo Onda House Pension,홀리데이 하우스,,,하청면 대곡3길 28-8,,,,,,https://hotels.naver.com/KR1000243/hotels/N5285184?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,chocolate,,홀리데이 하우스,,,대한민국 경상남도 남해,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK9192582?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,버즈힐펜션,Geojedo Birds Hill Pension,홀리데이 하우스,,,남부면 거제남서로 758-15,2,,,,http://www.birdshill.co.kr/,https://hotels.naver.com/KR1000243/hotels/N5234512?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,지리산힐링펜션,Sancheong Jirisan Healing Pension,홀리데이 하우스,,,시천면 구미길 5-3,,,,,,https://hotels.naver.com/KR1000243/hotels/N5284870?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,Miryang Geumgwa Okpul Pension,,홀리데이 하우스,,,대한민국 경상남도 밀양,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK7444773?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,Sancheong Shwim Pension,,홀리데이 하우스,,,대한민국 경상남도 산청,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK7233587?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경남,11,더썬펜션,Namhae The Sun Pension,홀리데이 하우스,,,창선면 동부대로 2810-8,,,,,,https://hotels.naver.com/KR1000243/hotels/N5286430?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경남,12,The sunset is a beautiful house. Quiet and independent.,,홀리데이 하우스,,,대한민국 경상남도 통영,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070088483?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경남,13,Relax and Enjoy the Beauty of Bird Song and Crashing Waves,,홀리데이 하우스,,,대한민국 경상남도 거제,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070751960?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경남,14,통영 어뮤징스토리,Tongyeong Amusing Story,홀리데이 하우스,,,도산면 도산일주로 2031,8.9,,,,http://amusingstory.co.kr/,https://hotels.naver.com/KR1000243/hotels/KYK9073536?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경남,15,"A Peaceful Retreat in Namhae: Stay, Explore & Unwind in Nature",,홀리데이 하우스,,,대한민국 경상남도 남해,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK10655058?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
