idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경남,1,퀸모텔,Queen Motel,홈스테이,,,옥포로2길 39-2,7.8,,,,,https://hotels.naver.com/KR1000243/hotels/N5285337?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경남,2,Sullem Pension,,홈스테이,,,대한민국 경상남도 남해,,,,,http://sullem.net/,https://hotels.naver.com/KR1000243/hotels/KYK1070530394?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경남,3,남해 위스테이202풀빌라,Namhae We Stay 202 Pool Villa,홈스테이,,,경상남도 남해군 남면 남서대로 505-3,,,,,http://westay202.co.kr/,https://hotels.naver.com/KR1000243/hotels/KYK9355460?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경남,4,소소하우스,Namhae Soso House,홈스테이,,,경남 남해군 남면 무지개로 104,,,,,https://sosohouse.kr/,https://hotels.naver.com/KR1000243/hotels/KYK10358530?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경남,5,사천 비렁풀빌라펜션,Sacheon Bileong Pool Villa Pension,홈스테이,,,서포면 제비길 116-2,,,,,http://bileong.staynt.co.kr/,https://hotels.naver.com/KR1000243/hotels/KYK10359831?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경남,6,빠하디 풀빌라,Pahadi Pool Villa,홈스테이,,,대한민국 경상남도 하동,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070529859?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경남,7,거제 더베이1804,Geojedo the Bay 1804 Pool Villa,홈스테이,,,일운면 거제대로 1804,,,,,http://thebay1804.co.kr/,https://hotels.naver.com/KR1000243/hotels/KYK9356290?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경남,8,함양 스톤하우스 민박,Hamyang Stone House Pension,홈스테이,,,경상남도 함양군 마천면 칠선로 243-15,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK1070529922?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경남,9,Geoje Island Green Hue Pension (tent camping),,홈스테이,,,대한민국 경상남도 거제,,,,,http://greenhue.net/,https://hotels.naver.com/KR1000243/hotels/KYK1070791829?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경남,10,해바라기풀빌라,Geochang Sunflower Pool Villa Pension,홈스테이,,,경남 거창군 가조면 의상봉길 614,,,,,http://xn--v69a66a89onwewyh9srrfm1rd.com/,https://hotels.naver.com/KR1000243/hotels/KYK1070743789?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경남,11,사천 더메르 풀빌라,The Mer Pool Villa,홈스테이,,,경남 사천시 해안관광로 303-15,,,,,http://themer.co.kr/,https://hotels.naver.com/KR1000243/hotels/KYK10019860?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경남,12,해무 펜션,tongyeonghaemupensyeon,홈스테이,,,산양읍 물개길95,,,,,http://pension.pe.kr/h/tyhaemu/,https://hotels.naver.com/KR1000243/hotels/KYK1070461601?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경남,13,고성 에세이 더 레지던스,Goseong Essay The,홈스테이,,,동해면 내산2길 96-58,9.2,,,,https://site.onda.me/126204,https://hotels.naver.com/KR1000243/hotels/KYK1070477209?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경남,14,Geoje Little Forest 2,,홈스테이,,,대한민국 경상남도 거제,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK10357895?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경남,15,Sancheong Jirisan Resort glamping,,홈스테이,,,대한민국 경상남도 산청,,,,,http://www.jirisanglamping.co.kr/,https://hotels.naver.com/KR1000243/hotels/KYK9489823?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,경남,16,아주르 키즈풀빌라,Milyang Ajour Kids Poolvilla,홈스테이,,,대한민국 경상남도 밀양,,,,,http://azurekids.kr/,https://hotels.naver.com/KR1000243/hotels/KYK1070811327?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,경남,17,얼음골산내풀빌라펜션,Eoreumgolsan Naepool Villa Pension,홈스테이,,,경남 밀양시 산내면 하양지길 103-111,,,,,,https://hotels.naver.com/KR1000243/hotels/KYK10376529?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
