idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,미니호텔 풍뎅이 호스텔,Minihotel Poongdaengi,게스트하우스,2급,,태종로699번길 14,8.3,8.1,,,,https://hotels.naver.com/KR1000249/hotels/KYK6817392?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,경주 두바퀴 게스트하우스,Gyeongju Two Wheel Guesthouse,게스트하우스,3급,,경상북도 경주시 화랑로 76,9.1,,,,,https://hotels.naver.com/KR1000249/hotels/KYK9011635?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,옛뜰에,Yettle Hanok Stay,게스트하우스,2급,010-4129-2494,밝은마을길 9,9.1,9,5,,,https://hotels.naver.com/KR1000249/hotels/N3123741?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,경주 루나피에나 풀빌라 펜션,Gyeongju Luna Piena Poolvilla,게스트하우스,3급,,감포읍 동해안로 2006-10,9.8,9,,,https://xn--910ba694dw0n8fs.kr/,https://hotels.naver.com/KR1000249/hotels/KYK9011520?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,나무애,Namuae,게스트하우스,2급,,포석로1068번길 25,9.1,9.1,5,,,https://hotels.naver.com/KR1000249/hotels/N3879436?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,모모제인 게스트하우스,Gyeongju Momojane Guesthouse,게스트하우스,2급,010-5516-7778,동성로 129-7,8.6,8.7,4.1,,,https://hotels.naver.com/KR1000249/hotels/N1877083?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,북홈경주,Book Home Gyeongju,게스트하우스,2급,,천북남로 27,9.4,,4.7,,http://www.bookhome.kr/,https://hotels.naver.com/KR1000249/hotels/N4012007?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,포항 푸른고래 카라반,Pohang Puleungolae Caravan,게스트하우스,3급,,남구 장기면 동해안로 2784,8,8.3,,,http://xn--299a64rnc24gd2ex21b51i.com/,https://hotels.naver.com/KR1000249/hotels/KYK1070529503?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경북,9,구절초 게스트하우스,Gujeolcho Guesthouse,게스트하우스,2급,010-3570-1950,서악4길 42,8.1,8.6,,,,https://hotels.naver.com/KR1000249/hotels/N4006219?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경북,10,문화공간 진,Gallery Jin Hanok Guesthouse,게스트하우스,2급,,동성로 83,8.8,,4.2,,,https://hotels.naver.com/KR1000249/hotels/N2682324?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경북,11,도란도란 게스트하우스,Dorandoran Guesthouse,게스트하우스,1급,054-743-4361,첨성로 165-10,9.2,9.3,4.7,,http://dorangh.kr/,https://hotels.naver.com/KR1000249/hotels/N2682353?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경북,12,경주 나무 게스트하우스,Gyeongju Namu Guesthouse,게스트하우스,2급,010-9663-7486,원효로52번길 25,7.8,8.1,3.5,,http://namuguesthouse.com/,https://hotels.naver.com/KR1000249/hotels/N2369904?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경북,13,낙안재,Naganjae,게스트하우스,3급,,사정로 46-23,,,,,,https://hotels.naver.com/KR1000249/hotels/N5278040?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
