idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,브라운도트 경주보문점,Brown Dot Gyeongju Bomun Branch,모텔,3급,,경상북도 경주시 보문로 465-40,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK1071872760?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,안동 고려 호텔,Goryeo Hotel,모텔,3급,054-843-2000,영가로 13,7.8,7.7,3.8,,http://www.grhotel.kr/,https://hotels.naver.com/KR1000249/hotels/N1953583?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,포항 발라스 미니호텔&게스트하우스,Vallas Hotel & Guest house,모텔,3급,,새천년대로434번길 22,8.9,,,,,https://hotels.naver.com/KR1000249/hotels/N5258203?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,이데아호텔,Idea Hotel,모텔,3급,,칠성천길 98-5,7.5,7.4,,,https://booking.naver.com/booking/3/bizes/537022,https://hotels.naver.com/KR1000249/hotels/N4759959?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,아라호텔,Ulleung Ara Hotel,모텔,2급,054-791-2290,울릉읍 봉래2길 20-12,8.3,,,,http://www.arahotel.co.kr/,https://hotels.naver.com/KR1000249/hotels/N5283508?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,Joy 모텔,Gyeongju Joy,모텔,3급,,안강읍 화전중앙길 5,8.3,,,,http://gohere.kr/mt/JOY/index.do,https://hotels.naver.com/KR1000249/hotels/N5280849?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,브라운도트 경주 터미널DI점,Brown Dot Gyeongju Terminal Di Branch,모텔,3급,,경상북도 경주시 태종로685번길 42-1,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK1070682127?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,해피 큐 모텔,Happy Q Motel,모텔,3급,054-855-0099,광석4길 11,7.8,7.7,3.8,,,https://hotels.naver.com/KR1000249/hotels/N3059927?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경북,9,호텔야자 포항여객터미널점,Yaja Pohang Passengers Terminal,모텔,3급,,삼호로 162,9,,,,,https://hotels.naver.com/KR1000249/hotels/N4748574?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경북,10,엔젤모텔,Ulsan Angel Self check-in Motel,모텔,2급,,북면 울진북로 2248-16,9,,,,,https://hotels.naver.com/KR1000249/hotels/N5283638?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경북,11,몬타나모텔,Pohang Ocheon Montana,모텔,3급,,오천읍 정몽주로 520,8.4,,,,http://www.xn--910bw4qka227thva.com/,https://hotels.naver.com/KR1000249/hotels/N5282347?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경북,12,샵모텔,Gyeongju Shop Boutique,모텔,3급,,동방원길 4,8.6,,,,,https://hotels.naver.com/KR1000249/hotels/N5283892?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경북,13,동해해상관광호텔,Donghae Maritime Tourism Hotel,모텔,2급,,강구면 삼사길 108-10,4.6,,,,,https://hotels.naver.com/KR1000249/hotels/N5280858?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경북,14,안동 호텔,Andong Hotel,모텔,3급,054-858-1166,문화광장길 40-11,8.2,7,3.6,,,https://hotels.naver.com/KR1000249/hotels/N2225390?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경북,15,호텔 욜로,Gyeongju Yolo,모텔,2급,054-624-0117,진현로1길 12,9.2,,5,,,https://hotels.naver.com/KR1000249/hotels/N3512801?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,경북,16,호텔 후,Uljin Hupohang Hotel Hu,모텔,3급,,후포면 후포4길 59,8.3,,,,,https://hotels.naver.com/KR1000249/hotels/N5283635?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
