idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,Gyeongju Greenheim,,민박(Inn),1급,,대한민국 경상북도 경주,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK9917265?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,안동호텔 W모텔,W Motel,민박(Inn),2급,054-900-9009,중앙로 85,,,3,,http://wmotel.partnermedia.kr/,https://hotels.naver.com/KR1000249/hotels/N2225383?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,구미 옥계 코스모,Gumi Okgye Cosmo,민박(Inn),3급,,경상북도 구미시 산호대로29길 8-3,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK8533314?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,발리모텔,Pohang Wolpo Bali,민박(Inn),2급,,청하면 비학로 2207,7.6,,,,,https://hotels.naver.com/KR1000249/hotels/N5282885?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,밀라노모텔,Gimcheon Milano,민박(Inn),2급,054-435-7395,아랫장터길 92,,,,,,https://hotels.naver.com/KR1000249/hotels/N5281045?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,Pohang Jukdodong Show,,민박(Inn),1급,,대한민국 경상북도 포항 북구,5.2,,,,https://www.goodchoice.kr/search/index/da_damp_423,https://hotels.naver.com/KR1000249/hotels/KYK9489778?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,울릉 바다체험학교,Ulleung Sea Experience School,민박(Inn),1급,,경상북도 울릉군 북면 현포1길 5,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK8971056?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,영덕 강구항 밸리,Yeongdeok Gangguhang Valley,민박(Inn),1급,,경상북도 영덕군 강구면 강구대게길 17,6.1,,,,,https://hotels.naver.com/KR1000249/hotels/KYK9011948?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경북,9,Pohang Lotos,,민박(Inn),1급,,대한민국 경상북도 포항 북구,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK9489780?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경북,10,Andong Lakeside,,민박(Inn),1급,,대한민국 경상북도 안동,8,,,,,https://hotels.naver.com/KR1000249/hotels/KYK1070689584?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
