idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,포항 썬라이즈 풀빌라 앤 펜션,Pohang Sunrise Pool Villa,빌라,,,남구 장기면 동해안로 3444,,,,,http://sunrisepoolvilla.com/,https://hotels.naver.com/KR1000249/hotels/KYK9931506?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,청도 쿠키 키즈 풀빌라,Chungdo cookiekids poolvilla,빌라,,,각북면 각북금천1길 6-8,,,,,http://cookiekids.kr/,https://hotels.naver.com/KR1000249/hotels/KYK8500053?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,경주 천북빌리지 감성 풀빌라,Kyeongju Cheonbuk Village Dockchae Poolvilla,빌라,,,경북 경주시 천북면 천북남로 517-18,7.5,,,,http://cheonbukvillage.kr/,https://hotels.naver.com/KR1000249/hotels/KYK8704541?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,경주 까사멜로우풀빌라,Gyeongju Casa Mellow Kids Pool Villa,빌라,,,경북 경주시 북군4길 75,,,,,http://casamellow.kr/,https://hotels.naver.com/KR1000249/hotels/KYK7843984?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,영덕 삼사해상빌리지펜션,Yeongdeok Samsa Marin Village Pension,빌라,,,경상북도 영덕군 강구면 해상공원길 120-7,7.5,,,,http://www.samsa.kr/,https://hotels.naver.com/KR1000249/hotels/KYK7234473?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,하토르풀빌라,Hathor Pool Villa,빌라,,,경북 경주시 대추밭1길 48-4,,,,,http://hathor.kr/,https://hotels.naver.com/KR1000249/hotels/KYK10228551?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,경주 웨이트리 오션뷰 풀빌라,Waytree Ocean View Pool Villa,빌라,,,경북 경주시 감포읍 대밑길 22,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK8804944?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,Gyeongju Haneul Kids Pool Villa,,빌라,,,대한민국 경상북도 경주,,,,,http://skykidspoolvilla.com/,https://hotels.naver.com/KR1000249/hotels/KYK1071137690?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경북,9,별키즈풀빌라,Gyeongju Byeolkids Poolvilla,빌라,,,형산마을안길 23-12,9.6,,,,http://www.xn--oi2b43hv7ax3x8tio3f.com/,https://hotels.naver.com/KR1000249/hotels/N5283852?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경북,10,남계137펜션,Chilgok Nk137 Pension,빌라,,,약목면 남평로 613-40,,,,,http://xn--137-987lt9m.com/,https://hotels.naver.com/KR1000249/hotels/N5282708?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경북,11,데이토나풀빌라,Daytona Pool Villa,빌라,,,경북 포항시 남구 장기면 동해안로3936번길 25-6,9.1,,,,http://daytona.pe.kr/,https://hotels.naver.com/KR1000249/hotels/KYK1070303571?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
