idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,경주 잎새달 스므날,Gyeongju Ipsaedalseumeunal,펜션,3급,,경북 경주시 포석로 976-2,8.9,,,,https://spring20.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK1070682135?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,경주 파파야 애견동반 펜션,Gyeongju Papaya Aegyeondongban Pension,펜션,3급,054-748-6988,북군길 169-6,9.1,,,,http://www.papayapension.kr/,https://hotels.naver.com/KR1000249/hotels/N3644502?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,바오바오펜션,gyeongju baobao pet pension,펜션,3급,,보문마을5길 11-28,9,,,,,https://hotels.naver.com/KR1000249/hotels/N5283886?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,포시즌 펜션,Gyeongju Gampo Four Seasons Pension,펜션,3급,,감포읍 감포로 389-5,9.2,,,,http://4seasonpen.com/,https://hotels.naver.com/KR1000249/hotels/N4987688?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,예전 펜션,Yejeon Pension,펜션,3급,054-749-8115,천북면 목실길 69,8.4,,4.7,,http://www.yejeon.kr/,https://hotels.naver.com/KR1000249/hotels/N2662405?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,감포은솔 가족펜션,Gampo Eunsol Family Pension,펜션,3급,,감포읍 동해안로 1993-16,9.5,,,,http://eunsolps.net/,https://hotels.naver.com/KR1000249/hotels/N5278218?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,아라뜰펜션,Gyeongju Aratteul Hanok Pet Pension,펜션,3급,,감포읍 감포로10길 40-7,6.2,,,,https://gampoara.co.kr/,https://hotels.naver.com/KR1000249/hotels/N4987955?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,경주 한옥스테이 다락,Gyeongju Hanokstay Darak,펜션,3급,,포석로1095번길 27,9.4,9.4,,,https://hanokstaydarak.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK10356622?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경북,9,경주 감포솔레 펜션,Gyeongju Gamposole Pension,펜션,3급,,감포읍 동해안로 1993-14,9,,,,http://saulaieps.kr/,https://hotels.naver.com/KR1000249/hotels/KYK10169838?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경북,10,마중 풀빌라 펜션,Majoong Pool Villa Pension,펜션,4급,,하동1길 45-14,7.7,,,,http://majungps.com/,https://hotels.naver.com/KR1000249/hotels/KYK9011521?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경북,11,KB 펜션,Kb Pension,펜션,3급,054-744-9090,보문마을4길 27,,,,,,https://hotels.naver.com/KR1000249/hotels/N3019669?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경북,12,경주 700펜션,Gyeongju Pension 700,펜션,3급,,천북면 천북남로 485,5.8,10,,,http://7-st.kr/,https://hotels.naver.com/KR1000249/hotels/KYK7843985?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경북,13,띠아모 펜션,Gyeongju Tiamo Pension,펜션,3급,054-746-6428,하동분접안길 14-24,9.3,9.5,5,,http://www.ttiamo.co.kr/,https://hotels.naver.com/KR1000249/hotels/N3122631?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
