idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,가야미니호텔,Gaya Mini Hotel,호텔,2급,054-777-0334,태종로 801-11,9,,5,4.6,,https://hotels.naver.com/KR1000249/hotels/N4873079?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,영주온천관광호텔,Yeongju Hotel,호텔,2성급,054-634-1000,대학로240번길 8,8.8,,4.1,,http://www.yeongjutouristhotel.co.kr/,https://hotels.naver.com/KR1000249/hotels/N2331241?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,호텔 포항 갤럭시,Hotel Galaxy Pohang,호텔,2급,054-251-9988,해안로 93,8.4,,3.7,3.5,,https://hotels.naver.com/KR1000249/hotels/N2012085?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,안동 씨엠파크 호텔,CM Park Hotel,호텔,3성급,054-853-7800,풍천면 검무로 10-17,7.7,7.2,,3.9,http://www.cmparkhotel.com/,https://hotels.naver.com/KR1000249/hotels/N4856957?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,엘라포니시호텔,Elafonisi Poolvilla & Hotel,호텔,2급,054-741-5000,감포읍 동해안로 1596,8.2,,,,http://elafonisi.co.kr/,https://hotels.naver.com/KR1000249/hotels/N5287643?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,호텔 로제니아 레지던스 & 호텔,Hotel Logenir,호텔,3급,054-429-4700,혁신3로 16,6.4,3.2,4.5,,http://www.logenir.com/,https://hotels.naver.com/KR1000249/hotels/N2683395?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,경주 지지 관광호텔,Gyeongju Tourist Hotel GG,호텔,3성급,054-701-0090,태종로699번길 3,8.4,8.3,3.9,4.3,http://www.gghotel.co.kr/,https://hotels.naver.com/KR1000249/hotels/N1899590?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,포항스테이호텔,Stay Pohang Hotel,호텔,3급,054-274-8300,중앙로131번길 1,8.7,,3.6,4.5,,https://hotels.naver.com/KR1000249/hotels/N1660571?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경북,9,샵앤플랫 호텔,Sharp & Flat Hotel,호텔,2급,,감포읍 동해안로 2630,8.5,,,,http://www.sharpnflat.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK1070822918?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경북,10,경주 코오롱 호텔,Gyeongju Kolon Hotel,호텔,4성급,054-746-9001,불국로 289-17,7,7.3,3.3,3.6,https://www.kolonhotel.co.kr/,https://hotels.naver.com/KR1000249/hotels/N1051751?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
