idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,경주 황리단까사드,Gyeongju Hwangridan Casa De,홈스테이,,,포석로1068번길 20-3,,,,,http://casade.kr/,https://hotels.naver.com/KR1000249/hotels/KYK1070820065?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,Gyeongju Ventus Kids Pool Villa,,홈스테이,,,대한민국 경상북도 경주,,,,,http://xn--el3bu3i16o.kr/,https://hotels.naver.com/KR1000249/hotels/KYK1070640367?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,의성 소우당 고택,Uiseong Soudang Old House,홈스테이,,,경상북도 의성군 금성면 산운마을길 55,,,,,http://xn--ok1bj0z2zd.com/,https://hotels.naver.com/KR1000249/hotels/KYK3970435?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,안동 토닥토닥 한옥스테이,Andong Todak Todak Hanok Stay,홈스테이,,,경북 안동시 서동문로 50-5,,,,,https://litt.ly/todak_todak,https://hotels.naver.com/KR1000249/hotels/KYK10358518?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,Campground full of stars,,홈스테이,,,대한민국 대구,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK10376239?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,상주 아이쉼터키즈풀빌라,Sangju Ai Shimtoe Kids Pool Villa,홈스테이,,,경북 상주시 화북면 문장로 1524,,,,,http://www.xn--4s4bx4c96b32q.com/,https://hotels.naver.com/KR1000249/hotels/KYK1070569955?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,경주 자연산송이버섯&풀빌라,Gyeongju Natural Mushroom & Pool Villa,홈스테이,,,경상북도 경주시 외동읍 상석길 39,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK10359019?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,Gyeongju Cookies and Jelly Pension,,홈스테이,,,대한민국 경상북도 경주,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK1070811079?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,경북,9,Uljin Donghae Sea Pension (Palace of Venice),,홈스테이,,,대한민국 경상북도 울진,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK9181880?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,경북,10,포항 미아니아풀빌라,Pohang Pool Villa Miania,홈스테이,,,경상북도 포항시 북구 송라면 봉화길 196,,,,,http://miania.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK7447133?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,경북,11,경주 2번째 집,Gyeongju 2nd house,홈스테이,,,경상북도 경주시 건천읍 행정길 39,,,,,https://www.yapen.co.kr/external?ypIdx=69538,https://hotels.naver.com/KR1000249/hotels/KYK10358066?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,경북,12,하비리조트 럭셔리글램핑,Havi Caravan Glamping Pool Villa,홈스테이,,,경북 청도군 각북면 지슬길 34-17,,,,,http://hobbycaravan.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK9915996?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,경북,13,문경 용연빌리지B,Mungyeong Yongyeon Village B,홈스테이,,,경상북도 문경시 문경읍 여우목로 892-12,,,,,https://yongyeon.creatorlink.net/,https://hotels.naver.com/KR1000249/hotels/KYK10357641?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,경북,14,거기그곳에,Mungyeong Geogi Gugotae Pension,홈스테이,,,대한민국 경상북도 문경,,,,,http://bestthere.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK9011690?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,경북,15,청도 바라봄풀빌라,Cheongdo Barabom Pool Villa,홈스테이,,,화양읍 남성현로 404-26,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK1070574485?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,경북,16,경주 그랑재,Gyeongju Grandjae,홈스테이,,,경북 경주시 갓거랑길 53,,,,,http://grangeegyeongju.com/,https://hotels.naver.com/KR1000249/hotels/KYK10377115?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,경북,17,포항 카시스독채풀빌라,Pohang Cassis Unshared Pool Villa,홈스테이,,,경상북도 포항시 북구 청하면 해안로2308번길 33,,,,,http://www.cassis.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK1070529478?adultCnt=2&pageIndex=2&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
