idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,광주,1,더자모텔,Gwangju Sinandong The Za,모텔,3급,,무등로180번길 9-15,8.8,,,,,https://hotels.naver.com/KR1000531/hotels/N5283210?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,광주,2,락무인텔,Gwangjuv Hotel,모텔,3급,,임방울대로826번길 60-11,5.2,,,,,https://hotels.naver.com/KR1000531/hotels/N4742325?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,광주,3,휴모텔,Gwangju Sangmu Hyu,모텔,3급,,상무대로867번길 4-1,10,,,,,https://hotels.naver.com/KR1000531/hotels/N5284662?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,광주,4,광주 중흥동 젠틀맨 드라이브인 무인텔,Gwangju Jungheungdong Hotel Boda Drive In,모텔,2급,,광주광역시 북구 경양로 160,8.4,,,,,https://hotels.naver.com/KR1000531/hotels/KYK7231804?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,광주,5,아워유스호텔,Hotel Vantt,모텔,2급,062-229-0775,문화전당로23번길 12-1,9,8.9,,,,https://hotels.naver.com/KR1000531/hotels/N3565613?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,광주,6,넘버25 동광주점,No.25 Donggwangju Duamdong Branch,모텔,3급,,북구 면앙로155번길 9,9,,,,https://place-site.yanolja.com/places/10042260,https://hotels.naver.com/KR1000531/hotels/KYK1070700270?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,광주,7,럭셔리모텔,Gwangju Sangmu Luxury Hotel,모텔,3급,062-372-3110,상무평화로 113,8.7,,,,,https://hotels.naver.com/KR1000531/hotels/N3304320?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,광주,8,아테네모텔,Athene Motel,모텔,2급,,상무평화로 156,7.6,7.1,,,,https://hotels.naver.com/KR1000531/hotels/N4558449?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,광주,9,거기조아무인텔,Gwangju Geogi-Joa Motel,모텔,3급,,경열로233번길 19,9.6,,,,http://www.feelmotel.kr/,https://hotels.naver.com/KR1000531/hotels/N5283193?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,광주,10,광주 첨단 수완,Gwangju Cheomdan Suwan,모텔,3급,,광주광역시 광산구 수등로243번길 12-18(신가동),6.8,,,,,https://hotels.naver.com/KR1000531/hotels/KYK7231798?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,광주,11,페라리호텔,Gwangju Cheomdan Ferrari Hotel,모텔,3급,062-974-1400,임방울대로825번길 60-21,8.1,,,,,https://hotels.naver.com/KR1000531/hotels/N3559305?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,광주,12,E모텔,Gwangju Hanam Hotel E,모텔,3급,062-430-5707,무진대로231번길 13-12,10,,,,,https://hotels.naver.com/KR1000531/hotels/N3559326?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,광주,13,다이아모텔,Gwangju Pungamdong Dia,모텔,3급,,풍암1로21번길 9-18,10,,,,,https://hotels.naver.com/KR1000531/hotels/N5284642?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,광주,14,에스모텔,Hotel Summit,모텔,3급,,사암로171번길 90-20,9.2,8.9,,,,https://hotels.naver.com/KR1000531/hotels/N5282670?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,광주,15,광주 양동 짝,Gwangju Yangdong Jjak,모텔,3급,,광주광역시 서구 독립로194번길 4,9.3,,,,,https://hotels.naver.com/KR1000531/hotels/KYK7447749?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,광주,16,볼모텔,Gwangju Hanam Business Hotel Yahoo,모텔,3급,,무진대로211번길 13-10,8.2,,,,,https://hotels.naver.com/KR1000531/hotels/N5281049?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,광주,17,S호텔,Gwangju Chungjangro S Hotel,모텔,3급,0507-1386-0155,문화전당로35번길 12-8,9.6,,,,http://gj-s.jalib.site/,https://hotels.naver.com/KR1000531/hotels/N5272549?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,광주,18,모텔 신라,Gwangju Sangmu Shilla,모텔,3급,062-383-0062,상무평화로 127,8,,,,http://shilla-gwangju.jalib.site/,https://hotels.naver.com/KR1000531/hotels/N3773958?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,광주,19,오늘모텔,Gwangju Cheomdan Hotel View,모텔,2급,,임방울대로826번길 22-19,10,,,,,https://hotels.naver.com/KR1000531/hotels/N4751162?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,광주,20,광주 하남 이끌림 비지니스호텔,Gwangju Hanam E-kklim Business Hotel,모텔,3급,,광주광역시 광산구 무진대로212번길 14-27 (우산동),7.1,,,,,https://hotels.naver.com/KR1000531/hotels/KYK4819719?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
