idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,광주,1,브라운 도트 호텔 광주첨단점,Gwangju Brown Dot Cheomdan,호텔,3급,,임방울대로825번길 22-11,9,8.5,,,,https://hotels.naver.com/KR1000531/hotels/N4745854?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,광주,2,광주 파레스 관광호텔,Palace Hotel Gwangju,호텔,3급,062-222-2525,중앙로160번길 13,8.2,8.2,3.1,,http://palace-hotel.kr/,https://hotels.naver.com/KR1000531/hotels/N1658863?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,광주,3,호텔 B,Hotel B,호텔,3급,062-365-8300,시청로60번길 6,9.1,8.7,4.4,,http://www.hotelb.co.kr/,https://hotels.naver.com/KR1000531/hotels/N2777387?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,광주,4,하운드호텔 광주 첨단점,Hound Hotel Gwangju Cheomdan,호텔,3급,062-973-6699,임방울대로826번길 60-37,8.7,7,,,,https://hotels.naver.com/KR1000531/hotels/N3499362?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,광주,5,호텔 더스팟,Gwangju Hotel the spot,호텔,3급,062-971-1362,앰코로 32,9.1,8.6,,,https://www.hotelthespot.com/,https://hotels.naver.com/KR1000531/hotels/N3610116?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,광주,6,스테이원,Stay Hotel,호텔,2급,062-228-5300,구성로144번길 5,8.5,8.4,,,,https://hotels.naver.com/KR1000531/hotels/N3659704?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,광주,7,하운드 호텔 상무점,Hound Hotel Sangmu,호텔,3급,062-655-7777,상무중앙로38번길 5-6,8.6,,,,,https://hotels.naver.com/KR1000531/hotels/N3018456?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,광주,8,더솔호텔,Gwangju Songjeong Hotel The Sol,호텔,3급,,어등대로 711,8.3,,,,,https://hotels.naver.com/KR1000531/hotels/N5257983?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,광주,9,볼튼호텔,Bolton Hotel,호텔,3급,062-714-1003,상무연하로 31,8.4,7.4,,4.0,,https://hotels.naver.com/KR1000531/hotels/N2367439?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,광주,10,발렌타인 비지니스호텔,Ballantine Business Hotel,호텔,3급,062-366-3307,죽봉대로78번길 11,8.6,,,4.7,,https://hotels.naver.com/KR1000531/hotels/N4873754?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,광주,11,광주 상무 호텔 시애틀,Gwangju Sangmu Hotel Seattle,호텔,3급,,광주광역시 서구 상무평화로 93-2,9.2,,,,,https://hotels.naver.com/KR1000531/hotels/KYK7231796?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,광주,12,광주워싱턴호텔,Gwangju Hound Hotel,호텔,3급,062-236-6002,문화전당로35번길 33,8.5,8.3,,,,https://hotels.naver.com/KR1000531/hotels/N5294729?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,광주,13,호텔하이브인,Hotel Hiveinn,호텔,3급,062-971-2000,임방울대로825번길 43,9.5,,,,,https://hotels.naver.com/KR1000531/hotels/N5297136?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,광주,14,스테이53 호텔,Hotel Stay 53,호텔,2급,062-371-0000,상무연하로 6,8.4,7.6,4.4,,http://www.stay53.co.kr/,https://hotels.naver.com/KR1000531/hotels/N2967270?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,광주,15,호텔 그랑파리,Hotel Grand Paris,호텔,3급,062-381-0070,서구 상무중앙로28번길 20,8,,,,,https://hotels.naver.com/KR1000531/hotels/KYK1072380344?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,광주,16,브라운도트호텔 광주상무점,Browndot Hotel Sangmu,호텔,2성급,062-384-9600,상무중앙로38번길 5-8,8.2,,3.5,,,https://hotels.naver.com/KR1000531/hotels/N1754468?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,광주,17,노블스테이 호텔,Noble Stay Hotel,호텔,3급,062-445-7700,임방울대로826번길 19-7,8.6,7.5,,,http://noblestayhotel.com/,https://hotels.naver.com/KR1000531/hotels/N5010847?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,광주,18,에이치에비뉴 상무점,H Avenue Sangmu,호텔,2급,062-382-6000,시청로20번길 21-6,8,8.1,,,http://pf.kakao.com/_guxdUxj,https://hotels.naver.com/KR1000531/hotels/KYK2241537?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,광주,19,일번지 부티크 호텔,Gwangju Chungjang-Ro 1st Street Boutique Hotel,호텔,3급,062-233-1000,천변우로 355,9.2,,,,,https://hotels.naver.com/KR1000531/hotels/N5304831?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,광주,20,세븐브릭스호텔,Gwangju Sangmu Hotel 7 Bricks,호텔,3급,,상무중앙로68번길 21,,,,,,https://hotels.naver.com/KR1000531/hotels/N5280814?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,광주,21,탑클라우드호텔 광주점,Top Cloud Hotel Gwangju,호텔,3급,062-972-3111,임방울대로825번길 57-1,8.8,,,,,https://hotels.naver.com/KR1000531/hotels/N3919577?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,광주,22,광주 브라운도트 충장점,Gwangju Brown Dot Chungjang,호텔,3급,,동구 중앙로 150-8,8.5,,,,,https://hotels.naver.com/KR1000531/hotels/N5282757?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,광주,23,에이치원호텔,Gwangju H1 Hotel,호텔,3성급,062-376-3000,대자로 106번길 10-6,9,,,4.2,http://www.h1hotel.co.kr/,https://hotels.naver.com/KR1000531/hotels/N5287596?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,광주,24,Arthall Hotel Benikea,,호텔,3급,,대한민국 광주광역시 광주 서구,,,,,,https://hotels.naver.com/KR1000531/hotels/KYK840812?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,광주,25,유토피아모텔,Gwangju Sangmu Hotel Utopia,호텔,3급,,상무연하로 72,8.3,,,,,https://hotels.naver.com/KR1000531/hotels/N5284672?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,광주,26,국제비지니스호텔W,Gukje Business Hotel,호텔,3급,062-673-0700,봉선로 8,7.4,,,,,https://hotels.naver.com/KR1000531/hotels/N2947256?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,광주,27,광주 어반라이프 호텔,Gwangju Urban Life Hotel,호텔,3급,,광주광역시 서구 죽봉대로78번길 9,8.8,,,,,https://hotels.naver.com/KR1000531/hotels/KYK7234177?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,광주,28,호텔얌 광주구시청점,Hotel Yam,호텔,3급,,양림로115번길 15,9.2,10,,,,https://hotels.naver.com/KR1000531/hotels/N5282751?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
