idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,대구,1,더 메종 호텔,Daegu Pyeongridong The Maison,모텔,3급,,국채보상로48길 10-12,6.1,,,,,https://hotels.naver.com/KR1000529/hotels/N5281932?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,대구,2,대구 엑스코 Hotel Pied exco(호텔 피에드),Hotel Pied Exco,모텔,3급,,유통단지로13길 13-9,7.6,,,,,https://hotels.naver.com/KR1000529/hotels/KYK4744374?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,대구,3,대구 현풍 Hotel 노블(Noble),Daegu Hyeonpung Hotel Noble,모텔,,,대구광역시 달성군 현풍읍 테크노공원로 13,,,,,,https://hotels.naver.com/KR1000529/hotels/KYK1070523827?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,대구,4,대구 동대구역 무제여관,Daegu Dongdaegu Station Muje Hotel,모텔,1급,,대구 동구 신암남로 94,9.3,,,,,https://hotels.naver.com/KR1000529/hotels/KYK6845711?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,대구,5,대구 성서 브라운도트 대구성서점,Browndot Hotel Daegu Seongseo,모텔,2급,,대구 달서구 성서공단로11길 64-5,7.8,,,,http://wnhotels.com/,https://hotels.naver.com/KR1000529/hotels/KYK4915450?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,대구,6,대구 성서 YAJA 대구성서점,Hotel Yaja Daegu Seongseo,모텔,3급,,대구 달서구 성서공단로15길 61,9.4,,,,,https://hotels.naver.com/KR1000529/hotels/KYK7234296?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,대구,7,홍시모텔,Daegu Hyeonpung Hong C,모텔,1급,,현풍읍 현풍중앙로26길 10,8.2,,,,,https://hotels.naver.com/KR1000529/hotels/N5282535?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,대구,8,2월호텔 성서점,February Hotel Seongseo,모텔,3급,053-584-7834,달서대로95길 3,9.2,,4.3,,http://hotel2seongseo.com/,https://hotels.naver.com/KR1000529/hotels/N3300850?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,대구,9,호텔 로랑,Daegu Sangindong Hotel Laurent,모텔,3급,,월배로34길 22,8.2,,,,,https://hotels.naver.com/KR1000529/hotels/N5282062?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,대구,10,뉴 그랜드 호텔,New Grand Hotel,모텔,2급,053-424-4114,칠성남로38길 46,7.6,6,3.8,,,https://hotels.naver.com/KR1000529/hotels/N2232350?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
