idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,대구,1,UH 플랫 시그니처 대구,Uh Flat Signature Daegu,호텔,4급,0507-1490-2289,동구 동부로26길 6,9,8.9,,4.6,https://uhflat.co.kr/dongdaegu,https://hotels.naver.com/KR1000529/hotels/KYK1070701398?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,대구,2,리버틴호텔,Rivertain Hotel,호텔,2성급,053-269-4000,경상감영길 193,9.1,9.1,4.3,4.6,http://rivertain.com/,https://hotels.naver.com/KR1000529/hotels/N3304681?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,대구,3,호텔 피에드 수성,Hotel Pied Suseong,호텔,3급,0507-1448-2902,알파시티1로4길 18,9.1,,,4.8,,https://hotels.naver.com/KR1000529/hotels/N5303496?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,대구,4,대구 수성 더 아르코 호텔 라이온즈파크점,Daegu Suseong The Arco Hotel Lions Park Branch,호텔,3성급,0507-1389-9020,대구광역시 수성구 알파시티1로40길 6,10,,,4.7,https://daeguarco.com/,https://hotels.naver.com/KR1000529/hotels/KYK10357680?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,대구,5,빌리언웨스턴호텔,Daegu Billion Western Hotel,호텔,3급,053-581-8888,달서대로 467,9.1,8.8,,4.6,https://billionwesternhotel.com/,https://hotels.naver.com/KR1000529/hotels/N5303513?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,대구,6,Aw호텔,Aw Hotel Daegu,호텔,3성급,053-589-6700,성서로 413,8.2,7.5,2.7,4.0,http://www.awhotel.co.kr/,https://hotels.naver.com/KR1000529/hotels/N1387000?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,대구,7,Jb관광호텔,Jb Tourist Hotel,호텔,3성급,,동구 율암로 162,8.3,8.8,,,http://www.jbhotel.co.kr/,https://hotels.naver.com/KR1000529/hotels/KYK8623460?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,대구,8,대구 이스턴호텔 라이온즈파크점,Daegu Eastern Hotel Lions Park,호텔,2급,053-217-6500,알파시티1로4길 19-8,8.7,8.9,,,http://www.hoteleasternalpha.co.kr/,https://hotels.naver.com/KR1000529/hotels/N5281903?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,대구,9,브라운도트호텔 대구혁신도시점,Daegu Brown Dot Hotel Daegu Innovation City Branch,호텔,2성급,053-213-8080,율암로 164,8.2,,4.3,4.3,,https://hotels.naver.com/KR1000529/hotels/N3232488?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,대구,10,브라운도트 호텔 대구동촌유원지점,Brown-Dot Hotel Dongchon Amusement Park,호텔,3급,053-958-4111,효동로6길 32,6.8,7.8,,,,https://hotels.naver.com/KR1000529/hotels/N4996595?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,대구,11,유니드 호텔,Uneed Hotel,호텔,3급,053-584-0039,이곡서로 86,8,8.7,3,,,https://hotels.naver.com/KR1000529/hotels/N1820476?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,대구,12,호텔크라페 대구성서점,Hotel Crape Daegu Seongseo,호텔,3급,,달서구 성서공단로11길 6-4,,,,,,https://hotels.naver.com/KR1000529/hotels/KYK1070586283?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,대구,13,호텔드포레,Hotel De Foret,호텔,3급,1688-8511,가창로 891,8.2,,,4.4,http://forrest12.co.kr/,https://hotels.naver.com/KR1000529/hotels/N5303797?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
