idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,대전,1,자우리호텔,Jawoori Hotel Doan,모텔,3급,,계룡로 157,8.5,,,,http://jawoori.co.kr/,https://hotels.naver.com/KR1000530/hotels/N4521599?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,대전,2,썸모텔,Daejeon Jung-Ri Some,모텔,3급,,중리로7번길 6-23,9.6,,,,,https://hotels.naver.com/KR1000530/hotels/N5280807?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,대전,3,티롤모텔,Daejeon Yongmun Hotel Zaza,모텔,3급,,계룡로620번길 33,8.5,,,,,https://hotels.naver.com/KR1000530/hotels/N4750247?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,대전,4,호텔 로드,Daejeon Shintanjin Hotel Lod,모텔,3급,,신탄진로810번길 50,8.2,,,,,https://hotels.naver.com/KR1000530/hotels/N5273107?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,대전,5,탑클라우드호텔 대전점,Daejeon Yuseong Top Cloud Hotel,모텔,1급,042-825-1470,온천로101번길 20,8.3,,,,https://topcloudhotel.co.kr/,https://hotels.naver.com/KR1000530/hotels/N3659378?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,대전,6,23번가 호텔,Daejeon Sintanjin 23st,모텔,3급,042-931-2320,신탄진동로23번길 69,8,,,,,https://hotels.naver.com/KR1000530/hotels/N3059669?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,대전,7,대전 유성 시네마e텔,Daejeon Yuseong Cinema eTel,모텔,2급,,대전광역시 유성구 대학로 8 (시네마E텔),8.5,,,,,https://hotels.naver.com/KR1000530/hotels/KYK7230824?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,대전,8,월호텔,Daejeon Sintanjin Hotel Wol,모텔,3급,,신탄진로681번길 44,9,,,,,https://hotels.naver.com/KR1000530/hotels/N4759869?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,대전,9,하니 모텔,Hani Motel,모텔,4급,,"서구 월평북로 88-16 4,5층",7.5,6.9,,,,https://hotels.naver.com/KR1000530/hotels/KYK3406488?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,대전,10,대전 용전 해피타워,Daejeon Yongjeon Happy Tower,모텔,2급,,대전광역시 동구 동서대로1725번길 22 (용전동),8.1,,,,,https://hotels.naver.com/KR1000530/hotels/KYK8092639?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,대전,11,메이호텔,Daejeon Yuseong May Hotel,모텔,3급,,계룡로105번길 25,6.8,,,,,https://hotels.naver.com/KR1000530/hotels/N4738783?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,대전,12,호텔루이스,Daejeon Yuseong Hotel Louis,모텔,3급,,온천서로 32-16,5.8,,,,,https://hotels.naver.com/KR1000530/hotels/N4239688?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
