idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,대전,1,라미아 레지던스 호텔,Residence Hotel Lamia,호텔,3급,042-334-0100,둔산로51번길 42,8,7.2,3.1,,http://www.hotellamia.com/,https://hotels.naver.com/KR1000530/hotels/N1926722?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,대전,2,에스앤나봄호텔,S& Hotel,호텔,2성급,042-936-1500,테크노중앙로 69,8,7.8,3.6,3.8,http://www.nabomresort.com/,https://hotels.naver.com/KR1000530/hotels/N2666182?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,대전,3,선샤인 호텔 대전,Hotel Sunshine,호텔,2급,042-620-6500,동서대로 1700,8.6,,3.8,,http://www.hotelsunshine.kr/,https://hotels.naver.com/KR1000530/hotels/N1820581?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,대전,4,호텔 Icc,Hotel ICC,호텔,3성급,042-866-5000,엑스포로123번길 55,8.1,7.1,3.6,4.2,http://hotel.hotelicc.com/,https://hotels.naver.com/KR1000530/hotels/N2970903?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,대전,5,더휴식아늑호텔 용전 2호점,Aank Hotel Daejeon Yongjeon 2nd,호텔,2급,042-635-7861,한밭대로1316번길 2,8.2,8.1,,,,https://hotels.naver.com/KR1000530/hotels/N5302446?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,대전,6,호텔 어반 브라운,Hotel Urban Brown,호텔,3급,,한밭대로1149번길 15-11,8.9,,,,http://urbanbrown.urr.kr/,https://hotels.naver.com/KR1000530/hotels/N5278008?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,대전,7,디엠프레스 호텔,The Empress Hotel,호텔,2성급,042-485-3030,한밭대로570번길 29-20,8.3,7.9,4.3,4.5,,https://hotels.naver.com/KR1000530/hotels/N1659103?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,대전,8,프롬에이치 에이스 호텔 by 아늑,From H Ace Hotel Daejeon by Aank,호텔,3급,0507-1426-0438,유성구 계룡로141번길 13-21,10,,,,,https://hotels.naver.com/KR1000530/hotels/KYK1071739786?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,대전,9,아늑호텔 앤 스파 대전유성점,Aank Hotel and Spa Daejeon Yuseong,호텔,2급,,유성구 장대로 16-18,7,,,,,https://hotels.naver.com/KR1000530/hotels/N3027950?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,대전,10,대전 대흥 호텔 노크온,Daejeon Daeheung Hotel Knock On,호텔,3급,,대전광역시 중구 인창로 7,8.8,,,,,https://hotels.naver.com/KR1000530/hotels/N5280253?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
