idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,서울,1,스티치스 게스트하우스,Stitches House,게스트하우스,3급,,포은로2나길 46,8.4,8.5,,,http://www.stitcheshouse.com/,https://hotels.naver.com/KR1000073/hotels/N4841829?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,서울,2,유후스테이,Uhoostay Myeongdong Guesthouse,게스트하우스,2급,,중구 남대문로 66-1 4~6층,9,9,,,,https://hotels.naver.com/KR1000073/hotels/KYK1072001761?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,서울,3,K 게스트하우스 프리미엄 강남 1호,K-Grand Hostel Gangnam1,게스트하우스,2급,070-8146-0008,강남대로112길 11,7,6,3.5,,,https://hotels.naver.com/KR1000073/hotels/N2945813?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,서울,4,리틀앤타워 게스트하우스,Little N Tower Guesthouse,게스트하우스,2급,010-4449-0414,녹사평대로46길 28-5,,,3,,,https://hotels.naver.com/KR1000073/hotels/N3773028?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,서울,5,트래블 몬스터,Travel Monster,게스트하우스,3급,02-744-9720,종로 227-4,6.4,6.5,3.1,,,https://hotels.naver.com/KR1000073/hotels/N1876173?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,서울,6,명동 맘하우스,Myeongdong Mom House,게스트하우스,3급,02-779-0000,퇴계로22길 11,7.8,,3.8,,http://www.mom2014.co.kr/,https://hotels.naver.com/KR1000073/hotels/N2682674?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,서울,7,욜로 게스트하우스,Yolo Guesthouse,게스트하우스,2급,02-3789-4993,퇴계로20나길 2-8,8.5,8.6,4.1,,http://www.yologuesthouse.com/,https://hotels.naver.com/KR1000073/hotels/N3565733?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,서울,8,케이팝스테이,Kpop Stay - Hostel,게스트하우스,2급,010-9955-1969,와우산로26길 11,,,4.7,,,https://hotels.naver.com/KR1000073/hotels/N1885553?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,서울,9,DW 스테이,Dw Stay Hongdae,게스트하우스,3급,,연남로1길 8-12,8.2,7.9,,,http://www.dwstay.com/,https://hotels.naver.com/KR1000073/hotels/N4988496?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,서울,10,24 게스트하우스 인사동점,24 Guesthouse Insadong,게스트하우스,2급,02-734-0024,"삼일대로17길 8, 4층",,,,,,https://hotels.naver.com/KR1000073/hotels/N1960622?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
