idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,서울,1,디에이스 호텔,The Ace Hotel,모텔,3급,02-563-1901,테헤란로77길 11-5,5.7,5,2.5,,http://gohere.kr/mt/theace/index.do,https://hotels.naver.com/KR1000073/hotels/N3037859?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,서울,2,호텔스타 프리미어 역삼,Hotel Star Premier Yeoksam,모텔,2급,02-558-3180,테헤란로33길 6-11,7.5,6.9,3,,,https://hotels.naver.com/KR1000073/hotels/N1657526?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,서울,3,시티 파크 호텔,City Park Hotel Jongno,모텔,2급,02-744-4199,돈화문로11가길 89,8.2,,3.9,,,https://hotels.naver.com/KR1000073/hotels/N1721104?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,서울,4,JS 호스텔,Js Hostel,모텔,2급,,구로구 남부순환로105길 32,8.5,,,,,https://hotels.naver.com/KR1000073/hotels/KYK4267885?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,서울,5,마리,Gasan Marie Hotel,모텔,3급,,디지털로11길 12,8,,,,,https://hotels.naver.com/KR1000073/hotels/N5281957?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,서울,6,레츠스테이,Sinchon Lets Stay,모텔,3급,,서대문구 신촌로 125-5,8.5,8.7,,,https://letsstayhostel.com/,https://hotels.naver.com/KR1000073/hotels/KYK1070692634?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,서울,7,부티크호텔k,Boutique hotel k Dongdaemun,모텔,3급,02-2214-8886,천호대로 341,6.1,,3.5,,,https://hotels.naver.com/KR1000073/hotels/N1594200?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,서울,8,부티크호텔 K 종로,Boutiquehotel K Jongno,모텔,3급,02-2268-2959,삼일대로 388-7,5.6,,2,,,https://hotels.naver.com/KR1000073/hotels/N2677838?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,서울,9,호텔 대우 인,Hotel Daewoo Inn,모텔,3급,02-755-8067,세종대로14길 22-2,8.4,8.3,3.8,,http://www.daewoo-inn.com/,https://hotels.naver.com/KR1000073/hotels/N1721147?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,서울,10,슬로우스테이da,Slow Stay Da,모텔,3급,,성균관로5길 55-3,7.6,,,,,https://hotels.naver.com/KR1000073/hotels/N4996525?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,서울,11,신도림 블리스,Sindorim Bliss,모텔,3급,,서울특별시 구로구 공원로8길 30-14 (구로동),10,,,,,https://hotels.naver.com/KR1000073/hotels/KYK7233742?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,서울,12,경동호텔 명동,Kyoung Dong Hotel Myeongdong,모텔,3급,02-3789-6862,퇴계로12길 51,8.3,8,4.1,,http://kdhotel.kr/,https://hotels.naver.com/KR1000073/hotels/N2666788?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,서울,13,종로 호텔 케이월드,K World Hotel Jongno,모텔,2급,,수표로18길 28,8.6,,,,,https://hotels.naver.com/KR1000073/hotels/N5280583?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,서울,14,애니타임모텔,Hotel Anytime,모텔,2급,,연세로2나길 11,7.7,,,,,https://hotels.naver.com/KR1000073/hotels/N4712631?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,서울,15,이지 호텔,EZ hotel,모텔,3급,02-2244-5183,장한로26가길 37,,,,,,https://hotels.naver.com/KR1000073/hotels/N2007982?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,서울,16,돈키 호텔,Shillim Page Nine,모텔,3급,,신림로66길 30,7.1,,,,,https://hotels.naver.com/KR1000073/hotels/KYK7882340?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,서울,17,루이 호텔,Rui Hotel,모텔,2급,02-365-8116,연세로2나길 6,8.5,,,,,https://hotels.naver.com/KR1000073/hotels/N2009384?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,서울,18,라인호텔 명동,Line Hotel Myeongdong,모텔,3급,02-3789-8111,명동3길 36,8,7.1,,,http://www.line-hotel.co.kr/,https://hotels.naver.com/KR1000073/hotels/N4996543?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,서울,19,유리아 호텔,Suyu Yuria Hotel,모텔,3급,,덕릉로26길 13,9.1,,,,,https://hotels.naver.com/KR1000073/hotels/N4699171?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,서울,20,시네마 호텔 인사동,Hotel Cinema,모텔,2급,02-3676-9666,수표로28길 12-5,9.1,,4.5,,,https://hotels.naver.com/KR1000073/hotels/N1948657?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,서울,21,샐몬모텔,Sangbong Jungnang Salmon,모텔,3급,,망우로 230,9.6,,,,,https://hotels.naver.com/KR1000073/hotels/N4746973?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,서울,22,Zip 호텔,Zip Hotel,모텔,3급,02-887-8100,남부순환로224길 32,7.3,7.2,4,,,https://hotels.naver.com/KR1000073/hotels/N1924204?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,서울,23,현대모텔,Wangsimni Hyeondae Motel,모텔,3급,,무학봉22길 10,9.2,,,,,https://hotels.naver.com/KR1000073/hotels/N5280906?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,서울,24,샤르망모텔,Hwagok (Gangseogu Office) Charmant,모텔,2급,,화곡로50길 5,8.3,,,,,https://hotels.naver.com/KR1000073/hotels/N5284680?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,서울,25,메이모텔,Hansung University Entrance (Hyehwa) May,모텔,3급,,동소문로8길 23,8.5,,,,,https://hotels.naver.com/KR1000073/hotels/N4751127?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,서울,26,라이프스타일 F 호텔,Life Style F Hotel,모텔,3급,02-2675-1984,경인로108길 8,6.7,,3,,,https://hotels.naver.com/KR1000073/hotels/N1657830?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,서울,27,줌 모텔,Zum Motel,모텔,2급,02-414-0266,삼학사로 91,7.6,6,,,http://www.zummotel.com/,https://hotels.naver.com/KR1000073/hotels/N2683417?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,서울,28,사당 M,Sadang M,모텔,3급,,서울특별시 관악구 남부순환로 2082-27,7.6,,,,,https://hotels.naver.com/KR1000073/hotels/KYK7233724?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
29,서울,29,아이리스,Yeongdeungpo Iris,모텔,3급,,영등포로42길 8-5,8.1,,,,,https://hotels.naver.com/KR1000073/hotels/N5282616?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,서울,30,명동 뉴 스테이 인,Myeongdong New Stay Inn,모텔,3급,070-4543-0840,수표로 14 4-5층,7.4,7.3,2.7,,,https://hotels.naver.com/KR1000073/hotels/N3565752?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,서울,31,방화 뱅크모텔,Gangseo (Gimpo Airport) Bank Motel,모텔,3급,,서울특별시 강서구 방화동로3길 27,6.9,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070303302?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
32,서울,32,플러스모텔,Sincheon Plus,모텔,3급,,올림픽로 12길 5-25,7,,,,,https://hotels.naver.com/KR1000073/hotels/N5281036?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
33,서울,33,호텔순라,Sulla Stay,모텔,2급,02-3675-2205,율곡로10길 17,6.6,,4.3,,,https://hotels.naver.com/KR1000073/hotels/N1739619?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
34,서울,34,Jw모텔,Jangan Jw,모텔,2급,,한천로14길 58,8.8,,,,,https://hotels.naver.com/KR1000073/hotels/N4747322?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
35,서울,35,호텔왈츠,Nonhyeon Waltz,모텔,3급,,강남대로112길 20,5.7,,,,,https://hotels.naver.com/KR1000073/hotels/N5282612?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
36,서울,36,호텔 버스,Sangbong Hotel Bus,모텔,3급,,망우로52길 22-7,8.9,,,,,https://hotels.naver.com/KR1000073/hotels/N3031986?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
37,서울,37,천호 Orange,Cheonhoorange,모텔,3급,,서울특별시 강동구 올림픽로 680,8,,,,,https://hotels.naver.com/KR1000073/hotels/N4735043?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
38,서울,38,엠지호텔,Mg Hotel,모텔,2급,,청계천로 63-3,7.8,7,2.9,,,https://hotels.naver.com/KR1000073/hotels/N4713346?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
39,서울,39,동도호텔,Ssh Dongdo Hotel,모텔,2급,02-752-5781,퇴계로18길 30,8,8.5,2.6,,,https://hotels.naver.com/KR1000073/hotels/N1665718?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
40,서울,40,신촌 림,Sinchon Reem,모텔,3급,,서울특별시 서대문구 연세로4길 16 (창천동),8.2,,,,,https://hotels.naver.com/KR1000073/hotels/N1821342?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
41,서울,41,WO모텔 용산역,Hotel Wo Yongsan Station,모텔,2급,,한강대로7길 9,7,7,,,,https://hotels.naver.com/KR1000073/hotels/N5258792?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
42,서울,42,상봉 테마,Sangbong Thema,모텔,3급,,서울 중랑구 망우로52길 8,9.3,,,,,https://hotels.naver.com/KR1000073/hotels/KYK7233592?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
43,서울,43,종로 POP 호텔,Jongno Hotel Pop Leeds Premier,모텔,3급,0505-068-1938,수표로22길 16,6.8,,,,,https://hotels.naver.com/KR1000073/hotels/KYK2292294?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
44,서울,44,회기 Mou,Hoegi Mou,모텔,3급,02-968-7887,서울특별시 동대문구 이문로 81,6.7,,,,,https://hotels.naver.com/KR1000073/hotels/KYK8967423?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
45,서울,45,리오모텔,Rio Motel,모텔,2급,,회기로29길 5,8.2,,,,,https://hotels.naver.com/KR1000073/hotels/N5258762?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
46,서울,46,M 모텔,Suyu M,모텔,3급,02-905-5557,오패산로79길 31,9.4,,,,,https://hotels.naver.com/KR1000073/hotels/N3032765?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
