idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,서울,1,종로 준오호텔,Hotel Jongno Juno,민박(Inn),2급,,서울특별시 종로구 인사동16길 6 (관훈동),9.3,,4,,,https://hotels.naver.com/KR1000073/hotels/N4013862?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,서울,2,대성장,Daesungjang,민박(Inn),2급,,영등포구 경인로 832,2,1.9,,,,https://hotels.naver.com/KR1000073/hotels/KYK1071542763?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,서울,3,픽셀 스테이 명동,Pixel Stay Myeongdong,민박(Inn),1급,,서울특별시 중구 퇴계로31길 9 (필동1가),,,,,,https://hotels.naver.com/KR1000073/hotels/KYK10390979?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,서울,4,선라이즈 인 동대문,Sunrise Inn,민박(Inn),2급,070-8113-1144,숭인동길 14-8,6.7,,3.6,,,https://hotels.naver.com/KR1000073/hotels/N2664623?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,서울,5,킴스 관광호텔,Donghwa Kims Hotel,민박(Inn),2성급,02-379-0520,평창문화로 136,,,4,,,https://hotels.naver.com/KR1000073/hotels/N2922474?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,서울,6,왕십리 Forestar,Wangsimni Forestar,민박(Inn),3급,,서울 성동구 무학로2길 51 (도선동),,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070399481?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,서울,7,쉬크모텔,Shinchon Chic,민박(Inn),2급,,연세로2길 15-3,,,,,,https://hotels.naver.com/KR1000073/hotels/N5284778?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,서울,8,G 용산 인,G Yongsan Inn,민박(Inn),2급,,용산구 한강대로 262-5,6.3,7,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070855745?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,서울,9,천호 Augusthotel,Cheonho Hotel August,민박(Inn),3급,,서울특별시 강동구 구천면로24길 13(천호동)어거스트 HT,,,,,http://www.hotel-august.co.kr/,https://hotels.naver.com/KR1000073/hotels/KYK8513980?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,서울,10,창동 테마모텔,Changdong Thema,민박(Inn),2급,,도봉로 574,,,,,,https://hotels.naver.com/KR1000073/hotels/N5285264?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,서울,11,Lifein Euljiro,,민박(Inn),2급,,대한민국 서울 중구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK9735044?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,서울,12,머스트스테이모텔 신정네거리역점,Must Stay Hotel Sinjeongnegeori Station,민박(Inn),2급,0507-1471-3066,대한민국 서울 양천구,6.4,,,,,https://hotels.naver.com/KR1000073/hotels/KYK8658541?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,서울,13,대림 서광여관,Daerim Seogwang Inn,민박(Inn),,,서울특별시 영등포구 시흥대로181길 7,4.8,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070682140?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,서울,14,Luxe Motel Seoul,,민박(Inn),1급,,대한민국 서울 도봉구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK9013101?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,서울,15,알프스 모텔,Myeongdong Alps,민박(Inn),1급,02-778-1669,세종대로16길 3,6.5,,,,,https://hotels.naver.com/KR1000073/hotels/N1743772?adultCnt=2&pageIndex=2&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,서울,16,Jongno (Daehangno) Palace,,민박(Inn),,,대한민국 서울 종로구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK9356750?adultCnt=2&pageIndex=2&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,서울,17,오류 세븐,Oryu seven,민박(Inn),,,서울특별시 구로구 경인로22길 33(오류동)세븐,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK4744106?adultCnt=2&pageIndex=2&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
