idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,서울,1,Heart Of Just Myeong Dong,,아파트,,,대한민국 서울 중구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK5731166?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,서울,2,호스텔 코코,Hostel Coco,아파트,,010-4195-5129,종로 19,,,,,,https://hotels.naver.com/KR1000073/hotels/N2310293?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,서울,3,도니 하우스,Donny House,아파트,,,대한민국 서울 마포구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK3128021?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,서울,4,J Residence Gangnam,,아파트,,,대한민국 서울 서초구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK6028795?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,서울,5,위브스위트 - 선유파크사이드,Weave Suites - Sunyu Parkside,아파트,,,영등포구 양평로 132,7.9,8.1,,,https://www.weave-living.com/kr/seoul/weave-suites-sunyu-parkside,https://hotels.naver.com/KR1000073/hotels/KYK10391784?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,서울,6,브리지 스타 001,Bridgestar001 Gangnam Sinsa Station Garosugil 6 Guests,아파트,,,"서초구 강남대로109길 45-12, 401호",8.5,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1071092183?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,서울,7,로프트43,Loft 43,아파트,,,새터산14길 43,,,,,,https://hotels.naver.com/KR1000073/hotels/N3925289?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,서울,8,Dongdaemun Market Duplex Apartment,,아파트,,,대한민국 서울 중구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK10384973?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,서울,9,F-1 Radi`S House,,아파트,,,대한민국 서울 서초구,10,,,,,https://hotels.naver.com/KR1000073/hotels/KYK6317310?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,서울,10,마마스 앤 파파스 홍대 게스트하우스,Mamas and Papas Guesthouse and Apartments in Seoul,아파트,,02-323-8280,어울마당로 47,6.8,6.6,3,,,https://hotels.naver.com/KR1000073/hotels/N1920155?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,서울,11,Kangs Apartment,,아파트,,,대한민국 서울 서대문구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK2402177?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,서울,12,삼성 갤럭시,Samseong Galaxy,아파트,,,강남구 테헤란로83길 14,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK3390244?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,서울,13,페이브 헬로월드스튜디오,Fave Hello World Studio,아파트,,,대한민국 서울 마포구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK5605274?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,서울,14,M Chereville Residence - MC Korea,,아파트,,,대한민국 서울 서초구,,,,,http://www.mchereville.net/,https://hotels.naver.com/KR1000073/hotels/KYK119482?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,서울,15,명동역에서 2분 거리에 위치한 주택,Myeongdong Station 2min House,아파트,,,중구 퇴계로20길 15-21,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK5610086?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,서울,16,"명동 풀빌라 - 100제곱미터, 침실 3개",Myeongdong 100sq3bdr Full Villa,아파트,,,대한민국 서울 중구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK5605321?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
