idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,서울,1,아트래블 명동 서울 호스텔,Artravel Myeongdong,호스텔,3급,010-6293-3522,명동4길 31,7.3,7.1,3.8,,https://artravelseoul.com/,https://hotels.naver.com/KR1000073/hotels/N3925196?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,서울,2,코자요 홍대 호스텔,Kozayo Hongdae Hostel,호스텔,3급,,마포구 와우산로21길 21,8.2,8.5,,,https://www.kozayo.com/,https://hotels.naver.com/KR1000073/hotels/KYK1070909612?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,서울,3,명동 글로벌 호스텔,Olive Hostel,호스텔,2급,02-587-5776,소공로6길 38,8.8,,4.4,,,https://hotels.naver.com/KR1000073/hotels/N1950923?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,서울,4,K-그랜드 호스텔 동대문,K-Grand Hostel Dongdaemun,호스텔,2급,,성동구 왕십리로 339-1 6층,8.2,8.1,4.5,,http://ddm.kgrandhostel.co.kr/,https://hotels.naver.com/KR1000073/hotels/N3775698?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,서울,5,나비 호스텔,Nabi Hostel,호스텔,2급,02-3142-8889,양화로 177-1,8.9,8.1,4.7,,https://place-site.yanolja.com/places/1000109117,https://hotels.naver.com/KR1000073/hotels/N3018338?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,서울,6,이태원 인,Itaewon Inn,호스텔,2급,,대한민국 서울 용산구,7.8,,,,https://www.itaewoninn.com/,https://hotels.naver.com/KR1000073/hotels/N5279836?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,서울,7,서울 그랜드호스텔 이대,Seoul Grand Hostel Ewha Univ,호스텔,2급,070-7786-3650,신촌로 155,8.6,8.6,4.6,,,https://hotels.naver.com/KR1000073/hotels/N3747529?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,서울,8,종로스테이 게스트하우스,Jongnostay Hostel,호스텔,3급,,동순라길 98,9.2,,,,http://www.jongnostay.com/en/,https://hotels.naver.com/KR1000073/hotels/KYK8010520?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,서울,9,그랜드 필드 레지던스 호스텔,Grand Field Residence Hostel,호스텔,2급,,"퇴계로14길 29, 4층",,,,,,https://hotels.naver.com/KR1000073/hotels/N5218415?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,서울,10,필스테이 명동역점,Philstay Myeongdong Station,호스텔,2급,02-775-6200,명동8가길 7 4층,8.8,8.6,4.7,,,https://hotels.naver.com/KR1000073/hotels/N3550912?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,서울,11,베스틴 레지던스 명동,Vestin Residence Myeong-dong Guesthouse,호스텔,3급,,퇴계로24길 10,8.9,,3.4,,,https://hotels.naver.com/KR1000073/hotels/N1821220?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,서울,12,K-그랜드 호스텔 명동점,OYO Hostel Myeongdong 1,호스텔,2급,070-8838-3650,"명동8길 21-7, 3층",8.2,8.3,3.6,,,https://hotels.naver.com/KR1000073/hotels/N2968320?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,서울,13,호스텔 가온,Hostel Gaon Sinchon,호스텔,2급,02-715-4040,백범로1길 8,7.5,,,,,https://hotels.naver.com/KR1000073/hotels/N3775160?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,서울,14,필스테이 이화 부티크,Philstay Ehwa Boutique - Female Only,호스텔,2급,,이화여대길 43,9,8.7,,,,https://hotels.naver.com/KR1000073/hotels/N2717840?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,서울,15,호스텔 토미,Hostel Tommy,호스텔,2급,02-744-6844,돈화문로 66,9.4,9.3,4.9,,,https://hotels.naver.com/KR1000073/hotels/N1886373?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,서울,16,오요루프탑호스텔,OYO Rooftop Hostel,호스텔,2급,,중구 퇴계로20길 47 3층,8.3,8.3,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070589462?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,서울,17,아라 125,Ara125,호스텔,2급,,중구 명동9길 21 6층,9.1,9,,,,https://hotels.naver.com/KR1000073/hotels/KYK9252946?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,서울,18,오리지날백패커스,Original Backpackers,호스텔,2급,,종로구 종로 313-3,9.8,9.7,,,,https://hotels.naver.com/KR1000073/hotels/KYK10392859?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,서울,19,Rich House Dongdaemun,,호스텔,3급,,대한민국 서울 종로구,4.9,5.3,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070555389?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,서울,20,세화 호스텔,Goodstay Saewha Hostel,호스텔,2급,02-765-2881,삼일대로32가길 50,8.3,,3.8,,,https://hotels.naver.com/KR1000073/hotels/N1659233?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,서울,21,나나 레지던스,OYO Hostel Myeongdong 2,호스텔,2급,,"명동8가길 52, 5층",8.6,8.3,4,,,https://hotels.naver.com/KR1000073/hotels/N1961964?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,서울,22,한 스테이 동대문,Han Stay,호스텔,2급,,종로구 종로44길 56,9,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1072322578?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,서울,23,호스텔 케이팝,Hostel Kpop,호스텔,2급,,중구 마른내로 53,8.5,7.9,,,,https://hotels.naver.com/KR1000073/hotels/KYK9189324?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,서울,24,호스텔 코리아 11 창덕궁,Hostel Korea - Changdeokgung,호스텔,2급,070-4705-1900,돈화문로 85,8.6,8.6,4.4,,http://cdg.hostelkorea.com/,https://hotels.naver.com/KR1000073/hotels/N1909752?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,서울,25,호스텔 클레오,Hostel Cleo Seoul Hongdae,호스텔,2급,02-323-8811,연희로 27,8.9,7.9,3.7,,,https://hotels.naver.com/KR1000073/hotels/N2494332?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,서울,26,호스텔 하루,Hostel Haru,호스텔,2급,02-732-1101,청계천로 61,9,8.9,,,http://hostelharu.com/,https://hotels.naver.com/KR1000073/hotels/N2973443?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,서울,27,에잇레스트 호스텔 명동,Eight Rest Hostel Myeong-dong,호스텔,2급,,중구 명동10길 7-8,8.5,8.6,,,,https://hotels.naver.com/KR1000073/hotels/KYK10373232?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,서울,28,호텔 코타 서울,Hotel Kota,호스텔,2급,010-4793-8727,종로 294 4층,,,3.2,,,https://hotels.naver.com/KR1000073/hotels/N2656419?adultCnt=2&pageIndex=2&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
29,서울,29,BB 홍대 라인,Bb Hongdae Line,호스텔,2급,070-4116-1500,동교로 242-11,8.8,8.9,3.6,,,https://hotels.naver.com/KR1000073/hotels/N2662000?adultCnt=2&pageIndex=3&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,서울,30,서울숲 스테이 - 호스텔,Seoul Forest Stay - Hostel,호스텔,2급,,성동구 왕십리로 108-1,8.3,,,,,https://hotels.naver.com/KR1000073/hotels/KYK4201975?adultCnt=2&pageIndex=3&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,서울,31,호스텔 바닐라 2,Hostel Vanilla 2 Dongdaemun,호스텔,2급,070-8842-8883,종로57길 34-8,9.3,,4.3,,,https://hotels.naver.com/KR1000073/hotels/N2227022?adultCnt=2&pageIndex=3&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
