idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,서울,1,코트야드 메리어트 서울 남대문,Courtyard by Marriott Seoul Namdaemun,호텔,4성급,02-2211-8000,남대문로 9,8.7,8.6,4.5,,http://www.courtyardnamdaemun.com/,https://hotels.naver.com/KR1000073/hotels/N3018453?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,서울,2,프레지던트 호텔,Hotel President,호텔,4성급,02-753-3131,을지로 16,8.4,7.9,3.7,4.3,http://www.hotelpresident.co.kr/,https://hotels.naver.com/KR1000073/hotels/N1063656?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,서울,3,"조선 팰리스 서울 강남, 럭셔리 컬렉션 호텔","Josun Palace, a Luxury Collection Hotel, Seoul Gangnam",호텔,5성급,02-727-7200,테헤란로 231,9.1,9.3,4.4,5.0,https://jpg.josunhotel.com/main.do,https://hotels.naver.com/KR1000073/hotels/N5285488?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,서울,4,JW 메리어트 동대문스퀘어 서울,JW Marriott Dongdaemun Square Seoul,호텔,5성급,02-2276-3000,청계천로 279,8.5,8.8,4.5,,https://www.marriott.co.kr/hotels/travel/seldp-jw-marriott-dongdaemun-square-seoul/,https://hotels.naver.com/KR1000073/hotels/N1990166?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,서울,5,메리어트 이그제큐티브 아파트먼트 서울,"Yeouido Park Centre, Seoul - Marriott Executive Apartments",호텔,5성급,02-2090-8000,여의대로 8,9.1,9.5,4.6,,http://www.marriott.co.kr/seler,https://hotels.naver.com/KR1000073/hotels/N1300794?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,서울,6,켄싱턴호텔 여의도,Kensington Hotel Yeouido Seoul,호텔,4성급,02-6670-7000,국회대로76길 16,8.4,8.2,4.1,4.3,https://kensington.co.kr/hyd,https://hotels.naver.com/KR1000073/hotels/N1063694?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,서울,7,호텔 삼정,Hotel Samjung,호텔,4성급,02-557-1221,봉은사로 150,8.4,8,3.6,4.3,http://www.samjunghotel.co.kr/,https://hotels.naver.com/KR1000073/hotels/N1063683?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,서울,8,호텔아르누보,Artnouveau Hotel Yeoksam,호텔,4급,02-557-7100,언주로 506,8,6.4,3.7,,http://ysanvhotel.co.kr/,https://hotels.naver.com/KR1000073/hotels/N1496562?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,서울,9,오라카이 인사동 스위트,Orakai Insadong Suites,호텔,4성급,02-6262-8888,인사동4길 18,8.5,8.5,4.2,4.6,https://insa.orakaihotels.com/,https://hotels.naver.com/KR1000073/hotels/N1063723?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,서울,10,코트야드 바이 메리어트 서울 타임스퀘어,Courtyard by Marriott Seoul Times Square,호텔,4성급,02-2638-3000,영중로 15,8.5,8.6,4.3,,http://www.courtyardseoul.co.kr/selcy,https://hotels.naver.com/KR1000073/hotels/N1538708?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,서울,11,나인트리 바이 파르나스 서울 동대문,NINE TREE BY PARNAS SEOUL DONGDAEMUN,호텔,3성급,02-6926-4099,을지로 224,8.9,8.6,,4.4,http://www.ninetreehotels.com/nth4/,https://hotels.naver.com/KR1000073/hotels/N5013003?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,서울,12,글래드 여의도,Glad Yeouido,호텔,4성급,02-6222-5000,의사당대로 16,8.9,8.4,4.8,4.6,https://www.glad-hotels.com/yeouido/index.do,https://hotels.naver.com/KR1000073/hotels/N2665521?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,서울,13,목시 바이 메리어트 서울 인사동,Moxy Seoul Insadong,호텔,3성급,02-758-1700,돈화문로11길 37,8.8,8.9,,,,https://hotels.naver.com/KR1000073/hotels/N4996023?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,서울,14,"오라카이 청계산 호텔, BW 프리미어 컬렉션","Orakai Cheonggyesan Hotel, BW Premier Collection",호텔,4성급,02-6200-7300,청계산로9길 1-7,8.8,8.5,3.6,4.6,,https://hotels.naver.com/KR1000073/hotels/N4479054?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
