idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,서울,1,Vacation 365 House,,홀리데이 하우스,,,대한민국 서울 마포구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK5306586?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,서울,2,네오 하우스 2,Neo House 2,홀리데이 하우스,,,대한민국 서울 마포구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK7608793?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,서울,3,Newly Renovated 100-Year-Old House for 4pax [Gongdeok Stn./Hongdae/Seoul Stn.],,홀리데이 하우스,,,대한민국 서울 마포구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK9189784?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,서울,4,Hwi House,,홀리데이 하우스,,,대한민국 서울 광진구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070292241?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,서울,5,뉠스테이 서울 프리미엄 한옥,Nuilestay Seoul Premium Hanok,홀리데이 하우스,,,종로구 필운대로5길 17,10,,,,http://link.inpock.co.kr/nuilestay,https://hotels.naver.com/KR1000073/hotels/KYK1070896352?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,서울,6,서울역 근처 Htb 맞춤형 서비스 홈 & 가든,Htb Tailored Service Home & Garden Near Seoul Stn,홀리데이 하우스,,,용산구 두텁바위로 97-1,10,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1072463217?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,서울,7,모던 케이스타일 하우스,Modern K-Style House,홀리데이 하우스,,,송파구 오금로16길 12 201호,9,,,,,https://hotels.naver.com/KR1000073/hotels/KYK9147261?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,서울,8,[SuperCozy]3Rooms+1bathfor special K-Home+Netflix,,홀리데이 하우스,,,대한민국 서울 은평구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK8803174?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,서울,9,L9 Tailored Service Home Near Hongik Univ Station,,홀리데이 하우스,,,대한민국 서울 마포구,9.7,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1072129206?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,서울,10,Exclusive Modern Hanok with Foot Spa & Grand View @Bukchon,,홀리데이 하우스,,,대한민국 서울 종로구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070527024?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,서울,11,Charming Traditional Hanok in Seoul - Welcome Mistakes House,,홀리데이 하우스,,,대한민국 서울 종로구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK10507707?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,서울,12,러블리 하우스,Lovely House Hongdae,홀리데이 하우스,,,동교로38길 6-8,8.4,,,,,https://hotels.naver.com/KR1000073/hotels/KYK5605318?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,서울,13,The best location to enjoy Seoul,,홀리데이 하우스,,,대한민국 서울 용산구,9.7,,,,,https://hotels.naver.com/KR1000073/hotels/KYK7830914?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,서울,14,Gangnam Penthouse,,홀리데이 하우스,,,대한민국 서울 강남구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070351209?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,서울,15,Gangnam - Bali Theme,,홀리데이 하우스,,,대한민국 서울 서초구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070351203?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,서울,16,Rollsroycethe Chairman's Suite3bdr 2bath,,홀리데이 하우스,,,대한민국 서울 서초구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070207157?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,서울,17,"Samseong 270°window View , 2bdr2bath- 5min, Gangnam-Gu",,홀리데이 하우스,,,대한민국 서울 강남구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070020535?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,서울,18,Gangnam House 4,,홀리데이 하우스,,,대한민국 서울 서초구,,,,,,https://hotels.naver.com/KR1000073/hotels/KYK1070292350?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
