idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,울산,1,코코무인모텔,Ulsan Uljugun Coco Self Check-In Motel,모텔,2급,,상북면 운문로 5-5,10,,,,http://www.nol2.co.kr/motel/motel_detail.html?part_idx=245,https://hotels.naver.com/KR1000534/hotels/N5284928?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,울산,2,G&G모텔,Ulsan Ktx Station G And G,모텔,3급,,삼남읍 도호길 59,8.6,,,,,https://hotels.naver.com/KR1000534/hotels/N5284895?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,울산,3,호텔 포스,Ulsan Ktx Station Hotel Force,모텔,3급,,삼남면 도호1길 10,9,,,,,https://hotels.naver.com/KR1000534/hotels/N4743899?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,울산,4,인투모텔,Ulsan Yeongnam Alps Into,모텔,3급,,상북면 알프스온천3길 43,9.7,,,,http://blog.naver.com/yooms0707,https://hotels.naver.com/KR1000534/hotels/N5284931?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,울산,5,더베스트,Ulsan Hogye The Best,모텔,3급,,신답1길 9-7,8.2,,,,,https://hotels.naver.com/KR1000534/hotels/N5282644?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,울산,6,호텔와이티티,Ulsan Samsan Ytt,모텔,3급,052-268-5331,삼산로266번길 5-4,8.4,,,,,https://hotels.naver.com/KR1000534/hotels/N3559696?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,울산,7,삼산미모텔,Ulsan Dal-dong Mi,모텔,3급,,왕생로46번길 12,8.8,,,,,https://hotels.naver.com/KR1000534/hotels/N5282530?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,울산,8,명성장모텔,Ulsan Eonyang Myeongseong,모텔,2급,,삼남면 중평로 71-1,10,,,,,https://hotels.naver.com/KR1000534/hotels/N5258433?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,울산,9,울산 카나리아 모텔,Hotel The Classic,모텔,3급,052-227-8881,화합로178번길 16,9.1,8.8,,,,https://hotels.naver.com/KR1000534/hotels/N3059696?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,울산,10,울산 진장동 K2,Ulsan Jinjang-Dong K2,모텔,3급,,북구 진장3길 7-2,9.4,,,,http://k2motel.co.kr/,https://hotels.naver.com/KR1000534/hotels/KYK8094201?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
