idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,울산,1,울산 바다소풍애견펜션,Ulsan Sea Picnic Pets Friendly Pension,펜션,2급,,울산광역시 북구 용바위1길 32,10,,,,http://www.xn--l89ay1jurieofnh23s322a9wb.com/,https://hotels.naver.com/KR1000534/hotels/KYK7234165?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,울산,2,경주 디어포르마,Gyeongju Dear Forma Pension,펜션,3급,,양남면 솔숲3길 11,7.5,,,,http://dearforma.com/,https://hotels.naver.com/KR1000534/hotels/KYK8645576?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,울산,3,울산 더케이콘도리조트,Ulsan The K Condo Resort,펜션,3급,,울산광역시 울주군 서생면 진하6길 14,6.8,,,,,https://hotels.naver.com/KR1000534/hotels/KYK7450510?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,울산,4,블루탱,Ulsan Yeungnam Alps Blue Tang,펜션,2급,,상북면 알프스온천5길 21,10,,,,,https://hotels.naver.com/KR1000534/hotels/N5284919?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,울산,5,춤추는 고래 펜션,Dancing Whale Pension,펜션,4급,,울산광역시 북구 동해안로 787-2,7.8,,,,http://www.dancingwhale.co.kr/,https://hotels.naver.com/KR1000534/hotels/KYK7230863?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,울산,6,울산 바다별펜션,Ulsan Sea Star Pension,펜션,3급,,울산광역시 북구 동해안로 1902-1,,,,,https://seanstar.co.kr/,https://hotels.naver.com/KR1000534/hotels/KYK9489894?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,울산,7,간절곶선뷰 펜션,Ulsan Ganjeolgot Sun View Pension,펜션,2급,,서생면 대송길,9.6,,,,http://www.sunviewps.com/,https://hotels.naver.com/KR1000534/hotels/N3645712?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,울산,8,간절곶해담은펜션,Ulsan Ganjeolgot Haedameun Pension,펜션,2급,,울산 울주군 서생면 대송길 7-46,9,,,,http://www.haedameunps.com/,https://hotels.naver.com/KR1000534/hotels/KYK1070287946?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,울산,9,발렌타인온천펜션,Ulsan Youngnam Alps Valentine Oncheon,펜션,2급,,상북면 알프스온천2길 54,,,,,https://www.myrealtrip.com/union/products/3159338,https://hotels.naver.com/KR1000534/hotels/N5284918?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,울산,10,줄리에타 풀빌라펜션,Gyeongju Jullietapoolvilla&kidspension,펜션,3급,,양남면 솔숲1길 6-4,,,,,http://julietta.co.kr/,https://hotels.naver.com/KR1000534/hotels/N5286558?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,울산,11,배내골 써니앤케빈 (개별욕실+주방),"Ooljoo Sunny, Cabin Glamping",펜션,4급,,울산 울주군 상북면 배내로 1348-15,,,,,https://sunnyandkevin.creatorlink.net/,https://hotels.naver.com/KR1000534/hotels/KYK8534208?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,울산,12,배내골 써니앤케빈 (개별욕실+주방),"Ooljoo Sunny, Cabin Glamping",펜션,4급,,울산 울주군 상북면 배내로 1348-15,9.4,,,,https://sunnyandkevin.creatorlink.net/,https://hotels.naver.com/KR1000534/hotels/KYK1070821430?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,울산,13,라임하우스,Lime House Pension,펜션,2급,010-3446-9041,상북면 배내로 1220,,,,,http://bene1220.com/,https://hotels.naver.com/KR1000534/hotels/N3050420?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,울산,14,울산 파빌라영남알프스점,Ulsan Pavila Yeongnam Alps Branch,펜션,2급,,울산광역시 울주군 상북면 알프스온천5길 35 1~3층,9.2,,,,https://pavilla.kr/,https://hotels.naver.com/KR1000534/hotels/KYK1070751052?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,울산,15,로하스 펜션,Yansan Lohas Pension,펜션,2급,010-3227-0127,상북면 배내로 1061-1,,,,,,https://hotels.naver.com/KR1000534/hotels/N3644689?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,울산,16,울산 파도소리펜션,Ulsan Padosori Pension,펜션,2급,,울산광역시 북구 동해안로 796,,,,,http://www.pado-sori.net/,https://hotels.naver.com/KR1000534/hotels/KYK9183937?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,울산,17,에델바이스 펜션,Baenaegol Edelweiss Pension,펜션,2급,052-254-4665,상북면 배내로 1064-1,,,,,http://www.edelpension.kr/,https://hotels.naver.com/KR1000534/hotels/N3645182?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,울산,18,클럽33풀빌라,Ulsan Club 33 Pool Villa,펜션,2급,,상북면 삽재로 279-22,10,,,,http://clubpool.infotown.kr/,https://hotels.naver.com/KR1000534/hotels/N4872344?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,울산,19,울산 리베펜션,Ulsan (Baenaegol) Libe Pension,펜션,3급,,울산광역시 울주군 상북면 배내로 1224,,,,,http://libepension.com/,https://hotels.naver.com/KR1000534/hotels/KYK5610576?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,울산,20,바다여행펜션,Gyeongju Ocean Tour Pension,펜션,3급,,양남면 동해안로 514,,,,,http://www.oceantourpen.kr/,https://hotels.naver.com/KR1000534/hotels/N5283865?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,울산,21,울산 에이풀하우스풀빌라펜션,Ulsan Apool House Pool Villa Pension,펜션,3급,,울산광역시 북구 아름1길 42-3,9.2,,,,http://xn--9t4b11dhtayxf19bbgb.com/,https://hotels.naver.com/KR1000534/hotels/KYK1070523209?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,울산,22,알프스 119 펜션,Ulsan Baenaegol Alps 119 Pension,펜션,2급,052-264-1195,울주군 상북면 배내로 1070,,,,,http://alps119.staynt.co.kr/,https://hotels.naver.com/KR1000534/hotels/N3644512?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,울산,23,울산 예그리나펜션,Ulsan Yes Greena Pension,펜션,3급,,울산광역시 울주군 서생면 먼당길 16,,,,,https://blog.naver.com/jsh7573,https://hotels.naver.com/KR1000534/hotels/KYK9489899?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,울산,24,울산 황토속펜션,Ulsan In the Mud Pension,펜션,2급,,울산광역시 울주군 상북면 등억알프스로 391-6,,,,,https://redclay.creatorlink.net/,https://hotels.naver.com/KR1000534/hotels/KYK9489892?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
