idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,울산,1,호텔현대 바이 라한 울산,Hotel Hyundai Ulsan by Lahan,호텔,4성급,052-251-2233,방어진순환도로 875,8.4,7.8,4.1,4.7,https://www.lahanhotels.com/ulsan/ko/main.do,https://hotels.naver.com/KR1000534/hotels/N1188817?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,울산,2,호텔 여우비,Yeoubi Hotel,호텔,2성급,052-267-7777,산업로647번길 14,8.7,,,4.7,,https://hotels.naver.com/KR1000534/hotels/N3970906?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,울산,3,브라운도트 호텔 울산신천점,Brown-Dot Hotel Ulsan-Sincheon,호텔,3급,052-282-2000,매산5로 14,8.4,8.6,,,,https://hotels.naver.com/KR1000534/hotels/N4996490?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,울산,4,호텔먹자닷컴 알프스점,Hotel Eat Dot Com Alpeuseu Oncheon,호텔,3급,052-262-0026,울주군 상북면 알프스온천1길 1,8.6,9,,,,https://hotels.naver.com/KR1000534/hotels/KYK1071739795?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,울산,5,울산 커스텀 호텔,Ulsan Custom Hotel,호텔,2급,,삼산로383번길 6-10,9.3,,,,,https://hotels.naver.com/KR1000534/hotels/N4746352?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,울산,6,호텔 간월재,Hotel Kanwolge,호텔,3급,,상북면 알프스온천5길 39,10,,,,https://blog.naver.com/kanwolge/223759373922,https://hotels.naver.com/KR1000534/hotels/KYK10371287?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,울산,7,해담은 호텔,Gyeongju Haedameun Hotel,호텔,3급,,양남면 양남로 44,8.6,,,,,https://hotels.naver.com/KR1000534/hotels/N5286297?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,울산,8,브라운도트 호텔 울산삼산점,Brown Dot Hotel Ulsan Samsan,호텔,3급,052-277-2700,삼산로383번길 6-17,8.5,8.7,,,,https://hotels.naver.com/KR1000534/hotels/N5108218?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,울산,9,호텔 701 풀빌라,Hotel 701 Pool villa,호텔,2급,,동구 해수욕장8길 12,,,,,,https://hotels.naver.com/KR1000534/hotels/KYK1072533792?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,울산,10,넘버25 호텔 삼산점,Ulsan Samsan No. 25,호텔,3급,,삼산로317번길 12-20,9.1,,,,,https://hotels.naver.com/KR1000534/hotels/N4748018?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,울산,11,호텔루바토 울산중구학성점,Rubato Hotel Ulsan Junggu,호텔,3급,,학성로 228-10,8.6,8.8,,,,https://hotels.naver.com/KR1000534/hotels/N5304351?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,울산,12,오션뷰 호텔,Hotel Ocean View,호텔,3급,052-235-7777,해수욕장1길 50,7.3,7.4,3.6,,https://www.hoteloceanview.co.kr/,https://hotels.naver.com/KR1000534/hotels/N3025316?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,울산,13,울산 호텔 굿모닝,Hotel Good Morning,호텔,3성급,052-209-9000,바드래1길 15,4.2,,3.5,,,https://hotels.naver.com/KR1000534/hotels/N1740981?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,울산,14,썸모텔,Ulsan Some Hotel,호텔,3급,,산하중앙1로 50,8.7,,,,,https://hotels.naver.com/KR1000534/hotels/N5282590?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,울산,15,알리바바 호텔,Alibaba Hotel Ulsan,호텔,3급,050-7725-3093,삼산로 406,8.6,,,,,https://hotels.naver.com/KR1000534/hotels/N3032946?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,울산,16,브라운도트 호텔 정자해수욕장점,Brown Dot Hotel Jungja Beach,호텔,3급,0503-5052-0331,산음10길 23-4,9.6,,,,,https://hotels.naver.com/KR1000534/hotels/N5258079?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,울산,17,유니크모텔,Doan Stay Hotel,호텔,2급,,번영로144번길 8,8.3,,,,,https://hotels.naver.com/KR1000534/hotels/N5282584?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,울산,18,호텔 플레이,Ulsan Daldong Hotel Play 1,호텔,3급,,왕생로45번길 15,7,,,,,https://hotels.naver.com/KR1000534/hotels/N5286355?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,울산,19,울산 진장동 히든베이,Ulsan Jinjangdong Hidden Bay,호텔,3급,,울산광역시 북구 진장3길 23-5,8,,,,,https://hotels.naver.com/KR1000534/hotels/KYK7234162?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,울산,20,울산 호텔,Ulsan Hotel,호텔,3급,052-227-6300,두왕로 333,,,2.3,,,https://hotels.naver.com/KR1000534/hotels/N1740984?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,울산,21,울산 정자동 더반 호텔,Ulsan Jeonjadong The Van Hotel,호텔,2급,,울산 북구 동해안로 1688,8.6,8.5,,,,https://hotels.naver.com/KR1000534/hotels/KYK2184447?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,울산,22,울산 삼산 호텔 그랜드젬,Ulsan Samsan Hotel Grand Gem,호텔,3급,,삼산로395번길 6,4.8,,,,,https://hotels.naver.com/KR1000534/hotels/KYK1070400562?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,울산,23,판도라 호텔,Ulsan Samsan Pandora Hotel,호텔,2급,052-716-2553,삼산로392번길 8,8.2,8.1,4.8,,,https://hotels.naver.com/KR1000534/hotels/N3032970?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,울산,24,H 호텔,H Hotel,호텔,1급,052-271-9044,화합로178번길 7,9.3,,4.3,,http://www.hhotelkorea.com/,https://hotels.naver.com/KR1000534/hotels/N3025109?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,울산,25,온더웨이브호텔,Ulsan On The Wave Hotel,호텔,2성급,052-237-1127,서생면 간절곶해안길 37,10,,,4.7,http://www.xn--9m1b86r5pg8va9tw37bn7h.com/,https://hotels.naver.com/KR1000534/hotels/N3772765?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,울산,26,경주 라인뷰풀빌라,Gyeongju Lineview Poolvilla,호텔,3급,,양남면 솔숲1길 16-3,,8,,,http://lineviewpoolvilla.kr/,https://hotels.naver.com/KR1000534/hotels/KYK8534188?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,울산,27,지앤지,G&G Hotel,호텔,2급,,신복로6번길 23,4.5,,,,,https://hotels.naver.com/KR1000534/hotels/N5282506?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,울산,28,공담 스테이 호텔 울산산삼점,Gongdam Stay Hotel Ulsan Samsan,호텔,3급,,남구 산업로647번길 5,8.5,,,,,https://hotels.naver.com/KR1000534/hotels/KYK9964306?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
29,울산,29,H2 호텔,Hotel H2,호텔,2급,,남구 왕생로62번길 16-1,,,,,,https://hotels.naver.com/KR1000534/hotels/KYK10193835?adultCnt=2&pageIndex=3&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,울산,30,키즈호텔 상상플레이,Kids Hotel Sangsang Play,호텔,2급,,울주군 상북면 알프스온천4길 2,10,,,,,https://hotels.naver.com/KR1000534/hotels/KYK1070523236?adultCnt=2&pageIndex=3&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,울산,31,영남 알프스 션하우스,Yeongnam Alps House,호텔,3급,,울산광역시 울주군 상북면 거리지곡1길 25-25,,,,,http://xn--sk4bux12g13t.com/,https://hotels.naver.com/KR1000534/hotels/KYK1070681832?adultCnt=2&pageIndex=3&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
32,울산,32,브라운도트호텔 성남점,Ulsan Brown Dot Hotel Seongnam branch,호텔,3급,052-242-0507,젊음의거리 29-20,7.7,,,,http://browndotulsan.jalib.site/,https://hotels.naver.com/KR1000534/hotels/N3772253?adultCnt=2&pageIndex=3&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
33,울산,33,솜누스 모텔,Somnus Motel,호텔,2급,052-267-2736,삼산로395번길 12,,,,,,https://hotels.naver.com/KR1000534/hotels/KYK2877230?adultCnt=2&pageIndex=3&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
34,울산,34,샌디아온천,Sandia Hot Spring,호텔,2급,,상북면 알프스온천2길 58,8.4,,,,http://sandia.staynt.co.kr/,https://hotels.naver.com/KR1000534/hotels/N5278956?adultCnt=2&pageIndex=3&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
35,울산,35,커플모텔,Couple Motel,호텔,2급,,구역전2길 10-2,,,,,,https://hotels.naver.com/KR1000534/hotels/N4552986?adultCnt=2&pageIndex=3&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
