idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,인천,1,코러스 게스트하우스,Korus Guesthouse,게스트하우스,2급,010-3813-4015,화랑목로100번길 75,,,4.7,,,https://hotels.naver.com/KR1000532/hotels/N3053601?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,인천,2,프라임 게스트하우스,Prime Guesthouse,게스트하우스,2급,032-743-0014,"공항로424번길 72, 719호",8.1,7.8,4.4,,,https://hotels.naver.com/KR1000532/hotels/N2009337?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,인천,3,허브 게스트하우스,Hub Guest House,게스트하우스,1급,010-6230-5242,백년로9번길 8-1,9.2,,5,,,https://hotels.naver.com/KR1000532/hotels/N3565790?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,인천,4,게스트하우스 휴,Hue Guesthouse,게스트하우스,2급,,"모랫말로16번길 13-33, 3층",,,,,,https://hotels.naver.com/KR1000532/hotels/N4605620?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,인천,5,인천 공항 베스트 레지던스 하우스,Incheon Airport Best Residence House,게스트하우스,3급,,공항로424번길 50,,,,,,https://hotels.naver.com/KR1000532/hotels/N1594234?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,인천,6,위홈 게스트하우스,We Home Guesthouse - Hostel,게스트하우스,2급,,흰바위로92번길 5-14,8.1,,,,,https://hotels.naver.com/KR1000532/hotels/N4996605?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,인천,7,버즈 게스트하우스,Buzz Guest House - Hostel,게스트하우스,2급,070-7918-5814,화랑목로100번길 70,,,4.5,,,https://hotels.naver.com/KR1000532/hotels/N3925706?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,인천,8,인천공항 영종 게스트하우스,Incheon Airport Yeongjong Guesthouse,게스트하우스,2급,032-751-3050,눈돌로13번길 8,,,,,,https://hotels.naver.com/KR1000532/hotels/N3025246?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,인천,9,하루미,Harumi,게스트하우스,2급,,신도시북로88번길 48-18,,,4,,,https://hotels.naver.com/KR1000532/hotels/N3025174?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,인천,10,조 게스트하우스,Jo Guesthouse - Hostel,게스트하우스,2급,010-4181-0194,화랑목로100번길 69,,,,,,https://hotels.naver.com/KR1000532/hotels/N3773623?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,인천,11,코코 게스트하우스,Coco Guesthouse - Hostel,게스트하우스,2급,,모랫말로16번길 13-52,,,,,,https://hotels.naver.com/KR1000532/hotels/N4872858?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,인천,12,웰컴 게스트하우스,Incheon Airport Welcome Guesthouse,게스트하우스,2급,,공항로424번길 72,,,,,,https://hotels.naver.com/KR1000532/hotels/N1820668?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,인천,13,런웨이게스트하우스,Runway Guesthouse - Hostel,게스트하우스,2급,032-746-6390,눈돌로14번길 14-5,,,5,,,https://hotels.naver.com/KR1000532/hotels/N2944835?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,인천,14,아미바다,Amy Bada,게스트하우스,2급,,강화군 화도면 해안남로 2371-31,8.1,,,,http://amybada.staynt.co.kr/,https://hotels.naver.com/KR1000532/hotels/KYK4968604?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,인천,15,욜로하우스,Yolo House,게스트하우스,3급,,중구 모랫말로 36-2 201호,8.3,8.3,,,,https://hotels.naver.com/KR1000532/hotels/KYK10329015?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,인천,16,인천공항 게스트하우스 엘,Incheon airport Guesthouse L,게스트하우스,,,인천 중구 모랫말로16번길 13-23,9.3,,,,,https://hotels.naver.com/KR1000532/hotels/KYK1072226516?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,인천,17,레인부츠 게스트하우스,Rain Boots Guest House,게스트하우스,2급,032-751-1523,화랑목로 40-16,9,8.6,3.8,,,https://hotels.naver.com/KR1000532/hotels/N3926495?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,인천,18,Sky Guest House,,게스트하우스,2급,,대한민국 인천 서구,10,,,,,https://hotels.naver.com/KR1000532/hotels/KYK3605785?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,인천,19,올인원 게스트하우스,All in one Guesthouse,게스트하우스,2급,,청라한울로59번길 26,,,,,,https://hotels.naver.com/KR1000532/hotels/N4012420?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,인천,20,한옥가,Hanokga Hotel,게스트하우스,2급,,공항로424번길 66,10,,,,,https://hotels.naver.com/KR1000532/hotels/N4605629?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,인천,21,코나하우스,Kona House - Hostel,게스트하우스,2급,,문화서로4번길 55-13,,,,,,https://hotels.naver.com/KR1000532/hotels/N4259242?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,인천,22,대부도 8그램펜션,Daebudo 8 g Pension,게스트하우스,3급,,인천광역시 옹진군 영흥면 영흥로757번길 250,,,,,http://8gramkids.com/,https://hotels.naver.com/KR1000532/hotels/KYK1070297470?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,인천,23,에어버디 게스트하우스,Airbuddy Guesthouse - Hostel,게스트하우스,1급,010-9998-2328,화랑목로100번길 76,,,4,,http://www.airbuddykorea.net/,https://hotels.naver.com/KR1000532/hotels/N3018428?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,인천,24,에어포트 게스트하우스,Airport Guesthouse,게스트하우스,2급,,공항로424번길 50,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK840799?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,인천,25,슬립피십 프리미엄 게스트하우스,Sleepy Sheep Premium Guesthouse,게스트하우스,2급,,햇내로안길 6,,,,,,https://hotels.naver.com/KR1000532/hotels/N4989763?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,인천,26,에이스 게스트하우스,Ace Guesthouse Incheon,게스트하우스,1급,010-7131-0100,"자유공원로 3-8, 2층",,,,,,https://hotels.naver.com/KR1000532/hotels/N3018482?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,인천,27,쟈밀나하,Ganghwa Gamilnahar Pension,게스트하우스,3급,010-9764-8095,화도면 해안남로 2483-14,,,,,http://gamilnahar.kr/,https://hotels.naver.com/KR1000532/hotels/N3019587?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,인천,28,인천공항 오션뷰호텔,,게스트하우스,,,대한민국 인천 중구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK8386849?adultCnt=2&pageIndex=2&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
29,인천,29,디스코 팡팡 게스트하우스,Disco Pangpang Guesthouse,게스트하우스,3급,,계양구 임학동로11번길 3,7.8,,,,,https://hotels.naver.com/KR1000532/hotels/KYK10390038?adultCnt=2&pageIndex=3&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,인천,30,Abc Homestay Guesthouse,,게스트하우스,,,대한민국 인천 중구,7.7,7.7,,,,https://hotels.naver.com/KR1000532/hotels/KYK1071667835?adultCnt=2&pageIndex=3&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,인천,31,No.48,,게스트하우스,,,대한민국 인천 강화군,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK1070292293?adultCnt=2&pageIndex=3&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
