idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,인천,1,호텔헤르츠,Incheon (Juan) Hertz,모텔,3급,,미추홀대로734번길 25-16,8.5,,,,,https://hotels.naver.com/KR1000532/hotels/N5285126?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,인천,2,더 바스텔,The Bathtel,모텔,3급,032-423-6374,경인로435번길 7-8,,,3.8,,,https://hotels.naver.com/KR1000532/hotels/N2683032?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,인천,3,정원호텔,Incheon (Yonghyeondong) Jungwon Hotel,모텔,3급,,아암대로107번길 10,9.7,,,,http://www.jungwonhotel.com/,https://hotels.naver.com/KR1000532/hotels/N5270097?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,인천,4,비즈니스 디자인 호텔 LUV,Business Design Hotel Luv,모텔,3급,032-431-5681,소래역로 22,9,,,,http://hotelluv.co.kr/,https://hotels.naver.com/KR1000532/hotels/N2823962?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,인천,5,호텔 두루와 부평2호점,Incheon Duruwa Hotel 2,모텔,3급,,경원대로1431번길 12,,,,,,https://hotels.naver.com/KR1000532/hotels/N5282763?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,인천,6,하루 모텔,Incheon Haru,모텔,2급,,영흥면 선재로317번길 17,9.6,,,,,https://hotels.naver.com/KR1000532/hotels/N5285287?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,인천,7,더휴식 아늑 인천송도점,Aank Hotel Incheon Songdo branch,모텔,2급,032-834-5050,인권로9번길 9,8.8,7.9,,,,https://hotels.naver.com/KR1000532/hotels/N2362898?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,인천,8,인천 소풍,Incheon (Songdo) Sopung,모텔,3급,,인천광역시 연수구 인권로 7,9.1,,,,,https://hotels.naver.com/KR1000532/hotels/KYK7232255?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,인천,9,스테이 호텔,Incheon Stay Hotel,모텔,3급,032-820-0000,능허대로 181,7.8,8.2,4,,,https://hotels.naver.com/KR1000532/hotels/N3024156?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,인천,10,호텔 오라,Incheon Bupyeong Ora,모텔,3급,,대정로82번길 13,10,,,,,https://hotels.naver.com/KR1000532/hotels/N5282759?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,인천,11,호텔 오라,Incheon Bupyeong Ora,모텔,3급,032-867-0511,주안서로 46,,,2.6,,,https://hotels.naver.com/KR1000532/hotels/N2522329?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,인천,12,린모텔,Incheon (Dongam) Lin,모텔,3급,,동암광장로12번길 13,8.4,,,,,https://hotels.naver.com/KR1000532/hotels/N5284696?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,인천,13,인천 라임,Incheon (Bupyeong) Lime,모텔,3급,,인천광역시 부평구 부평문화로79번길 40(부평동),8.3,,,,,https://hotels.naver.com/KR1000532/hotels/KYK1070528163?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,인천,14,라메르모텔,Incheon (Seonjaedo) La Mer,모텔,3급,,영흥면 선재로186번길 95,9,,,,,https://hotels.naver.com/KR1000532/hotels/N5285366?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,인천,15,호텔 위드유,Hotel with you,모텔,2급,0503-5051-4684,미추홀대로722번길 33,10,,5,,,https://hotels.naver.com/KR1000532/hotels/N2982993?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,인천,16,델로스,Incheon (Eulwangri) Delos,모텔,3급,,용유서로 365,,,,,,https://hotels.naver.com/KR1000532/hotels/N4035092?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,인천,17,홀인원모텔,Incheon (Juan) Hole In One,모텔,3급,032-429-3350,석바위로114번길 16,8.2,,1,,,https://hotels.naver.com/KR1000532/hotels/N3559477?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,인천,18,보보스호텔,Incheon (Songdo) Bobos,모텔,3급,,능허대로104번길 59,6,,,,,https://hotels.naver.com/KR1000532/hotels/N5282042?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,인천,19,Cf모텔,Incheon (Bupyeong) Cf,모텔,3급,032-522-3956,광장로4번길 58,6,,,,,https://hotels.naver.com/KR1000532/hotels/N3659354?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,인천,20,노블레스모텔,Incheon Ganseok-dong Noblesse,모텔,3급,032-431-1101,경인로644번길 113,8.8,,,,,https://hotels.naver.com/KR1000532/hotels/N3558596?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,인천,21,모텔휴,Incheon Eulwang-ri The Hue,모텔,3급,032-746-3096,선녀바위로55번길 35,9.3,,,,,https://hotels.naver.com/KR1000532/hotels/N5282395?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
