idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,인천,1,강화 내리몽 펜션,Ganghwa Naerimong Pension,아파트,,,인천 강화군 화도면 해안남로 2890-7,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK1070298345?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,인천,2,2 Bed Incheon Apartment Quick Trip To Incheon Airport Or Seoul,,아파트,,,대한민국 인천 남동구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK7072994?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,인천,3,Cozy 2 bedroom apartment in Incheon,,아파트,,,대한민국 인천 부평구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK1070751793?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,인천,4,"초고층 환상의 오션뷰와 같은\n건물 편리한 시설의 스튜디오. 지하철 3분거리. 넷플릭스, 헬스장 무료사용. 송도센트럴파크 근접.",,아파트,,,대한민국 인천 연수구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK10775863?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,인천,5,"Lux true 3BR, 2ba/Airport/Conference, Family gathering, business travelers",,아파트,,,대한민국 인천 연수구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK11091662?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,인천,6,"Brand New 2BR 14F 646sq.ft, 2min to Hyundai outlet & Triple St., 2Free Parking",,아파트,,,대한민국 인천 연수구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK10810713?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,인천,7,Good Moments [Private Room],,아파트,,,대한민국 인천 서구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK10680670?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,인천,8,영흥도 풍경채펜션,yeonghungdo poongyeong che pension,아파트,,,인천 옹진군 영흥면 영흥로643번길 15-2,,,,,http://pung-gyeong.com/,https://hotels.naver.com/KR1000532/hotels/KYK1070407242?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,인천,9,Incheon City In Korea,,아파트,,,대한민국 인천 미추홀구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK7072971?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,인천,10,"Brand-New 20F 2BR 646sq.ft 2min to Hyundai Outlet& Triple St. Gym,2Free Parking",,아파트,,,대한민국 인천 연수구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK10824246?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,인천,11,"'Salon de Lune' Park view, 3 min to Subway stn. Relaxing and cozy. Pet-Friendly!",,아파트,,,대한민국 인천 연수구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK11157916?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,인천,12,"'Salon de Lune' Park view, In 5min Subway stn. Relax & cozy house. Pet-Friendly!",,아파트,,,대한민국 인천 연수구,,,,,,https://hotels.naver.com/KR1000532/hotels/KYK10596452?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,인천,13,E 2BR 60m2 Newly Built High Floor APT 2min to Hyundai Outlet Triple St 2Free Parking,,아파트,,,대한민국 인천 연수구,9.6,9.5,,,,https://hotels.naver.com/KR1000532/hotels/KYK1072001796?adultCnt=2&pageIndex=1&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
