idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,인천,1,강화 해모루 펜션,Ganghwa Haemolupension,펜션,3급,,강화군 화도면 해안남로 1496-1,10,10,,,http://xn--939a66vnkb818c85a.kr/index.html,https://hotels.naver.com/KR1000532/hotels/KYK1070700715?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,인천,2,강화도 노을칸타타펜션,Ganghwado Noeul Cantata Pension,펜션,3급,,인천 강화군 화도면 해안남로 2166-49,8.9,,,,,https://hotels.naver.com/KR1000532/hotels/KYK1070303740?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,인천,3,해나루 펜션,Ganghwa Haenaru Pension,펜션,3급,032-937-4996,길상면 동검길65번길 91-3,9.4,,,,http://xn--910br1nf9gnvtm9b.com/,https://hotels.naver.com/KR1000532/hotels/N3646264?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,인천,4,을왕리 마린캠프펜션,Eulwangri On & On Pension,펜션,3급,,용유서로302번길 22,8.6,,,,,https://hotels.naver.com/KR1000532/hotels/N5130540?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,인천,5,강화 정원펜션,Gangwha Jeongwon Pension,펜션,3급,,강화군 화도면 해안남로 1288-22,10,,,,https://xn--sk4b13h31ak32a.kr/,https://hotels.naver.com/KR1000532/hotels/N5283837?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,인천,6,바다이야기펜션,Daebudo (Yeongheungdo) Marino Pension,펜션,3급,,영흥면 영흥로757번길 30-44,10,,,,,https://hotels.naver.com/KR1000532/hotels/N5192851?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,인천,7,영흥도관광펜션,Yeongheungdo Tour Pension,펜션,3급,032-883-9800,영흥면 영흥로156번길 33-17,,,,,http://yhdtour.com/,https://hotels.naver.com/KR1000532/hotels/N3643267?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,인천,8,강화 기차여행 펜션,Ganghwa Gichayeohaeng Pension,펜션,3급,,강화군 하점면 강화서로497번길 46-2,8.7,,,,http://xn--ok0b867apkdn2hvmkr0c.com/,https://hotels.naver.com/KR1000532/hotels/KYK1070647440?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,인천,9,강화 콘체르트애견펜션,Gwanghwa Concert Pension,펜션,3급,,강화군 화도면 해안남로 2166-57,9.8,,,,,https://hotels.naver.com/KR1000532/hotels/KYK8704504?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,인천,10,영흥래리펜션,Daebudo (Yeongheungdo) Larry Pension,펜션,3급,,영흥면 영흥서로16번길 139-18,10,,,,,https://hotels.naver.com/KR1000532/hotels/N5285281?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
