idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,인천,1,데이즈 호텔&스위트 바이 윈덤 인천에어포트,Days Hotel & Suites by Wyndham Incheon Airport,호텔,4급,032-722-3000,신도시남로142번길 6,8.3,7.6,4,4.2,http://www.dayshotelsuitesincheon.com/,https://hotels.naver.com/KR1000532/hotels/N3567228?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,인천,2,호텔 오라,Hotel Ora Incheon,호텔,3성급,032-752-8080,공항서로 345,8.7,,4.2,4.8,https://www.hotelora.co.kr/ko/,https://hotels.naver.com/KR1000532/hotels/N2999066?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,인천,3,아늑 호텔 인천구월점,Aank Hotel Incheon Guwol,호텔,3성급,032-724-2000,예술로204번길 15,8.5,,,4.2,,https://hotels.naver.com/KR1000532/hotels/N5303941?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,인천,4,인터네셔널 호텔 인천 영종,International Hotel Youngjong,호텔,4급,032-747-3301,은하수로29번길 47,6.7,,3.7,,https://internationalyg.isweb.co.kr/,https://hotels.naver.com/KR1000532/hotels/N2922880?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,인천,5,SR 호텔 영종,Sr Hotel Yeongjong,호텔,4급,032-746-4111,중구 영종대로893,7.7,7.8,,4.2,,https://hotels.naver.com/KR1000532/hotels/KYK10374681?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,인천,6,에어스카이호텔 영종도 인천공항,Airsky Hotel Incheon,호텔,4급,032-720-6200,은하수로 29번길 31,8.5,8.1,,4.1,https://www.hotelairsky.co.kr/,https://hotels.naver.com/KR1000532/hotels/N4859501?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,인천,7,더 스테이 송도,The Stay Songdo,호텔,3급,,"연수구 아트센터대로168번길 100, 1층 체크인",8.7,,,,,https://hotels.naver.com/KR1000532/hotels/KYK8934085?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,인천,8,호텔 에버리치,Everrich Hotel,호텔,3성급,032-934-1688,화성길50번길 43,7.7,,4.4,3.3,https://www.hoteleverrich.com/,https://hotels.naver.com/KR1000532/hotels/N2351652?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,인천,9,오션솔레뷰호텔,Ocean Soleview Hotel,호텔,2급,1544-4162,영종진광장로 32,8,,,4.4,http://www.oceansoleview.com/,https://hotels.naver.com/KR1000532/hotels/N5272592?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,인천,10,이비스 스타일 앰배서더 인천 에어포트,ibis Styles Ambassador Incheon Airport,호텔,4성급,0507-1468-7202,제2터미널대로 340,8.8,8.6,4.7,4.5,https://www.ambatel.com/ibisstyles/Incheonairport/ko/main.do,https://hotels.naver.com/KR1000532/hotels/N5303393?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
