idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전남,1,안진이네,Anjin2ne,게스트하우스,3급,,"호남로 28 1,2층",8.9,8.8,,,,https://hotels.naver.com/KR1000015/hotels/KYK1071171827?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전남,2,빅오쇼 게스트하우스,Big-O Show Guesthouse - Hostel,게스트하우스,2급,061-664-5552,공화북5길 8,8.7,,4,,,https://hotels.naver.com/KR1000015/hotels/N3013635?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전남,3,수다방게스트하우스,Sudabang Guesthouse - Hostel,게스트하우스,2급,061-243-7003,마인계터로40번길 2-14,8.6,,,,,https://hotels.naver.com/KR1000015/hotels/N3773612?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전남,4,여수 느낌 풀빌라,Yeosu Nukim Poolvilla,게스트하우스,3급,,돌산읍 계동로 426,9.4,10,,,http://xn--l89am7eh0bcyieyjs0fcsg55a298f.kr/,https://hotels.naver.com/KR1000015/hotels/KYK1070529976?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전남,5,이용욱고택,Jinrae Lee's Traditional House,게스트하우스,2급,,득량면 강골길 34-6,9.5,9.4,4.8,,,https://hotels.naver.com/KR1000015/hotels/N3020916?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전남,6,다올 독채 팬션,Yeosu Daoljang Guesthouse,게스트하우스,2급,,봉산남4길 23-10,9.3,,,,,https://hotels.naver.com/KR1000015/hotels/KYK9422032?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전남,7,청춘게스트하우스,Springtime Guest House,게스트하우스,3급,,달성길 39,8.5,,,,,https://hotels.naver.com/KR1000015/hotels/N4181745?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전남,8,느림 게스트하우스,Suncheon Guesthouse Neurim,게스트하우스,2급,010-9229-8917,중앙초등길 50,9.7,,3.8,,http://nreem.co.kr/,https://hotels.naver.com/KR1000015/hotels/N1918672?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전남,9,모이리 게스트하우스,Yeosu Moiri Guesthouse,게스트하우스,2급,010-9241-3713,봉산남6길 11-17,8,,,,,https://hotels.naver.com/KR1000015/hotels/N3013705?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전남,10,38번가 게스트하우스,38th Street Guesthouse,게스트하우스,1급,,만호로38번길 17,8.7,8.9,,,,https://hotels.naver.com/KR1000015/hotels/KYK7202894?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
