idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전남,1,에이스모텔,Haenam Ace,모텔,3급,,삼산면 대흥사길 154-6,8.3,,,,http://ok114.co.kr/0615358880,https://hotels.naver.com/KR1000015/hotels/N5280664?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전남,2,호텔캐슬,Hotel Castle,모텔,3급,,상풍길 37 1층,8.4,7.8,,,http://hotelcastle.co.kr/,https://hotels.naver.com/KR1000015/hotels/N4735586?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전남,3,완도 호텔 케이(Hotel K),Wando Hotel K,모텔,1급,,전라남도 완도군 완도읍 개포로62번길 42-5 완도 호텔 케이(HOTEL,8.7,,,,,https://hotels.naver.com/KR1000015/hotels/KYK1070534674?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전남,4,세비야 모텔,Wando Seville,모텔,2급,,완도읍 해변공원로124번길 11,5,,,,,https://hotels.naver.com/KR1000015/hotels/N5282085?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전남,5,꿀잠호텔,Gguljam Hotel,모텔,2급,,공화남2길 12,8.9,6.8,,,http://ggulzam.com/,https://hotels.naver.com/KR1000015/hotels/N4013883?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전남,6,호텔 디바인,Suncheon Hound Hotel Suncheon Station Branch,모텔,3급,,역전길 47,8.4,7.7,,,,https://hotels.naver.com/KR1000015/hotels/N5273117?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전남,7,여수 여도각,Yeosu Yeodo Motel,모텔,2급,,연등1길 169,9.6,,,,,https://hotels.naver.com/KR1000015/hotels/N5285262?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전남,8,레인보우 모텔,Yeosu Rainbow Self check-in Motel,모텔,3급,061-688-9900,학동서1길 11,,,,,,https://hotels.naver.com/KR1000015/hotels/N4888497?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전남,9,여수 호텔 더비 By BonReve,Yeosu Hotel the B By BonReve,모텔,3급,0507-1351-4569,선소로 41,7.2,,,,,https://hotels.naver.com/KR1000015/hotels/N4522491?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전남,10,무안 센텀호텔 목포남악점,Muan Centum Hotel Mokpo Nam-ak Branch,모텔,,,삼향읍 남악로250번길 59-24,,,,,,https://hotels.naver.com/KR1000015/hotels/KYK10555092?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,전남,11,호텔 야자 담양점(본관),Hotel Yaja Damyangjum (Main Building),모텔,1급,,담양읍 추성로 1173-15,8.6,,,,,https://hotels.naver.com/KR1000015/hotels/KYK7230850?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,전남,12,구례 지리정원,Gurye Geography Garden,모텔,2급,,전라남도 구례군 마산면 화엄사로 175 (지리정원),,,,,https://booking.naver.com/booking/3/bizes/1078536,https://hotels.naver.com/KR1000015/hotels/KYK10359976?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,전남,13,세븐브릭스호텔,Gwangyang Seven Bricks Hotel,모텔,3급,,광양읍 회암길 28,8.6,,,,http://www.7bh.co.kr/,https://hotels.naver.com/KR1000015/hotels/N5277886?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,전남,14,에코호텔,Eco Hotel,모텔,2급,,비파로124번길 11,8,7.5,,,,https://hotels.naver.com/KR1000015/hotels/N4919803?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,전남,15,하이모텔,Yeosu Hi,모텔,3급,,여문문화2길 84,8.8,,,,,https://hotels.naver.com/KR1000015/hotels/N5281233?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,전남,16,1번지무인텔,1Beonji Muintel,모텔,3급,,항만 12로 8,4.4,,,,,https://hotels.naver.com/KR1000015/hotels/N5281282?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,전남,17,브라운도트호텔 순천역점,Suncheon Brown Dot Suncheon Station Branch,모텔,2급,061-743-1192,팔마로 153,8.7,,,4.5,,https://hotels.naver.com/KR1000015/hotels/N5301284?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
