idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전남,1,고흥 하얀노을 펜션,Goheung hayan noeul hotel,펜션,3급,,동일면 와다리길 3,8.4,7.6,,,http://www.whiteglow.co.kr/,https://hotels.naver.com/KR1000015/hotels/KYK7445155?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전남,2,J플러스 스파펜션,Yeosu Jplus Pension,펜션,3급,,화양면 화서로 146-1,8.3,,,,http://jplusps.kr/,https://hotels.naver.com/KR1000015/hotels/N5281392?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전남,3,여수 낭만밤바다펜션리조트,Yeosu Romance Night Sea Pension Resort,펜션,3급,,전라남도 여수시 이순신광장로 159,9.3,,,,http://ysroman.com/,https://hotels.naver.com/KR1000015/hotels/KYK2767532?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전남,4,돌산힐링펜션,Yeosu Dolsan Healing Pension,펜션,3급,,돌산읍 돌산로 2324,9.2,,,,http://page.yapen.co.kr/24048,https://hotels.naver.com/KR1000015/hotels/N5279797?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전남,5,썬비치펜션,Yeosu Sun Beach Pension,펜션,3급,,이순신광장로 165,9.1,,,,http://xn--9w3bi0doqq6bn0fy7qv3i.kr/,https://hotels.naver.com/KR1000015/hotels/N5283455?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전남,6,해든뷰 펜션,Yeosu Haedenview Pension,펜션,3급,010-3805-1937,외밭넘2길 10,9.6,,,,http://haedeunview.com/,https://hotels.naver.com/KR1000015/hotels/N3925492?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전남,7,여수 티볼리 펜션,Yeosu Tivoli Pension,펜션,3급,,전라남도 여수시 돌산읍 계동로 521,9.7,,,,http://tivolips.kr/,https://hotels.naver.com/KR1000015/hotels/KYK1070302256?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전남,8,여수 와우A 오션뷰펜션,Wow A oceanview pension,펜션,3급,,전남 여수시 화양면 인금이길 19-25,9.3,,,,,https://hotels.naver.com/KR1000015/hotels/KYK5392068?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전남,9,여수 숲속애 펜션,Yeosu Supsokae Pension,펜션,3급,,전남 여수시 돌산읍 향일암로 533-16,9.2,,,,http://www.forestloveps.com/,https://hotels.naver.com/KR1000015/hotels/KYK4253982?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전남,10,뷰포레 펜션,Yeosu View Foret Pension,펜션,3급,,돌산읍 백초길 74,8.9,,,,http://xn--om2b11iouv.com/,https://hotels.naver.com/KR1000015/hotels/N5278530?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,전남,11,여수 낭만스테이 펜션,Yeosu Nangmanstay Pension,펜션,3급,,하멜로 85,8.9,9.5,,,http://xn--v20b06ocmh26e88n.kr/,https://hotels.naver.com/KR1000015/hotels/KYK1070302306?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,전남,12,아델펜션,Yeosu Adel Pension,펜션,3급,,돌산읍 진두해안길 38,9.5,,,,http://xn--bo1b46x93cyut.kr/,https://hotels.naver.com/KR1000015/hotels/N5257984?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,전남,13,하멜펜션,Yeosu Hamel Pension,펜션,3급,,고소3길 92,8,,,,http://hamel.kr/,https://hotels.naver.com/KR1000015/hotels/N5285732?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,전남,14,마리나 스파 펜션,Yesu Marina Pension,펜션,3급,010-7418-9800,돌산읍 계동로 407,,,5,,,https://hotels.naver.com/KR1000015/hotels/N2914985?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,전남,15,휴펜션&호스텔,Yeosu Hue Pension Hostel,펜션,3급,,종화1길 13-1,9,,,,http://yeosuhuehostel.co.kr/,https://hotels.naver.com/KR1000015/hotels/N5283621?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,전남,16,담양 슈트라하우스,Damyang shutra house,펜션,2급,,전남 담양군 금성면 금성산성1길 68-2,8.7,,,,https://www.shutra.co.kr/,https://hotels.naver.com/KR1000015/hotels/KYK8892382?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,전남,17,다시봄 오션뷰펜션,Yeosu Dasi bom Pension,펜션,3급,,돌산읍 평사로 339,9.3,10,,,https://www.dasibom.co.kr/,https://hotels.naver.com/KR1000015/hotels/N5283412?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,전남,18,아일랜드보인다펜션,Yeosu The Island Looks Pension,펜션,3급,,돌산읍 계동로 523-1,6.5,,,,http://www.xn--2j1b90blydn4hv9f8vg58d2a550z.com/,https://hotels.naver.com/KR1000015/hotels/N5283501?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,전남,19,여수 느낌 애견동반 펜션,Yeosu Nukim Pension,펜션,3급,,돌산읍 계동로 536,9.1,,,,http://yeosufeeling.kr/,https://hotels.naver.com/KR1000015/hotels/KYK5319864?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,전남,20,지뜨 펜션,Yeosu Gite Hostel,펜션,2급,061-666-2200,여수시민로 1,8.7,,4,,,https://hotels.naver.com/KR1000015/hotels/N3643838?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,전남,21,프롬갤러리 펜션,Yeosu From Gallery Pension,펜션,3급,010-3679-9667,돌산읍 월암길 136,,,,,http://www.fromgallery.kr/,https://hotels.naver.com/KR1000015/hotels/N3643558?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,전남,22,갯가솔향 펜션,Seasidepine Pension,펜션,3급,061-651-2732,돌산읍 계동로 547,8.8,8.6,,,http://seasidepines.kr/,https://hotels.naver.com/KR1000015/hotels/N3645709?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,전남,23,하루쉼표 오션뷰펜션,Yeosu Harushimpyo Pension,펜션,3급,,망양로 46,7.3,9,,,http://xn--2s2b68oi2oz2a.kr/,https://hotels.naver.com/KR1000015/hotels/N5285973?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,전남,24,울랄라펜션,Yeosu Ulala Pension,펜션,3급,,돌산읍 평사로 407,8.5,,,,https://oohlala.imweb.me/,https://hotels.naver.com/KR1000015/hotels/N4735144?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,전남,25,마린테라스,Yeosu Marine Terrace Poolvilla,펜션,3급,,화양면 굴개길 67,8.8,,,,http://marineterrace.co.kr/,https://hotels.naver.com/KR1000015/hotels/N5283465?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,전남,26,여수 들꽃마을 펜션,Yeosu Dulggot Pension,펜션,3급,,전남 여수시 돌산읍 월암길 130,9.3,,,,http://wildflowerps.net/,https://hotels.naver.com/KR1000015/hotels/KYK1070302467?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,전남,27,리틀포레스트,Yeosu Little Forest Pension,펜션,3급,,돌산읍 상하동길 112,8.2,,,,http://littlefores.kr/,https://hotels.naver.com/KR1000015/hotels/N5285730?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,전남,28,여수 낭만 펜션,Yeosu Nangman Pension,펜션,3급,,전남 여수시 화양면 화서로 146-13,,,,,http://jplusf.net/,https://hotels.naver.com/KR1000015/hotels/KYK8804132?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
