idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전남,1,소아르호텔,Soar Hotel,호텔,2급,061-383-5010,담양읍 메타프로방스3길 2,8.4,,,,,https://hotels.naver.com/KR1000015/hotels/N3970917?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전남,2,라테라스 풀빌라&호텔,La Terrace Club Hotel & Villa,호텔,3급,061-643-4500,돌산읍 진모1길 29-14,10,,,,http://laterrace-resort.com/,https://hotels.naver.com/KR1000015/hotels/N4013833?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전남,3,루미아호텔앤리조트,Lumia Hotel & Resort,호텔,2급,061-554-1000,신지면 울몰길 49,8.2,,,,https://wandolumia.dothome.co.kr/,https://hotels.naver.com/KR1000015/hotels/N5286664?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전남,4,클라우드인호텔 목포평화광장점,Cloud in Hotel Mokpo Peace Square,호텔,2급,,번영로 9,9,9,,4.9,,https://hotels.naver.com/KR1000015/hotels/KYK10069563?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전남,5,더 케이 지리산 가족 호텔,The K Jirisan Family Hotel,호텔,3성급,061-783-8100,산동면 지리산온천로 317,8.3,7.4,3.3,4.0,https://www.thek-hotel.co.kr/jrmh/index.do,https://hotels.naver.com/KR1000015/hotels/N2367661?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전남,6,여수 깔라까따 호텔 & 리조트,Calacatta Hotel & Resort,호텔,3급,0507-1310-1752,돌산읍 평사리 1405-50,7.2,7.6,,4.0,http://laterrace-resort.com/,https://hotels.naver.com/KR1000015/hotels/N5303936?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전남,7,소노캄 여수,Sono Calm Yeosu,호텔,5성급,061-660-5800,오동도로 111,8.9,8,4.5,4.6,https://www.sonohotelsresorts.com/yeosu,https://hotels.naver.com/KR1000015/hotels/N1894378?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전남,8,영광 하운드 호텔,Yeonggwang Hound Hotel,호텔,3급,,영광읍 천년로12길 6,9.3,9.4,,,,https://hotels.naver.com/KR1000015/hotels/KYK8955649?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전남,9,해남126 호텔,Haenam 126 Hotel,호텔,4성급,,화원면 시아로 576-33,8.8,,,,,https://hotels.naver.com/KR1000015/hotels/KYK10387933?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전남,10,여수 호텔더원,Hotel The One,호텔,2성급,061-651-3000,국포1로 6,8.4,8.3,4.3,4.4,http://hoteltheone.kr/,https://hotels.naver.com/KR1000015/hotels/N3073288?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,전남,11,오션힐 호텔,Yeosu Oceanhill Hotel,호텔,4급,061-640-5600,돌산읍 강남해안로 81,8.4,,3.4,4.7,https://www.oceanhillhotel.co.kr/,https://hotels.naver.com/KR1000015/hotels/N4522804?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,전남,12,라마다 프라자 바이 윈덤 여수 호텔,Ramada Plaza by Wyndham Dolsan Yeosu,호텔,4급,061-642-0000,돌산읍 강남로 11,8.5,8.1,4.8,4.2,http://www.ramadaplazadolsanyeosu.com/,https://hotels.naver.com/KR1000015/hotels/N5277854?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,전남,13,비앤에프호텔,B&F Hotel,호텔,3급,061-684-1881,선소로 15-4,8.3,,,,,https://hotels.naver.com/KR1000015/hotels/N3518972?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,전남,14,Vip 호텔,Vip Hotel Mokpo,호텔,3급,061-283-9955,미항로 6,8.7,8.2,5,4.3,,https://hotels.naver.com/KR1000015/hotels/N2681002?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,전남,15,한옥 호텔 영산재,Hanok Hotel Youngsanjae,호텔,3급,061-460-0300,삼호읍 나불외도로 126-17,7.2,,4.7,,http://www.youngsanjae.com/,https://hotels.naver.com/KR1000015/hotels/N1740993?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,전남,16,신라스테이 여수 엑스포역,Shilla Stay Yeosu Expo Station,호텔,4성급,02-2230-0726,수정3길 8,9.1,8.8,4.6,4.6,https://www.shillastay.com/yeosu/index.do,https://hotels.naver.com/KR1000015/hotels/N5300199?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,전남,17,목포 헤리티지 호텔 평화광장점,From H Heritage Hotel,호텔,3급,0507-1431-5235,원형서로 22,9,9,,4.8,,https://hotels.naver.com/KR1000015/hotels/N5305264?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,전남,18,폰타나 비치 호텔,Fontana Beach Hotel,호텔,3성급,061-288-7000,평화로 69,8.2,8.7,4,4.8,https://fontanabeachhotel.com/,https://hotels.naver.com/KR1000015/hotels/N2666590?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,전남,19,호텔지뜨,Suncheon Hotel Gite,호텔,2성급,061-727-5011,팔마2길 11,8.4,8.5,,4.5,http://hotelgite.com/,https://hotels.naver.com/KR1000015/hotels/N4678552?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,전남,20,해마루 호텔,Hotel Haemaru,호텔,3급,010-8710-8534,항만9로 113,8.6,8.6,,4.7,http://haebeach.hiadman.kr/,https://hotels.naver.com/KR1000015/hotels/N5278031?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
