idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전북,1,색동저고리 게스트하우스,Saekdong Jeogori Hanok Guesthouse Jeonju,게스트하우스,2급,010-4129-2950,전주천동로 64-10,9.2,,,,,https://hotels.naver.com/KR1000019/hotels/N3021126?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전북,2,담소,Jeonju Hanok Maeul Damso,게스트하우스,2급,010-6243-3632,향교길 71,8.3,,,,http://damsohotel.co.kr/,https://hotels.naver.com/KR1000019/hotels/N3189294?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전북,3,니어리스트 게스트하우스,Nearest Guesthouse,게스트하우스,1급,063-288-4665,팔달로 202-14,9,9,4.6,,http://guesthousejeonju.com/,https://hotels.naver.com/KR1000019/hotels/N1939630?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전북,4,삼락헌,Samlockhon Hanokstay,게스트하우스,2급,010-7799-7358,은행로 47-8,9.5,,,,http://samlockhon.com/,https://hotels.naver.com/KR1000019/hotels/N3925456?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전북,5,정가한옥,Jeongga Hanok,게스트하우스,2급,010-9934-1300,기린대로 78-3,8.6,10,,,http://www.jeonggahanog.co.kr/,https://hotels.naver.com/KR1000019/hotels/N3645367?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전북,6,전주그네,Jeonju Geune,게스트하우스,2급,,완산구 전주천동로 44,,,,,https://site.onda.me/119438,https://hotels.naver.com/KR1000019/hotels/KYK2363772?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전북,7,감성한옥,Gamsung Hanok,게스트하우스,3급,,전주천동로 44-2,,,,,,https://hotels.naver.com/KR1000019/hotels/N5278576?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전북,8,모헌,Jeonju Nostalgic Home,게스트하우스,2급,010-6796-0482,한지길 108,8.9,8.6,,,http://www.xn--hz2b2ph8a85m6rfiyblxby6cw43ce6a.com/,https://hotels.naver.com/KR1000019/hotels/N3185593?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전북,9,기린 게스트하우스,Kirin Guesthouse - Hostel,게스트하우스,2급,063-284-5555,현무3길 34,,,4.5,,,https://hotels.naver.com/KR1000019/hotels/N3773182?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전북,10,행옥 게스트하우스,Haengok Guesthouse,게스트하우스,2급,063-231-2132,경기전길 179,9.6,9.9,4.5,,http://www.happyokhome.co.kr/,https://hotels.naver.com/KR1000019/hotels/N3020269?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
